Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 4133ms | tok/sec: 15,857 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.476038 | lrm: 1.00 | dt: 2375ms | tok/sec: 27,589 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.242549 | lrm: 1.00 | dt: 2164ms | tok/sec: 30,283 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.855877 | lrm: 1.00 | dt: 2155ms | tok/sec: 30,417 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.513061 | lrm: 1.00 | dt: 2300ms | tok/sec: 28,490 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.234322 | lrm: 1.00 | dt: 2159ms | tok/sec: 30,360 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.017520 | lrm: 1.00 | dt: 2189ms | tok/sec: 29,940 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.844830 | lrm: 1.00 | dt: 2236ms | tok/sec: 29,305 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.697313 | lrm: 1.00 | dt: 2322ms | tok/sec: 28,221 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.575600 | lrm: 1.00 | dt: 2147ms | tok/sec: 30,527 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.473884 | lrm: 1.00 | dt: 2165ms | tok/sec: 30,264 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.386330 | lrm: 1.00 | dt: 2238ms | tok/sec: 29,278 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.314012 | lrm: 1.00 | dt: 2404ms | tok/sec: 27,261 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.5%) | loss: 6.247931 | lrm: 1.00 | dt: 2488ms | tok/sec: 26,344 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.4%) | loss: 6.191092 | lrm: 1.00 | dt: 2799ms | tok/sec: 23,415 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.3%) | loss: 6.141218 | lrm: 1.00 | dt: 2772ms | tok/sec: 23,641 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00016 (4.2%) | loss: 6.097900 | lrm: 1.00 | dt: 2667ms | tok/sec: 24,571 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00017 (5.1%) | loss: 6.060252 | lrm: 1.00 | dt: 2694ms | tok/sec: 24,327 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00018 (6.0%) | loss: 6.024563 | lrm: 1.00 | dt: 2567ms | tok/sec: 25,533 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00019 (6.9%) | loss: 5.991666 | lrm: 1.00 | dt: 2632ms | tok/sec: 24,895 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00020 (7.8%) | loss: 5.963993 | lrm: 1.00 | dt: 2515ms | tok/sec: 26,052 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00021 (8.6%) | loss: 5.937973 | lrm: 1.00 | dt: 2215ms | tok/sec: 29,593 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00022 (9.3%) | loss: 5.913623 | lrm: 1.00 | dt: 2349ms | tok/sec: 27,896 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00023 (10.1%) | loss: 5.889831 | lrm: 1.00 | dt: 2738ms | tok/sec: 23,932 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00024 (11.0%) | loss: 5.868082 | lrm: 1.00 | dt: 4548ms | tok/sec: 14,409 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00025 (12.5%) | loss: 5.846556 | lrm: 1.00 | dt: 2556ms | tok/sec: 25,641 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00026 (13.4%) | loss: 5.824904 | lrm: 1.00 | dt: 2376ms | tok/sec: 27,587 | mfu: 0.1% | epoch: 1 | remaining: 257s    
