Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3314ms | tok/sec: 19,775 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2446ms | tok/sec: 26,796 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2068ms | tok/sec: 31,685 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2081ms | tok/sec: 31,495 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2206ms | tok/sec: 29,713 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2095ms | tok/sec: 31,282 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2113ms | tok/sec: 31,021 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2085ms | tok/sec: 31,431 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2363ms | tok/sec: 27,738 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2137ms | tok/sec: 30,671 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2148ms | tok/sec: 30,515 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2055ms | tok/sec: 31,898 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.320240 | lrm: 0.14 | dt: 2283ms | tok/sec: 28,701 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.4%) | loss: 8.313430 | lrm: 0.29 | dt: 2107ms | tok/sec: 31,106 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (2.1%) | loss: 8.287409 | lrm: 0.43 | dt: 2132ms | tok/sec: 30,744 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 8.204713 | lrm: 0.57 | dt: 2233ms | tok/sec: 29,354 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00016 (3.6%) | loss: 8.041120 | lrm: 0.72 | dt: 2315ms | tok/sec: 28,310 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00017 (4.4%) | loss: 7.870140 | lrm: 0.87 | dt: 2046ms | tok/sec: 32,033 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00018 (5.1%) | loss: 7.691099 | lrm: 1.00 | dt: 2048ms | tok/sec: 32,003 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00019 (5.7%) | loss: 7.542815 | lrm: 1.00 | dt: 2043ms | tok/sec: 32,075 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00020 (6.4%) | loss: 7.402656 | lrm: 1.00 | dt: 2348ms | tok/sec: 27,915 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00021 (7.2%) | loss: 7.264036 | lrm: 1.00 | dt: 2216ms | tok/sec: 29,580 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00022 (7.9%) | loss: 7.131003 | lrm: 1.00 | dt: 2203ms | tok/sec: 29,748 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00023 (8.7%) | loss: 7.006982 | lrm: 1.00 | dt: 2087ms | tok/sec: 31,401 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00024 (9.4%) | loss: 6.892227 | lrm: 1.00 | dt: 2317ms | tok/sec: 28,286 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00025 (10.1%) | loss: 6.786398 | lrm: 1.00 | dt: 2066ms | tok/sec: 31,723 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00026 (10.8%) | loss: 6.689666 | lrm: 1.00 | dt: 2061ms | tok/sec: 31,804 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00027 (11.5%) | loss: 6.602323 | lrm: 1.00 | dt: 2115ms | tok/sec: 30,991 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00028 (12.2%) | loss: 6.521982 | lrm: 1.00 | dt: 2315ms | tok/sec: 28,307 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00029 (13.0%) | loss: 6.448046 | lrm: 1.00 | dt: 2046ms | tok/sec: 32,030 | mfu: 0.2% | epoch: 1 | remaining: 259s    
step 00030 (13.7%) | loss: 6.381887 | lrm: 1.00 | dt: 2058ms | tok/sec: 31,837 | mfu: 0.2% | epoch: 1 | remaining: 257s    
step 00031 (14.4%) | loss: 6.322120 | lrm: 1.00 | dt: 2081ms | tok/sec: 31,488 | mfu: 0.2% | epoch: 1 | remaining: 255s    
step 00032 (15.1%) | loss: 6.267811 | lrm: 1.00 | dt: 2249ms | tok/sec: 29,140 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00033 (15.8%) | loss: 6.216557 | lrm: 1.00 | dt: 2076ms | tok/sec: 31,562 | mfu: 0.2% | epoch: 1 | remaining: 251s    
