Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3936ms | tok/sec: 16,652 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2437ms | tok/sec: 26,894 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2409ms | tok/sec: 27,200 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2446ms | tok/sec: 26,791 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2447ms | tok/sec: 26,778 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2400ms | tok/sec: 27,304 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2492ms | tok/sec: 26,298 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2493ms | tok/sec: 26,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2655ms | tok/sec: 24,688 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2520ms | tok/sec: 26,006 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2575ms | tok/sec: 25,451 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2540ms | tok/sec: 25,803 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00012 (0.8%) | loss: 8.320240 | lrm: 0.17 | dt: 2840ms | tok/sec: 23,078 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.8%) | loss: 8.311879 | lrm: 0.36 | dt: 2408ms | tok/sec: 27,212 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00014 (2.6%) | loss: 8.276671 | lrm: 0.52 | dt: 2479ms | tok/sec: 26,441 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.4%) | loss: 8.160533 | lrm: 0.68 | dt: 2506ms | tok/sec: 26,148 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00016 (4.3%) | loss: 8.000608 | lrm: 0.85 | dt: 2919ms | tok/sec: 22,448 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00017 (5.2%) | loss: 7.820709 | lrm: 1.00 | dt: 2427ms | tok/sec: 27,003 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00018 (6.0%) | loss: 7.638203 | lrm: 1.00 | dt: 2388ms | tok/sec: 27,438 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00019 (6.8%) | loss: 7.484621 | lrm: 1.00 | dt: 2264ms | tok/sec: 28,947 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00020 (7.6%) | loss: 7.332276 | lrm: 1.00 | dt: 2463ms | tok/sec: 26,607 | mfu: 0.1% | epoch: 1 | remaining: 275s    
