Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 2934ms | tok/sec: 22,334 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.475140 | lrm: 1.00 | dt: 2185ms | tok/sec: 29,992 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.300460 | lrm: 1.00 | dt: 2243ms | tok/sec: 29,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.911246 | lrm: 1.00 | dt: 2172ms | tok/sec: 30,178 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.617868 | lrm: 1.00 | dt: 2357ms | tok/sec: 27,810 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.374557 | lrm: 1.00 | dt: 2204ms | tok/sec: 29,736 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.176035 | lrm: 1.00 | dt: 2189ms | tok/sec: 29,932 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.992393 | lrm: 1.00 | dt: 2262ms | tok/sec: 28,977 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.831386 | lrm: 1.00 | dt: 2774ms | tok/sec: 23,627 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.695229 | lrm: 1.00 | dt: 2254ms | tok/sec: 29,078 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.581415 | lrm: 1.00 | dt: 2247ms | tok/sec: 29,165 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.483892 | lrm: 1.00 | dt: 2402ms | tok/sec: 27,280 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 6.401364 | lrm: 1.00 | dt: 2425ms | tok/sec: 27,030 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 6.326169 | lrm: 1.00 | dt: 2160ms | tok/sec: 30,335 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 6.261491 | lrm: 1.00 | dt: 2157ms | tok/sec: 30,381 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (3.0%) | loss: 6.204970 | lrm: 1.00 | dt: 2242ms | tok/sec: 29,234 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00016 (3.8%) | loss: 6.155245 | lrm: 1.00 | dt: 2778ms | tok/sec: 23,594 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.7%) | loss: 6.110147 | lrm: 1.00 | dt: 2506ms | tok/sec: 26,147 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00018 (5.6%) | loss: 6.072526 | lrm: 1.00 | dt: 2466ms | tok/sec: 26,572 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00019 (6.4%) | loss: 6.039601 | lrm: 1.00 | dt: 2396ms | tok/sec: 27,357 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00020 (7.2%) | loss: 6.010858 | lrm: 1.00 | dt: 2787ms | tok/sec: 23,515 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00021 (8.1%) | loss: 5.982167 | lrm: 1.00 | dt: 2439ms | tok/sec: 26,871 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00022 (8.9%) | loss: 5.955974 | lrm: 1.00 | dt: 2387ms | tok/sec: 27,453 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00023 (9.7%) | loss: 5.931653 | lrm: 1.00 | dt: 2394ms | tok/sec: 27,370 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00024 (10.5%) | loss: 5.910347 | lrm: 1.00 | dt: 3323ms | tok/sec: 19,720 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00025 (11.6%) | loss: 5.888783 | lrm: 1.00 | dt: 2454ms | tok/sec: 26,705 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00026 (12.4%) | loss: 5.867455 | lrm: 1.00 | dt: 2497ms | tok/sec: 26,244 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00027 (13.3%) | loss: 5.848520 | lrm: 1.00 | dt: 2525ms | tok/sec: 25,952 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00028 (14.1%) | loss: 5.829225 | lrm: 1.00 | dt: 2858ms | tok/sec: 22,931 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00029 (15.1%) | loss: 5.808124 | lrm: 1.00 | dt: 2456ms | tok/sec: 26,680 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00030 (15.9%) | loss: 5.789161 | lrm: 1.00 | dt: 2504ms | tok/sec: 26,172 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00031 (16.7%) | loss: 5.770436 | lrm: 1.00 | dt: 2469ms | tok/sec: 26,539 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00032 (17.5%) | loss: 5.752718 | lrm: 1.00 | dt: 3000ms | tok/sec: 21,847 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00033 (18.5%) | loss: 5.733597 | lrm: 1.00 | dt: 2531ms | tok/sec: 25,890 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00034 (19.4%) | loss: 5.724349 | lrm: 1.00 | dt: 2467ms | tok/sec: 26,570 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00035 (20.2%) | loss: 5.713723 | lrm: 1.00 | dt: 2421ms | tok/sec: 27,070 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00036 (21.0%) | loss: 5.702884 | lrm: 1.00 | dt: 2656ms | tok/sec: 24,670 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00037 (21.9%) | loss: 5.687665 | lrm: 1.00 | dt: 2521ms | tok/sec: 25,996 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00038 (22.7%) | loss: 5.673297 | lrm: 1.00 | dt: 2498ms | tok/sec: 26,232 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00039 (23.6%) | loss: 5.659243 | lrm: 1.00 | dt: 2519ms | tok/sec: 26,014 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00040 (24.4%) | loss: 5.647632 | lrm: 1.00 | dt: 2773ms | tok/sec: 23,629 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00041 (25.3%) | loss: 5.636549 | lrm: 1.00 | dt: 2623ms | tok/sec: 24,988 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00042 (26.2%) | loss: 5.623023 | lrm: 1.00 | dt: 2378ms | tok/sec: 27,560 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00043 (27.0%) | loss: 5.614068 | lrm: 1.00 | dt: 2350ms | tok/sec: 27,890 | mfu: 0.1% | epoch: 1 | remaining: 217s    
step 00044 (27.8%) | loss: 5.604384 | lrm: 1.00 | dt: 2781ms | tok/sec: 23,569 | mfu: 0.1% | epoch: 1 | remaining: 214s    
