Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3174ms | tok/sec: 20,647 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2337ms | tok/sec: 28,038 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2169ms | tok/sec: 30,211 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2101ms | tok/sec: 31,187 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2258ms | tok/sec: 29,028 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2074ms | tok/sec: 31,596 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2083ms | tok/sec: 31,460 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2093ms | tok/sec: 31,312 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2250ms | tok/sec: 29,127 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2141ms | tok/sec: 30,606 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2116ms | tok/sec: 30,970 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2091ms | tok/sec: 31,346 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.320240 | lrm: 0.14 | dt: 2306ms | tok/sec: 28,421 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.5%) | loss: 8.313305 | lrm: 0.29 | dt: 2158ms | tok/sec: 30,365 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.2%) | loss: 8.286791 | lrm: 0.44 | dt: 2200ms | tok/sec: 29,795 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 8.201916 | lrm: 0.58 | dt: 2234ms | tok/sec: 29,333 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00016 (3.7%) | loss: 8.036779 | lrm: 0.73 | dt: 3057ms | tok/sec: 21,437 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.7%) | loss: 7.859947 | lrm: 0.94 | dt: 2254ms | tok/sec: 29,077 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00018 (5.4%) | loss: 7.675155 | lrm: 1.00 | dt: 2109ms | tok/sec: 31,068 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (6.1%) | loss: 7.504280 | lrm: 1.00 | dt: 2091ms | tok/sec: 31,336 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00020 (6.8%) | loss: 7.342081 | lrm: 1.00 | dt: 2240ms | tok/sec: 29,257 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00021 (7.6%) | loss: 7.189704 | lrm: 1.00 | dt: 2077ms | tok/sec: 31,555 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00022 (8.3%) | loss: 7.056268 | lrm: 1.00 | dt: 2066ms | tok/sec: 31,728 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00023 (9.0%) | loss: 6.931850 | lrm: 1.00 | dt: 2072ms | tok/sec: 31,631 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00024 (9.7%) | loss: 6.819783 | lrm: 1.00 | dt: 2211ms | tok/sec: 29,641 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00025 (10.4%) | loss: 6.717359 | lrm: 1.00 | dt: 2074ms | tok/sec: 31,605 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00026 (11.1%) | loss: 6.624065 | lrm: 1.00 | dt: 2093ms | tok/sec: 31,319 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00027 (11.8%) | loss: 6.540490 | lrm: 1.00 | dt: 2088ms | tok/sec: 31,381 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00028 (12.5%) | loss: 6.464608 | lrm: 1.00 | dt: 2214ms | tok/sec: 29,594 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00029 (13.2%) | loss: 6.394747 | lrm: 1.00 | dt: 2080ms | tok/sec: 31,513 | mfu: 0.2% | epoch: 1 | remaining: 258s    
step 00030 (13.9%) | loss: 6.331874 | lrm: 1.00 | dt: 2075ms | tok/sec: 31,578 | mfu: 0.2% | epoch: 1 | remaining: 256s    
step 00031 (14.6%) | loss: 6.275395 | lrm: 1.00 | dt: 2187ms | tok/sec: 29,969 | mfu: 0.2% | epoch: 1 | remaining: 254s    
