Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3879ms | tok/sec: 16,893 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2438ms | tok/sec: 26,884 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2182ms | tok/sec: 30,034 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2137ms | tok/sec: 30,660 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2202ms | tok/sec: 29,768 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2050ms | tok/sec: 31,967 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2065ms | tok/sec: 31,734 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2109ms | tok/sec: 31,076 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2470ms | tok/sec: 26,529 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2200ms | tok/sec: 29,791 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2282ms | tok/sec: 28,715 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2280ms | tok/sec: 28,742 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 8.320240 | lrm: 0.25 | dt: 2461ms | tok/sec: 26,625 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 8.308003 | lrm: 0.53 | dt: 2184ms | tok/sec: 30,010 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 8.249966 | lrm: 0.77 | dt: 2153ms | tok/sec: 30,437 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (3.0%) | loss: 8.082729 | lrm: 1.00 | dt: 2147ms | tok/sec: 30,517 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.7%) | loss: 7.909144 | lrm: 1.00 | dt: 2269ms | tok/sec: 28,879 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00017 (4.5%) | loss: 7.708563 | lrm: 1.00 | dt: 2055ms | tok/sec: 31,888 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00018 (5.2%) | loss: 7.534691 | lrm: 1.00 | dt: 2055ms | tok/sec: 31,890 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (5.9%) | loss: 7.367555 | lrm: 1.00 | dt: 2137ms | tok/sec: 30,668 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00020 (6.6%) | loss: 7.212517 | lrm: 1.00 | dt: 2201ms | tok/sec: 29,781 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00021 (7.3%) | loss: 7.070236 | lrm: 1.00 | dt: 2177ms | tok/sec: 30,109 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00022 (8.0%) | loss: 6.942504 | lrm: 1.00 | dt: 2266ms | tok/sec: 28,923 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00023 (8.8%) | loss: 6.827014 | lrm: 1.00 | dt: 2227ms | tok/sec: 29,422 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00024 (9.5%) | loss: 6.723943 | lrm: 1.00 | dt: 2252ms | tok/sec: 29,095 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00025 (10.3%) | loss: 6.629970 | lrm: 1.00 | dt: 2062ms | tok/sec: 31,779 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00026 (11.0%) | loss: 6.544944 | lrm: 1.00 | dt: 2198ms | tok/sec: 29,816 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00027 (11.7%) | loss: 6.468941 | lrm: 1.00 | dt: 2146ms | tok/sec: 30,545 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00028 (12.4%) | loss: 6.399333 | lrm: 1.00 | dt: 2325ms | tok/sec: 28,186 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00029 (13.2%) | loss: 6.335237 | lrm: 1.00 | dt: 2097ms | tok/sec: 31,246 | mfu: 0.2% | epoch: 1 | remaining: 258s    
step 00030 (13.9%) | loss: 6.278060 | lrm: 1.00 | dt: 2073ms | tok/sec: 31,607 | mfu: 0.2% | epoch: 1 | remaining: 256s    
step 00031 (14.6%) | loss: 6.226606 | lrm: 1.00 | dt: 2075ms | tok/sec: 31,585 | mfu: 0.2% | epoch: 1 | remaining: 254s    
step 00032 (15.3%) | loss: 6.179562 | lrm: 1.00 | dt: 2257ms | tok/sec: 29,040 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00033 (16.0%) | loss: 6.134833 | lrm: 1.00 | dt: 2097ms | tok/sec: 31,253 | mfu: 0.2% | epoch: 1 | remaining: 250s    
step 00034 (16.7%) | loss: 6.094611 | lrm: 1.00 | dt: 2165ms | tok/sec: 30,266 | mfu: 0.2% | epoch: 1 | remaining: 248s    
step 00035 (17.5%) | loss: 6.057500 | lrm: 1.00 | dt: 2184ms | tok/sec: 30,011 | mfu: 0.2% | epoch: 1 | remaining: 245s    
step 00036 (18.2%) | loss: 6.026022 | lrm: 1.00 | dt: 2319ms | tok/sec: 28,261 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00037 (19.0%) | loss: 5.993772 | lrm: 1.00 | dt: 2177ms | tok/sec: 30,109 | mfu: 0.2% | epoch: 1 | remaining: 241s    
step 00038 (19.7%) | loss: 5.963930 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,820 | mfu: 0.2% | epoch: 1 | remaining: 239s    
step 00039 (20.4%) | loss: 5.936614 | lrm: 1.00 | dt: 2090ms | tok/sec: 31,359 | mfu: 0.2% | epoch: 1 | remaining: 237s    
step 00040 (21.1%) | loss: 5.912936 | lrm: 1.00 | dt: 2388ms | tok/sec: 27,446 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00041 (21.9%) | loss: 5.891029 | lrm: 1.00 | dt: 2191ms | tok/sec: 29,915 | mfu: 0.2% | epoch: 1 | remaining: 232s    
step 00042 (22.6%) | loss: 5.867380 | lrm: 1.00 | dt: 2206ms | tok/sec: 29,707 | mfu: 0.2% | epoch: 1 | remaining: 230s    
step 00043 (23.3%) | loss: 5.848901 | lrm: 1.00 | dt: 2096ms | tok/sec: 31,260 | mfu: 0.2% | epoch: 1 | remaining: 228s    
step 00044 (24.0%) | loss: 5.829724 | lrm: 1.00 | dt: 2235ms | tok/sec: 29,326 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00045 (24.8%) | loss: 5.807873 | lrm: 1.00 | dt: 2109ms | tok/sec: 31,072 | mfu: 0.2% | epoch: 1 | remaining: 224s    
step 00046 (25.5%) | loss: 5.786652 | lrm: 1.00 | dt: 2095ms | tok/sec: 31,279 | mfu: 0.2% | epoch: 1 | remaining: 221s    
step 00047 (26.2%) | loss: 5.767783 | lrm: 1.00 | dt: 2064ms | tok/sec: 31,754 | mfu: 0.2% | epoch: 1 | remaining: 219s    
step 00048 (26.9%) | loss: 5.749861 | lrm: 1.00 | dt: 2201ms | tok/sec: 29,777 | mfu: 0.2% | epoch: 1 | remaining: 217s    
step 00049 (27.6%) | loss: 5.730960 | lrm: 1.00 | dt: 2413ms | tok/sec: 27,154 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00050 (28.4%) | loss: 5.716485 | lrm: 1.00 | dt: 2219ms | tok/sec: 29,538 | mfu: 0.2% | epoch: 1 | remaining: 213s    
step 00051 (29.2%) | loss: 5.702855 | lrm: 1.00 | dt: 2140ms | tok/sec: 30,628 | mfu: 0.2% | epoch: 1 | remaining: 210s    
step 00052 (29.9%) | loss: 5.691257 | lrm: 1.00 | dt: 2229ms | tok/sec: 29,406 | mfu: 0.1% | epoch: 1 | remaining: 208s    
step 00053 (30.6%) | loss: 5.674620 | lrm: 1.00 | dt: 2140ms | tok/sec: 30,621 | mfu: 0.2% | epoch: 1 | remaining: 206s    
step 00054 (31.3%) | loss: 5.657918 | lrm: 1.00 | dt: 2188ms | tok/sec: 29,957 | mfu: 0.2% | epoch: 1 | remaining: 204s    
step 00055 (32.1%) | loss: 5.639866 | lrm: 1.00 | dt: 2205ms | tok/sec: 29,722 | mfu: 0.2% | epoch: 1 | remaining: 202s    
step 00056 (32.8%) | loss: 5.629865 | lrm: 1.00 | dt: 2299ms | tok/sec: 28,501 | mfu: 0.1% | epoch: 1 | remaining: 199s    
step 00057 (33.6%) | loss: 5.612882 | lrm: 1.00 | dt: 2059ms | tok/sec: 31,824 | mfu: 0.2% | epoch: 1 | remaining: 197s    
step 00058 (34.2%) | loss: 5.596656 | lrm: 1.00 | dt: 2061ms | tok/sec: 31,798 | mfu: 0.2% | epoch: 1 | remaining: 195s    
step 00059 (34.9%) | loss: 5.581362 | lrm: 1.00 | dt: 2062ms | tok/sec: 31,790 | mfu: 0.2% | epoch: 1 | remaining: 193s    
step 00060 (35.6%) | loss: 5.567035 | lrm: 1.00 | dt: 2213ms | tok/sec: 29,611 | mfu: 0.2% | epoch: 1 | remaining: 191s    
step 00061 (36.4%) | loss: 5.552967 | lrm: 1.00 | dt: 2140ms | tok/sec: 30,624 | mfu: 0.2% | epoch: 1 | remaining: 189s    
step 00062 (37.1%) | loss: 5.540317 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,794 | mfu: 0.2% | epoch: 1 | remaining: 187s    
step 00063 (37.8%) | loss: 5.528599 | lrm: 1.00 | dt: 2197ms | tok/sec: 29,836 | mfu: 0.2% | epoch: 1 | remaining: 184s    
step 00064 (38.5%) | loss: 5.523996 | lrm: 1.00 | dt: 2344ms | tok/sec: 27,962 | mfu: 0.1% | epoch: 1 | remaining: 182s    
step 00065 (39.3%) | loss: 5.513713 | lrm: 1.00 | dt: 2121ms | tok/sec: 30,896 | mfu: 0.2% | epoch: 1 | remaining: 180s    
step 00066 (40.0%) | loss: 5.502240 | lrm: 1.00 | dt: 2053ms | tok/sec: 31,915 | mfu: 0.2% | epoch: 1 | remaining: 178s    
step 00067 (40.7%) | loss: 5.491242 | lrm: 1.00 | dt: 2151ms | tok/sec: 30,461 | mfu: 0.2% | epoch: 1 | remaining: 176s    
