Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 3623ms | tok/sec: 18,086 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.472966 | lrm: 1.00 | dt: 2542ms | tok/sec: 25,782 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.239895 | lrm: 1.00 | dt: 2405ms | tok/sec: 27,248 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.831693 | lrm: 1.00 | dt: 2291ms | tok/sec: 28,610 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.520330 | lrm: 1.00 | dt: 2357ms | tok/sec: 27,800 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.245767 | lrm: 1.00 | dt: 2241ms | tok/sec: 29,239 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.021607 | lrm: 1.00 | dt: 2299ms | tok/sec: 28,509 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.842772 | lrm: 1.00 | dt: 2370ms | tok/sec: 27,653 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.693826 | lrm: 1.00 | dt: 2488ms | tok/sec: 26,342 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.572398 | lrm: 1.00 | dt: 2380ms | tok/sec: 27,540 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.471765 | lrm: 1.00 | dt: 2216ms | tok/sec: 29,567 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.385037 | lrm: 1.00 | dt: 2194ms | tok/sec: 29,868 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.313922 | lrm: 1.00 | dt: 2463ms | tok/sec: 26,607 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 6.249030 | lrm: 1.00 | dt: 2294ms | tok/sec: 28,574 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 6.193012 | lrm: 1.00 | dt: 2245ms | tok/sec: 29,186 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00015 (3.1%) | loss: 6.143600 | lrm: 1.00 | dt: 2199ms | tok/sec: 29,805 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.8%) | loss: 6.101050 | lrm: 1.00 | dt: 2319ms | tok/sec: 28,259 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.6%) | loss: 6.062828 | lrm: 1.00 | dt: 2211ms | tok/sec: 29,634 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00018 (5.3%) | loss: 6.029830 | lrm: 1.00 | dt: 2126ms | tok/sec: 30,819 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (6.0%) | loss: 6.000215 | lrm: 1.00 | dt: 2220ms | tok/sec: 29,517 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00020 (6.8%) | loss: 5.974336 | lrm: 1.00 | dt: 2256ms | tok/sec: 29,051 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00021 (7.5%) | loss: 5.949921 | lrm: 1.00 | dt: 2131ms | tok/sec: 30,746 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00022 (8.2%) | loss: 5.927749 | lrm: 1.00 | dt: 2169ms | tok/sec: 30,209 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00023 (8.9%) | loss: 5.908647 | lrm: 1.00 | dt: 2223ms | tok/sec: 29,476 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00024 (9.7%) | loss: 5.891873 | lrm: 1.00 | dt: 2288ms | tok/sec: 28,641 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00025 (10.4%) | loss: 5.875280 | lrm: 1.00 | dt: 2169ms | tok/sec: 30,219 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00026 (11.2%) | loss: 5.858668 | lrm: 1.00 | dt: 2339ms | tok/sec: 28,016 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00027 (11.9%) | loss: 5.844110 | lrm: 1.00 | dt: 2207ms | tok/sec: 29,696 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00028 (12.7%) | loss: 5.829514 | lrm: 1.00 | dt: 2365ms | tok/sec: 27,711 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00029 (13.5%) | loss: 5.812998 | lrm: 1.00 | dt: 2224ms | tok/sec: 29,463 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00030 (14.2%) | loss: 5.797823 | lrm: 1.00 | dt: 2264ms | tok/sec: 28,950 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00031 (15.0%) | loss: 5.782260 | lrm: 1.00 | dt: 2219ms | tok/sec: 29,534 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00032 (15.7%) | loss: 5.767564 | lrm: 1.00 | dt: 2295ms | tok/sec: 28,551 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00033 (16.5%) | loss: 5.751227 | lrm: 1.00 | dt: 2335ms | tok/sec: 28,067 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00034 (17.3%) | loss: 5.736659 | lrm: 1.00 | dt: 2265ms | tok/sec: 28,929 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00035 (18.0%) | loss: 5.723607 | lrm: 1.00 | dt: 2129ms | tok/sec: 30,787 | mfu: 0.2% | epoch: 1 | remaining: 244s    
step 00036 (18.7%) | loss: 5.713542 | lrm: 1.00 | dt: 2225ms | tok/sec: 29,460 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00037 (19.5%) | loss: 5.699815 | lrm: 1.00 | dt: 2059ms | tok/sec: 31,829 | mfu: 0.2% | epoch: 1 | remaining: 240s    
step 00038 (20.1%) | loss: 5.686438 | lrm: 1.00 | dt: 2082ms | tok/sec: 31,482 | mfu: 0.2% | epoch: 1 | remaining: 237s    
step 00039 (20.8%) | loss: 5.674431 | lrm: 1.00 | dt: 2166ms | tok/sec: 30,250 | mfu: 0.2% | epoch: 1 | remaining: 235s    
step 00040 (21.6%) | loss: 5.664805 | lrm: 1.00 | dt: 2503ms | tok/sec: 26,179 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00041 (22.4%) | loss: 5.655697 | lrm: 1.00 | dt: 2218ms | tok/sec: 29,548 | mfu: 0.2% | epoch: 1 | remaining: 231s    
step 00042 (23.1%) | loss: 5.643831 | lrm: 1.00 | dt: 2134ms | tok/sec: 30,709 | mfu: 0.2% | epoch: 1 | remaining: 228s    
step 00043 (23.8%) | loss: 5.634510 | lrm: 1.00 | dt: 2132ms | tok/sec: 30,740 | mfu: 0.2% | epoch: 1 | remaining: 226s    
step 00044 (24.6%) | loss: 5.624180 | lrm: 1.00 | dt: 2265ms | tok/sec: 28,933 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00045 (25.3%) | loss: 5.611416 | lrm: 1.00 | dt: 2042ms | tok/sec: 32,095 | mfu: 0.2% | epoch: 1 | remaining: 222s    
step 00046 (26.0%) | loss: 5.599941 | lrm: 1.00 | dt: 2044ms | tok/sec: 32,057 | mfu: 0.2% | epoch: 1 | remaining: 220s    
step 00047 (26.7%) | loss: 5.589769 | lrm: 1.00 | dt: 2045ms | tok/sec: 32,040 | mfu: 0.2% | epoch: 1 | remaining: 218s    
step 00048 (27.4%) | loss: 5.580602 | lrm: 1.00 | dt: 2241ms | tok/sec: 29,247 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00049 (28.1%) | loss: 5.569708 | lrm: 1.00 | dt: 2055ms | tok/sec: 31,895 | mfu: 0.2% | epoch: 1 | remaining: 214s    
step 00050 (28.8%) | loss: 5.560364 | lrm: 1.00 | dt: 2052ms | tok/sec: 31,936 | mfu: 0.2% | epoch: 1 | remaining: 212s    
step 00051 (29.5%) | loss: 5.552978 | lrm: 1.00 | dt: 2083ms | tok/sec: 31,456 | mfu: 0.2% | epoch: 1 | remaining: 210s    
step 00052 (30.2%) | loss: 5.547230 | lrm: 1.00 | dt: 2280ms | tok/sec: 28,746 | mfu: 0.1% | epoch: 1 | remaining: 207s    
step 00053 (30.9%) | loss: 5.537642 | lrm: 1.00 | dt: 2176ms | tok/sec: 30,114 | mfu: 0.2% | epoch: 1 | remaining: 205s    
step 00054 (31.7%) | loss: 5.528435 | lrm: 1.00 | dt: 2194ms | tok/sec: 29,866 | mfu: 0.2% | epoch: 1 | remaining: 203s    
step 00055 (32.4%) | loss: 5.517570 | lrm: 1.00 | dt: 2156ms | tok/sec: 30,399 | mfu: 0.2% | epoch: 1 | remaining: 201s    
step 00056 (33.1%) | loss: 5.515123 | lrm: 1.00 | dt: 2481ms | tok/sec: 26,410 | mfu: 0.1% | epoch: 1 | remaining: 198s    
step 00057 (33.9%) | loss: 5.505163 | lrm: 1.00 | dt: 2245ms | tok/sec: 29,187 | mfu: 0.1% | epoch: 1 | remaining: 196s    
step 00058 (34.7%) | loss: 5.495142 | lrm: 1.00 | dt: 2187ms | tok/sec: 29,959 | mfu: 0.2% | epoch: 1 | remaining: 194s    
step 00059 (35.4%) | loss: 5.485596 | lrm: 1.00 | dt: 2073ms | tok/sec: 31,608 | mfu: 0.2% | epoch: 1 | remaining: 192s    
step 00060 (36.1%) | loss: 5.477434 | lrm: 1.00 | dt: 2353ms | tok/sec: 27,850 | mfu: 0.1% | epoch: 1 | remaining: 189s    
step 00061 (36.9%) | loss: 5.468977 | lrm: 1.00 | dt: 2271ms | tok/sec: 28,852 | mfu: 0.1% | epoch: 1 | remaining: 187s    
step 00062 (37.6%) | loss: 5.460861 | lrm: 1.00 | dt: 2405ms | tok/sec: 27,246 | mfu: 0.1% | epoch: 1 | remaining: 185s    
step 00063 (38.4%) | loss: 5.454027 | lrm: 1.00 | dt: 2198ms | tok/sec: 29,816 | mfu: 0.2% | epoch: 1 | remaining: 182s    
step 00064 (39.2%) | loss: 5.454497 | lrm: 1.00 | dt: 2305ms | tok/sec: 28,436 | mfu: 0.1% | epoch: 1 | remaining: 180s    
step 00065 (39.9%) | loss: 5.448108 | lrm: 1.00 | dt: 2062ms | tok/sec: 31,779 | mfu: 0.2% | epoch: 1 | remaining: 178s    
step 00066 (40.6%) | loss: 5.440329 | lrm: 1.00 | dt: 2061ms | tok/sec: 31,805 | mfu: 0.2% | epoch: 1 | remaining: 176s    
step 00067 (41.3%) | loss: 5.432868 | lrm: 1.00 | dt: 2237ms | tok/sec: 29,294 | mfu: 0.1% | epoch: 1 | remaining: 174s    
step 00068 (42.1%) | loss: 5.434537 | lrm: 1.00 | dt: 2363ms | tok/sec: 27,732 | mfu: 0.1% | epoch: 1 | remaining: 171s    
step 00069 (42.8%) | loss: 5.428163 | lrm: 1.00 | dt: 2239ms | tok/sec: 29,267 | mfu: 0.1% | epoch: 1 | remaining: 169s    
step 00070 (43.6%) | loss: 5.420940 | lrm: 1.00 | dt: 2125ms | tok/sec: 30,844 | mfu: 0.2% | epoch: 1 | remaining: 167s    
