Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 2990ms | tok/sec: 21,915 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.471729 | lrm: 1.00 | dt: 2108ms | tok/sec: 31,083 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.233777 | lrm: 1.00 | dt: 2085ms | tok/sec: 31,430 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.827656 | lrm: 1.00 | dt: 2097ms | tok/sec: 31,248 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.516255 | lrm: 1.00 | dt: 2217ms | tok/sec: 29,558 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.245710 | lrm: 1.00 | dt: 2064ms | tok/sec: 31,753 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.014913 | lrm: 1.00 | dt: 2091ms | tok/sec: 31,337 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.840548 | lrm: 1.00 | dt: 2062ms | tok/sec: 31,785 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.694524 | lrm: 1.00 | dt: 2218ms | tok/sec: 29,544 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.573700 | lrm: 1.00 | dt: 2063ms | tok/sec: 31,765 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.472880 | lrm: 1.00 | dt: 2075ms | tok/sec: 31,586 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.386103 | lrm: 1.00 | dt: 2060ms | tok/sec: 31,817 | mfu: 0.2% | epoch: 1 | remaining: 298s    
