Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 4310ms | tok/sec: 15,207 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2843ms | tok/sec: 23,047 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2352ms | tok/sec: 27,866 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2347ms | tok/sec: 27,919 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2608ms | tok/sec: 25,132 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2476ms | tok/sec: 26,466 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2974ms | tok/sec: 22,033 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2690ms | tok/sec: 24,367 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2706ms | tok/sec: 24,221 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2468ms | tok/sec: 26,557 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2411ms | tok/sec: 27,178 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2311ms | tok/sec: 28,359 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 8.320240 | lrm: 0.15 | dt: 2818ms | tok/sec: 23,255 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.7%) | loss: 8.312585 | lrm: 0.34 | dt: 2329ms | tok/sec: 28,142 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.5%) | loss: 8.279900 | lrm: 0.50 | dt: 2369ms | tok/sec: 27,664 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.3%) | loss: 8.171560 | lrm: 0.66 | dt: 2259ms | tok/sec: 29,015 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00016 (4.0%) | loss: 8.001973 | lrm: 0.81 | dt: 2389ms | tok/sec: 27,426 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.8%) | loss: 7.816186 | lrm: 0.96 | dt: 2349ms | tok/sec: 27,898 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00018 (5.6%) | loss: 7.636062 | lrm: 1.00 | dt: 2338ms | tok/sec: 28,036 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00019 (6.4%) | loss: 7.482963 | lrm: 1.00 | dt: 2438ms | tok/sec: 26,880 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00020 (7.2%) | loss: 7.330234 | lrm: 1.00 | dt: 2553ms | tok/sec: 25,672 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00021 (8.1%) | loss: 7.184518 | lrm: 1.00 | dt: 2283ms | tok/sec: 28,706 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00022 (8.8%) | loss: 7.048080 | lrm: 1.00 | dt: 2297ms | tok/sec: 28,526 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00023 (9.6%) | loss: 6.925204 | lrm: 1.00 | dt: 2375ms | tok/sec: 27,591 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00024 (10.4%) | loss: 6.814818 | lrm: 1.00 | dt: 2539ms | tok/sec: 25,815 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00025 (11.2%) | loss: 6.713227 | lrm: 1.00 | dt: 2348ms | tok/sec: 27,908 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00026 (12.0%) | loss: 6.622052 | lrm: 1.00 | dt: 2422ms | tok/sec: 27,057 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00027 (12.8%) | loss: 6.540699 | lrm: 1.00 | dt: 2386ms | tok/sec: 27,470 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00028 (13.6%) | loss: 6.465361 | lrm: 1.00 | dt: 2604ms | tok/sec: 25,168 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00029 (14.5%) | loss: 6.396087 | lrm: 1.00 | dt: 2316ms | tok/sec: 28,293 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00030 (15.2%) | loss: 6.334023 | lrm: 1.00 | dt: 2365ms | tok/sec: 27,707 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00031 (16.0%) | loss: 6.278127 | lrm: 1.00 | dt: 2352ms | tok/sec: 27,869 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00032 (16.8%) | loss: 6.227333 | lrm: 1.00 | dt: 2425ms | tok/sec: 27,025 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00033 (17.6%) | loss: 6.179254 | lrm: 1.00 | dt: 2314ms | tok/sec: 28,318 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00034 (18.4%) | loss: 6.136286 | lrm: 1.00 | dt: 2311ms | tok/sec: 28,357 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00035 (19.2%) | loss: 6.096554 | lrm: 1.00 | dt: 2366ms | tok/sec: 27,694 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00036 (20.0%) | loss: 6.061914 | lrm: 1.00 | dt: 2558ms | tok/sec: 25,622 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00037 (20.8%) | loss: 6.027207 | lrm: 1.00 | dt: 2324ms | tok/sec: 28,194 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00038 (21.6%) | loss: 5.995470 | lrm: 1.00 | dt: 2300ms | tok/sec: 28,490 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00039 (22.3%) | loss: 5.966788 | lrm: 1.00 | dt: 2309ms | tok/sec: 28,388 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00040 (23.1%) | loss: 5.939583 | lrm: 1.00 | dt: 2478ms | tok/sec: 26,451 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00041 (23.9%) | loss: 5.914575 | lrm: 1.00 | dt: 2346ms | tok/sec: 27,937 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00042 (24.7%) | loss: 5.887446 | lrm: 1.00 | dt: 2410ms | tok/sec: 27,196 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00043 (25.5%) | loss: 5.866397 | lrm: 1.00 | dt: 2355ms | tok/sec: 27,831 | mfu: 0.1% | epoch: 1 | remaining: 221s    
