Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3444ms | tok/sec: 19,029 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2950ms | tok/sec: 22,211 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2480ms | tok/sec: 26,427 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2164ms | tok/sec: 30,286 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2282ms | tok/sec: 28,719 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2168ms | tok/sec: 30,232 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2111ms | tok/sec: 31,039 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2115ms | tok/sec: 30,981 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2328ms | tok/sec: 28,156 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2102ms | tok/sec: 31,177 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2127ms | tok/sec: 30,811 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2163ms | tok/sec: 30,301 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.320240 | lrm: 0.14 | dt: 2547ms | tok/sec: 25,726 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 8.313010 | lrm: 0.31 | dt: 2357ms | tok/sec: 27,805 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.4%) | loss: 8.282236 | lrm: 0.47 | dt: 2245ms | tok/sec: 29,196 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00015 (3.1%) | loss: 8.176337 | lrm: 0.62 | dt: 2181ms | tok/sec: 30,044 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.8%) | loss: 8.008010 | lrm: 0.77 | dt: 2231ms | tok/sec: 29,375 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.6%) | loss: 7.825015 | lrm: 0.91 | dt: 2121ms | tok/sec: 30,892 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00018 (5.3%) | loss: 7.649625 | lrm: 1.00 | dt: 2076ms | tok/sec: 31,567 | mfu: 0.2% | epoch: 1 | remaining: 282s    
