Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 3535ms | tok/sec: 18,539 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2578ms | tok/sec: 25,416 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2394ms | tok/sec: 27,370 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2449ms | tok/sec: 26,757 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2741ms | tok/sec: 23,912 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2511ms | tok/sec: 26,098 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2448ms | tok/sec: 26,766 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2444ms | tok/sec: 26,810 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2806ms | tok/sec: 23,358 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2461ms | tok/sec: 26,635 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2520ms | tok/sec: 26,001 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2477ms | tok/sec: 26,456 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 8.320240 | lrm: 0.17 | dt: 3004ms | tok/sec: 21,815 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.8%) | loss: 8.312074 | lrm: 0.37 | dt: 2515ms | tok/sec: 26,053 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00014 (2.7%) | loss: 8.276702 | lrm: 0.53 | dt: 2471ms | tok/sec: 26,522 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.5%) | loss: 8.158360 | lrm: 0.70 | dt: 2489ms | tok/sec: 26,330 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00016 (4.3%) | loss: 7.997178 | lrm: 0.86 | dt: 2834ms | tok/sec: 23,128 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00017 (5.3%) | loss: 7.815949 | lrm: 1.00 | dt: 2529ms | tok/sec: 25,908 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00018 (6.1%) | loss: 7.633509 | lrm: 1.00 | dt: 2508ms | tok/sec: 26,128 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00019 (6.9%) | loss: 7.479402 | lrm: 1.00 | dt: 2499ms | tok/sec: 26,223 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00020 (7.8%) | loss: 7.327052 | lrm: 1.00 | dt: 2885ms | tok/sec: 22,713 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00021 (8.7%) | loss: 7.180944 | lrm: 1.00 | dt: 2444ms | tok/sec: 26,820 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00022 (9.6%) | loss: 7.047471 | lrm: 1.00 | dt: 2449ms | tok/sec: 26,756 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00023 (10.4%) | loss: 6.926228 | lrm: 1.00 | dt: 2490ms | tok/sec: 26,316 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00024 (11.2%) | loss: 6.816346 | lrm: 1.00 | dt: 2709ms | tok/sec: 24,192 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00025 (12.1%) | loss: 6.715593 | lrm: 1.00 | dt: 2402ms | tok/sec: 27,284 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00026 (12.9%) | loss: 6.623959 | lrm: 1.00 | dt: 2435ms | tok/sec: 26,914 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00027 (13.7%) | loss: 6.541774 | lrm: 1.00 | dt: 2448ms | tok/sec: 26,767 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00028 (14.5%) | loss: 6.466553 | lrm: 1.00 | dt: 3045ms | tok/sec: 21,523 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00029 (15.5%) | loss: 6.397550 | lrm: 1.00 | dt: 2402ms | tok/sec: 27,282 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00030 (16.3%) | loss: 6.335713 | lrm: 1.00 | dt: 2407ms | tok/sec: 27,229 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00031 (17.1%) | loss: 6.279966 | lrm: 1.00 | dt: 2452ms | tok/sec: 26,724 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00032 (18.0%) | loss: 6.229413 | lrm: 1.00 | dt: 2848ms | tok/sec: 23,012 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00033 (18.9%) | loss: 6.181608 | lrm: 1.00 | dt: 2475ms | tok/sec: 26,478 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00034 (19.7%) | loss: 6.139018 | lrm: 1.00 | dt: 2447ms | tok/sec: 26,778 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00035 (20.6%) | loss: 6.100084 | lrm: 1.00 | dt: 2464ms | tok/sec: 26,594 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00036 (21.4%) | loss: 6.066739 | lrm: 1.00 | dt: 2715ms | tok/sec: 24,138 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00037 (22.3%) | loss: 6.033607 | lrm: 1.00 | dt: 2482ms | tok/sec: 26,405 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00038 (23.1%) | loss: 6.002970 | lrm: 1.00 | dt: 2484ms | tok/sec: 26,379 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00039 (23.9%) | loss: 5.975396 | lrm: 1.00 | dt: 2482ms | tok/sec: 26,409 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00040 (24.8%) | loss: 5.951378 | lrm: 1.00 | dt: 2725ms | tok/sec: 24,052 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00041 (25.7%) | loss: 5.929258 | lrm: 1.00 | dt: 2631ms | tok/sec: 24,910 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00042 (26.5%) | loss: 5.905344 | lrm: 1.00 | dt: 2569ms | tok/sec: 25,507 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00043 (27.4%) | loss: 5.887280 | lrm: 1.00 | dt: 2457ms | tok/sec: 26,668 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00044 (28.2%) | loss: 5.866944 | lrm: 1.00 | dt: 2700ms | tok/sec: 24,269 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00045 (29.1%) | loss: 5.843458 | lrm: 1.00 | dt: 2492ms | tok/sec: 26,301 | mfu: 0.1% | epoch: 1 | remaining: 210s    
step 00046 (30.0%) | loss: 5.821166 | lrm: 1.00 | dt: 2454ms | tok/sec: 26,709 | mfu: 0.1% | epoch: 1 | remaining: 208s    
