Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 3072ms | tok/sec: 10,664 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 967ms | tok/sec: 33,900 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 705ms | tok/sec: 46,498 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 668ms | tok/sec: 49,029 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 685ms | tok/sec: 47,833 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 770ms | tok/sec: 42,567 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 789ms | tok/sec: 41,519 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 746ms | tok/sec: 43,940 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 951ms | tok/sec: 34,448 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 711ms | tok/sec: 46,066 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 646ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 747ms | tok/sec: 43,884 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 719ms | tok/sec: 45,571 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.05 | dt: 729ms | tok/sec: 44,947 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 8.317352 | lrm: 0.10 | dt: 766ms | tok/sec: 42,760 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.313421 | lrm: 0.15 | dt: 670ms | tok/sec: 48,943 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 8.304831 | lrm: 0.19 | dt: 651ms | tok/sec: 50,301 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 8.286883 | lrm: 0.24 | dt: 967ms | tok/sec: 33,872 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 8.250860 | lrm: 0.30 | dt: 734ms | tok/sec: 44,651 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.7%) | loss: 8.182601 | lrm: 0.35 | dt: 706ms | tok/sec: 46,391 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 8.076920 | lrm: 0.40 | dt: 663ms | tok/sec: 49,415 | mfu: 0.1% | epoch: 1 | remaining: 293s    
[mini-eval] step    20 val_bpb=2.2985 (overhead 675ms)

step 00020 (2.2%) | loss: 7.946299 | lrm: 0.44 | dt: 727ms | tok/sec: 45,050 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00021 (2.4%) | loss: 7.813404 | lrm: 0.49 | dt: 690ms | tok/sec: 47,493 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00022 (2.7%) | loss: 7.688226 | lrm: 0.53 | dt: 676ms | tok/sec: 48,504 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00023 (2.9%) | loss: 7.563421 | lrm: 0.58 | dt: 687ms | tok/sec: 47,697 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00024 (3.1%) | loss: 7.451054 | lrm: 0.63 | dt: 847ms | tok/sec: 38,696 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00025 (3.4%) | loss: 7.338062 | lrm: 0.68 | dt: 712ms | tok/sec: 46,016 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00026 (3.6%) | loss: 7.234362 | lrm: 0.73 | dt: 666ms | tok/sec: 49,164 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00027 (3.9%) | loss: 7.131270 | lrm: 0.77 | dt: 731ms | tok/sec: 44,822 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00028 (4.1%) | loss: 7.033796 | lrm: 0.82 | dt: 713ms | tok/sec: 45,989 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00029 (4.4%) | loss: 6.943086 | lrm: 0.87 | dt: 664ms | tok/sec: 49,357 | mfu: 0.1% | epoch: 1 | remaining: 286s    
[mini-eval] step    30 val_bpb=2.1115 (overhead 694ms)

step 00030 (4.6%) | loss: 6.860920 | lrm: 0.91 | dt: 996ms | tok/sec: 32,903 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00031 (4.9%) | loss: 6.785656 | lrm: 0.98 | dt: 737ms | tok/sec: 44,450 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00032 (5.2%) | loss: 6.717020 | lrm: 1.00 | dt: 881ms | tok/sec: 37,192 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00033 (5.4%) | loss: 6.655019 | lrm: 1.00 | dt: 640ms | tok/sec: 51,161 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00034 (5.7%) | loss: 6.599942 | lrm: 1.00 | dt: 635ms | tok/sec: 51,567 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00035 (5.9%) | loss: 6.546745 | lrm: 1.00 | dt: 762ms | tok/sec: 42,976 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00036 (6.1%) | loss: 6.498619 | lrm: 1.00 | dt: 658ms | tok/sec: 49,774 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00037 (6.3%) | loss: 6.453972 | lrm: 1.00 | dt: 658ms | tok/sec: 49,778 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00038 (6.6%) | loss: 6.414228 | lrm: 1.00 | dt: 668ms | tok/sec: 49,046 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00039 (6.8%) | loss: 6.377510 | lrm: 1.00 | dt: 658ms | tok/sec: 49,797 | mfu: 0.1% | epoch: 1 | remaining: 279s    
[mini-eval] step    40 val_bpb=2.0824 (overhead 633ms)

step 00040 (7.0%) | loss: 6.345316 | lrm: 1.00 | dt: 821ms | tok/sec: 39,901 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00041 (7.3%) | loss: 6.316737 | lrm: 1.00 | dt: 723ms | tok/sec: 45,314 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00042 (7.5%) | loss: 6.291359 | lrm: 1.00 | dt: 750ms | tok/sec: 43,706 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00043 (7.8%) | loss: 6.266408 | lrm: 1.00 | dt: 652ms | tok/sec: 50,281 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00044 (8.0%) | loss: 6.243186 | lrm: 1.00 | dt: 657ms | tok/sec: 49,860 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00045 (8.2%) | loss: 6.219284 | lrm: 1.00 | dt: 704ms | tok/sec: 46,530 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00046 (8.4%) | loss: 6.196645 | lrm: 1.00 | dt: 652ms | tok/sec: 50,225 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00047 (8.7%) | loss: 6.177413 | lrm: 1.00 | dt: 659ms | tok/sec: 49,711 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00048 (8.9%) | loss: 6.161120 | lrm: 1.00 | dt: 844ms | tok/sec: 38,845 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00049 (9.2%) | loss: 6.142462 | lrm: 1.00 | dt: 659ms | tok/sec: 49,758 | mfu: 0.1% | epoch: 1 | remaining: 272s    
