Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 2462ms | tok/sec: 13,308 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 770ms | tok/sec: 42,543 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 670ms | tok/sec: 48,943 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 644ms | tok/sec: 50,878 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 692ms | tok/sec: 47,370 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 689ms | tok/sec: 47,580 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 711ms | tok/sec: 46,056 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 635ms | tok/sec: 51,581 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 838ms | tok/sec: 39,094 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 643ms | tok/sec: 51,000 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 640ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 678ms | tok/sec: 48,300 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 777ms | tok/sec: 42,170 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 8.318742 | lrm: 0.05 | dt: 732ms | tok/sec: 44,772 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 8.317434 | lrm: 0.10 | dt: 659ms | tok/sec: 49,707 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.313829 | lrm: 0.14 | dt: 664ms | tok/sec: 49,327 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 8.306313 | lrm: 0.19 | dt: 639ms | tok/sec: 51,285 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00016 (1.2%) | loss: 8.290889 | lrm: 0.23 | dt: 834ms | tok/sec: 39,283 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 8.260247 | lrm: 0.29 | dt: 635ms | tok/sec: 51,621 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 8.203054 | lrm: 0.33 | dt: 638ms | tok/sec: 51,397 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 8.114265 | lrm: 0.37 | dt: 639ms | tok/sec: 51,280 | mfu: 0.1% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3488 (overhead 636ms)

step 00020 (2.1%) | loss: 7.999605 | lrm: 0.41 | dt: 636ms | tok/sec: 51,525 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 7.874354 | lrm: 0.46 | dt: 649ms | tok/sec: 50,476 | mfu: 0.1% | epoch: 1 | remaining: 292s    
