Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 3965ms | tok/sec: 8,264 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 1069ms | tok/sec: 30,661 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 752ms | tok/sec: 43,600 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 707ms | tok/sec: 46,329 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 723ms | tok/sec: 45,303 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 653ms | tok/sec: 50,170 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 650ms | tok/sec: 50,447 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 658ms | tok/sec: 49,778 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 936ms | tok/sec: 34,989 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 709ms | tok/sec: 46,232 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 740ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 794ms | tok/sec: 41,274 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 701ms | tok/sec: 46,721 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.05 | dt: 752ms | tok/sec: 43,584 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 8.317392 | lrm: 0.10 | dt: 759ms | tok/sec: 43,167 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.313505 | lrm: 0.15 | dt: 808ms | tok/sec: 40,542 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.0%) | loss: 8.305049 | lrm: 0.20 | dt: 686ms | tok/sec: 47,770 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.2%) | loss: 8.286918 | lrm: 0.25 | dt: 920ms | tok/sec: 35,625 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.5%) | loss: 8.250201 | lrm: 0.31 | dt: 646ms | tok/sec: 50,745 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.8%) | loss: 8.181030 | lrm: 0.35 | dt: 641ms | tok/sec: 51,080 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00019 (2.0%) | loss: 8.075138 | lrm: 0.39 | dt: 704ms | tok/sec: 46,570 | mfu: 0.1% | epoch: 1 | remaining: 293s    
[mini-eval] step    20 val_bpb=2.2988 (overhead 652ms)

step 00020 (2.2%) | loss: 7.944588 | lrm: 0.44 | dt: 648ms | tok/sec: 50,571 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00021 (2.4%) | loss: 7.811319 | lrm: 0.48 | dt: 648ms | tok/sec: 50,582 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00022 (2.6%) | loss: 7.686456 | lrm: 0.53 | dt: 656ms | tok/sec: 49,956 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00023 (2.9%) | loss: 7.563931 | lrm: 0.57 | dt: 758ms | tok/sec: 43,203 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00024 (3.1%) | loss: 7.440481 | lrm: 0.62 | dt: 882ms | tok/sec: 37,167 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00025 (3.4%) | loss: 7.322993 | lrm: 0.68 | dt: 779ms | tok/sec: 42,067 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00026 (3.7%) | loss: 7.214829 | lrm: 0.73 | dt: 788ms | tok/sec: 41,591 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00027 (3.9%) | loss: 7.108687 | lrm: 0.79 | dt: 846ms | tok/sec: 38,725 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00028 (4.2%) | loss: 7.009201 | lrm: 0.84 | dt: 1249ms | tok/sec: 26,239 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00029 (4.6%) | loss: 6.918132 | lrm: 0.92 | dt: 1033ms | tok/sec: 31,729 | mfu: 0.1% | epoch: 1 | remaining: 285s    
[mini-eval] step    30 val_bpb=2.1059 (overhead 916ms)

step 00030 (5.0%) | loss: 6.837081 | lrm: 0.99 | dt: 1253ms | tok/sec: 26,149 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00031 (5.4%) | loss: 6.763476 | lrm: 1.00 | dt: 982ms | tok/sec: 33,360 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00032 (5.7%) | loss: 6.696437 | lrm: 1.00 | dt: 1848ms | tok/sec: 17,729 | mfu: 0.0% | epoch: 1 | remaining: 281s    
step 00033 (6.3%) | loss: 6.635419 | lrm: 1.00 | dt: 1769ms | tok/sec: 18,527 | mfu: 0.0% | epoch: 1 | remaining: 279s    
step 00034 (6.9%) | loss: 6.581662 | lrm: 1.00 | dt: 904ms | tok/sec: 36,261 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00035 (7.2%) | loss: 6.530339 | lrm: 1.00 | dt: 1137ms | tok/sec: 28,829 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00036 (7.6%) | loss: 6.483060 | lrm: 1.00 | dt: 1077ms | tok/sec: 30,430 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00037 (8.0%) | loss: 6.439417 | lrm: 1.00 | dt: 906ms | tok/sec: 36,160 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00038 (8.3%) | loss: 6.400543 | lrm: 1.00 | dt: 848ms | tok/sec: 38,655 | mfu: 0.1% | epoch: 1 | remaining: 274s    
