Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 4,194,304
  lm_head                 : 2,097,152
  transformer_matrices    : 12,583,168
  scalars                 : 8
  total                   : 20,971,784
Estimated FLOPs per token: 1.258307e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.317504 | lrm: 0.00 | dt: 4649ms | tok/sec: 7,048 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.317491 | lrm: 0.00 | dt: 2526ms | tok/sec: 12,972 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.317506 | lrm: 0.00 | dt: 2393ms | tok/sec: 13,693 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.317533 | lrm: 0.00 | dt: 2391ms | tok/sec: 13,702 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.317532 | lrm: 0.00 | dt: 2481ms | tok/sec: 13,209 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.317559 | lrm: 0.00 | dt: 2418ms | tok/sec: 13,550 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.317536 | lrm: 0.00 | dt: 2325ms | tok/sec: 14,096 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.317504 | lrm: 0.00 | dt: 2296ms | tok/sec: 14,268 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.317462 | lrm: 0.00 | dt: 2344ms | tok/sec: 13,978 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.317414 | lrm: 0.00 | dt: 2494ms | tok/sec: 13,141 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7174 (overhead 1091ms)
