Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 2921ms | tok/sec: 22,435 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.472966 | lrm: 1.00 | dt: 2068ms | tok/sec: 31,692 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.239895 | lrm: 1.00 | dt: 2037ms | tok/sec: 32,176 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.831693 | lrm: 1.00 | dt: 2048ms | tok/sec: 31,996 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.520330 | lrm: 1.00 | dt: 2194ms | tok/sec: 29,871 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.245767 | lrm: 1.00 | dt: 2080ms | tok/sec: 31,506 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.021607 | lrm: 1.00 | dt: 2045ms | tok/sec: 32,039 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.842772 | lrm: 1.00 | dt: 2036ms | tok/sec: 32,190 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.693826 | lrm: 1.00 | dt: 2218ms | tok/sec: 29,552 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.572398 | lrm: 1.00 | dt: 2036ms | tok/sec: 32,184 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.471765 | lrm: 1.00 | dt: 2035ms | tok/sec: 32,205 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.385037 | lrm: 1.00 | dt: 2109ms | tok/sec: 31,068 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 6.313922 | lrm: 1.00 | dt: 2286ms | tok/sec: 28,672 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.5%) | loss: 6.249030 | lrm: 1.00 | dt: 2103ms | tok/sec: 31,159 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (2.2%) | loss: 6.193012 | lrm: 1.00 | dt: 2055ms | tok/sec: 31,885 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 6.143600 | lrm: 1.00 | dt: 2182ms | tok/sec: 30,040 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.6%) | loss: 6.101050 | lrm: 1.00 | dt: 2226ms | tok/sec: 29,447 | mfu: 0.1% | epoch: 1 | remaining: 287s    
