Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 0.00 | dt: 4287ms | tok/sec: 15,287 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.320214 | lrm: 0.00 | dt: 2434ms | tok/sec: 26,922 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.320241 | lrm: 0.00 | dt: 2525ms | tok/sec: 25,958 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2366ms | tok/sec: 27,703 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.320279 | lrm: 0.00 | dt: 2833ms | tok/sec: 23,132 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.320259 | lrm: 0.00 | dt: 2441ms | tok/sec: 26,852 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.320272 | lrm: 0.00 | dt: 2503ms | tok/sec: 26,181 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.320262 | lrm: 0.00 | dt: 2530ms | tok/sec: 25,899 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.320265 | lrm: 0.00 | dt: 2822ms | tok/sec: 23,223 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.320274 | lrm: 0.00 | dt: 2398ms | tok/sec: 27,327 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 8.320256 | lrm: 0.00 | dt: 2432ms | tok/sec: 26,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.320243 | lrm: 0.00 | dt: 2704ms | tok/sec: 24,234 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00012 (0.9%) | loss: 8.320240 | lrm: 0.18 | dt: 3105ms | tok/sec: 21,107 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00013 (1.9%) | loss: 8.311347 | lrm: 0.39 | dt: 2460ms | tok/sec: 26,637 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00014 (2.8%) | loss: 8.271412 | lrm: 0.55 | dt: 2438ms | tok/sec: 26,876 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00015 (3.6%) | loss: 8.139588 | lrm: 0.71 | dt: 2454ms | tok/sec: 26,701 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00016 (4.4%) | loss: 8.085781 | lrm: 0.88 | dt: 3504ms | tok/sec: 18,701 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00017 (5.6%) | loss: 7.937068 | lrm: 1.00 | dt: 2790ms | tok/sec: 23,487 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00018 (6.5%) | loss: 7.774629 | lrm: 1.00 | dt: 2502ms | tok/sec: 26,191 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00019 (7.3%) | loss: 7.605433 | lrm: 1.00 | dt: 2533ms | tok/sec: 25,873 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00020 (8.2%) | loss: 7.452700 | lrm: 1.00 | dt: 2927ms | tok/sec: 22,392 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00021 (9.1%) | loss: 7.302842 | lrm: 1.00 | dt: 2486ms | tok/sec: 26,366 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00022 (10.0%) | loss: 7.157334 | lrm: 1.00 | dt: 2370ms | tok/sec: 27,657 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00023 (10.8%) | loss: 7.023641 | lrm: 1.00 | dt: 2410ms | tok/sec: 27,187 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00024 (11.6%) | loss: 6.906650 | lrm: 1.00 | dt: 2665ms | tok/sec: 24,589 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00025 (12.4%) | loss: 6.800583 | lrm: 1.00 | dt: 2398ms | tok/sec: 27,333 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00026 (13.2%) | loss: 6.703389 | lrm: 1.00 | dt: 2403ms | tok/sec: 27,270 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00027 (14.1%) | loss: 6.615422 | lrm: 1.00 | dt: 2372ms | tok/sec: 27,631 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00028 (14.8%) | loss: 6.533761 | lrm: 1.00 | dt: 2930ms | tok/sec: 22,368 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00029 (15.8%) | loss: 6.459250 | lrm: 1.00 | dt: 2608ms | tok/sec: 25,130 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00030 (16.7%) | loss: 6.392878 | lrm: 1.00 | dt: 2523ms | tok/sec: 25,973 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00031 (17.5%) | loss: 6.332889 | lrm: 1.00 | dt: 2430ms | tok/sec: 26,966 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00032 (18.3%) | loss: 6.278135 | lrm: 1.00 | dt: 2768ms | tok/sec: 23,674 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00033 (19.3%) | loss: 6.226686 | lrm: 1.00 | dt: 2327ms | tok/sec: 28,157 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00034 (20.0%) | loss: 6.180827 | lrm: 1.00 | dt: 2365ms | tok/sec: 27,709 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00035 (20.8%) | loss: 6.139066 | lrm: 1.00 | dt: 2436ms | tok/sec: 26,901 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00036 (21.6%) | loss: 6.103417 | lrm: 1.00 | dt: 2941ms | tok/sec: 22,280 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00037 (22.6%) | loss: 6.068554 | lrm: 1.00 | dt: 2444ms | tok/sec: 26,815 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00038 (23.4%) | loss: 6.036259 | lrm: 1.00 | dt: 2313ms | tok/sec: 28,337 | mfu: 0.1% | epoch: 1 | remaining: 227s    
