Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 288, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,179,648
  value_embeds            : 1,179,648
  lm_head                 : 1,179,648
  transformer_matrices    : 1,990,752
  scalars                 : 4
  total                   : 5,529,700
Estimated FLOPs per token: 2.963923e+07
Scaling AdamW LRs by 1/sqrt(288/768) = 1.632993
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.317259 | lrm: 0.00 | dt: 3214ms | tok/sec: 10,196 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.317296 | lrm: 0.00 | dt: 858ms | tok/sec: 38,183 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.317336 | lrm: 0.00 | dt: 845ms | tok/sec: 38,761 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.317379 | lrm: 0.00 | dt: 776ms | tok/sec: 42,204 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.317389 | lrm: 0.00 | dt: 878ms | tok/sec: 37,310 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.317425 | lrm: 0.00 | dt: 792ms | tok/sec: 41,354 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.317415 | lrm: 0.00 | dt: 828ms | tok/sec: 39,593 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.317420 | lrm: 0.00 | dt: 780ms | tok/sec: 42,008 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.317416 | lrm: 0.00 | dt: 995ms | tok/sec: 32,948 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.317420 | lrm: 0.00 | dt: 812ms | tok/sec: 40,351 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7172 (overhead 1241ms)

step 00010 (0.0%) | loss: 8.317418 | lrm: 0.00 | dt: 971ms | tok/sec: 33,738 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.317408 | lrm: 0.00 | dt: 825ms | tok/sec: 39,736 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 8.317380 | lrm: 0.05 | dt: 799ms | tok/sec: 41,024 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.5%) | loss: 8.315736 | lrm: 0.11 | dt: 798ms | tok/sec: 41,039 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.8%) | loss: 8.311064 | lrm: 0.16 | dt: 821ms | tok/sec: 39,919 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (1.1%) | loss: 8.300991 | lrm: 0.22 | dt: 783ms | tok/sec: 41,828 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.3%) | loss: 8.279669 | lrm: 0.27 | dt: 935ms | tok/sec: 35,027 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 8.236742 | lrm: 0.33 | dt: 782ms | tok/sec: 41,905 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00018 (1.9%) | loss: 8.157524 | lrm: 0.38 | dt: 775ms | tok/sec: 42,287 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00019 (2.2%) | loss: 8.039682 | lrm: 0.43 | dt: 960ms | tok/sec: 34,124 | mfu: 0.1% | epoch: 1 | remaining: 293s    
[mini-eval] step    20 val_bpb=2.2695 (overhead 779ms)

step 00020 (2.5%) | loss: 7.900604 | lrm: 0.50 | dt: 1101ms | tok/sec: 29,756 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00021 (2.9%) | loss: 7.764922 | lrm: 0.57 | dt: 803ms | tok/sec: 40,822 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00022 (3.1%) | loss: 7.636486 | lrm: 0.63 | dt: 779ms | tok/sec: 42,044 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00023 (3.4%) | loss: 7.505795 | lrm: 0.68 | dt: 861ms | tok/sec: 38,080 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00024 (3.7%) | loss: 7.390947 | lrm: 0.73 | dt: 952ms | tok/sec: 34,413 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00025 (4.0%) | loss: 7.276038 | lrm: 0.80 | dt: 819ms | tok/sec: 40,028 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00026 (4.3%) | loss: 7.170107 | lrm: 0.85 | dt: 927ms | tok/sec: 35,362 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00027 (4.6%) | loss: 7.066844 | lrm: 0.91 | dt: 822ms | tok/sec: 39,841 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00028 (4.8%) | loss: 6.972002 | lrm: 0.97 | dt: 881ms | tok/sec: 37,207 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00029 (5.1%) | loss: 6.885162 | lrm: 1.00 | dt: 801ms | tok/sec: 40,908 | mfu: 0.1% | epoch: 1 | remaining: 284s    
[mini-eval] step    30 val_bpb=2.1018 (overhead 804ms)

step 00030 (5.4%) | loss: 6.807183 | lrm: 1.00 | dt: 1166ms | tok/sec: 28,094 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00031 (5.8%) | loss: 6.735882 | lrm: 1.00 | dt: 825ms | tok/sec: 39,712 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00032 (6.1%) | loss: 6.670817 | lrm: 1.00 | dt: 975ms | tok/sec: 33,601 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00033 (6.4%) | loss: 6.611853 | lrm: 1.00 | dt: 842ms | tok/sec: 38,934 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00034 (6.7%) | loss: 6.559923 | lrm: 1.00 | dt: 825ms | tok/sec: 39,720 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00035 (7.0%) | loss: 6.509792 | lrm: 1.00 | dt: 947ms | tok/sec: 34,598 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00036 (7.3%) | loss: 6.464207 | lrm: 1.00 | dt: 795ms | tok/sec: 41,193 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00037 (7.5%) | loss: 6.422236 | lrm: 1.00 | dt: 960ms | tok/sec: 34,119 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00038 (7.9%) | loss: 6.384887 | lrm: 1.00 | dt: 978ms | tok/sec: 33,510 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00039 (8.2%) | loss: 6.350491 | lrm: 1.00 | dt: 976ms | tok/sec: 33,571 | mfu: 0.1% | epoch: 1 | remaining: 274s    
[mini-eval] step    40 val_bpb=2.0792 (overhead 841ms)

step 00040 (8.5%) | loss: 6.319980 | lrm: 1.00 | dt: 1379ms | tok/sec: 23,767 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00041 (9.0%) | loss: 6.292768 | lrm: 1.00 | dt: 875ms | tok/sec: 37,464 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00042 (9.3%) | loss: 6.268751 | lrm: 1.00 | dt: 1033ms | tok/sec: 31,725 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00043 (9.6%) | loss: 6.244558 | lrm: 1.00 | dt: 964ms | tok/sec: 34,001 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00044 (9.9%) | loss: 6.221762 | lrm: 1.00 | dt: 945ms | tok/sec: 34,674 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00045 (10.2%) | loss: 6.198393 | lrm: 1.00 | dt: 931ms | tok/sec: 35,189 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00046 (10.5%) | loss: 6.176697 | lrm: 1.00 | dt: 922ms | tok/sec: 35,539 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00047 (10.9%) | loss: 6.158587 | lrm: 1.00 | dt: 933ms | tok/sec: 35,105 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00048 (11.2%) | loss: 6.143433 | lrm: 1.00 | dt: 989ms | tok/sec: 33,126 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00049 (11.5%) | loss: 6.126877 | lrm: 1.00 | dt: 927ms | tok/sec: 35,337 | mfu: 0.1% | epoch: 1 | remaining: 265s    
[mini-eval] step    50 val_bpb=2.0638 (overhead 1088ms)

step 00050 (11.8%) | loss: 6.114375 | lrm: 1.00 | dt: 1206ms | tok/sec: 27,172 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00051 (12.2%) | loss: 6.100713 | lrm: 1.00 | dt: 861ms | tok/sec: 38,047 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00052 (12.5%) | loss: 6.085366 | lrm: 1.00 | dt: 883ms | tok/sec: 37,114 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00053 (12.8%) | loss: 6.068411 | lrm: 1.00 | dt: 947ms | tok/sec: 34,610 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00054 (13.1%) | loss: 6.051866 | lrm: 1.00 | dt: 927ms | tok/sec: 35,342 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00055 (13.4%) | loss: 6.040544 | lrm: 1.00 | dt: 865ms | tok/sec: 37,869 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00056 (13.7%) | loss: 6.032106 | lrm: 1.00 | dt: 1080ms | tok/sec: 30,331 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00057 (14.1%) | loss: 6.018940 | lrm: 1.00 | dt: 869ms | tok/sec: 37,688 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00058 (14.4%) | loss: 6.006703 | lrm: 1.00 | dt: 817ms | tok/sec: 40,095 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00059 (14.6%) | loss: 5.996354 | lrm: 1.00 | dt: 997ms | tok/sec: 32,874 | mfu: 0.1% | epoch: 1 | remaining: 255s    
[mini-eval] step    60 val_bpb=2.0267 (overhead 821ms)

step 00060 (15.0%) | loss: 5.981431 | lrm: 1.00 | dt: 1275ms | tok/sec: 25,697 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00061 (15.4%) | loss: 5.965570 | lrm: 1.00 | dt: 843ms | tok/sec: 38,868 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00062 (15.7%) | loss: 5.950427 | lrm: 1.00 | dt: 876ms | tok/sec: 37,412 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00063 (16.0%) | loss: 5.938215 | lrm: 1.00 | dt: 941ms | tok/sec: 34,837 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00064 (16.3%) | loss: 5.928094 | lrm: 1.00 | dt: 1008ms | tok/sec: 32,518 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00065 (16.6%) | loss: 5.917436 | lrm: 1.00 | dt: 934ms | tok/sec: 35,076 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00066 (16.9%) | loss: 5.907146 | lrm: 1.00 | dt: 806ms | tok/sec: 40,642 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00067 (17.2%) | loss: 5.895998 | lrm: 1.00 | dt: 955ms | tok/sec: 34,304 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00068 (17.5%) | loss: 5.884669 | lrm: 1.00 | dt: 861ms | tok/sec: 38,037 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00069 (17.8%) | loss: 5.873517 | lrm: 1.00 | dt: 1004ms | tok/sec: 32,648 | mfu: 0.1% | epoch: 1 | remaining: 246s    
[mini-eval] step    70 val_bpb=2.0190 (overhead 885ms)

step 00070 (18.1%) | loss: 5.861023 | lrm: 1.00 | dt: 1303ms | tok/sec: 25,143 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00071 (18.6%) | loss: 5.849505 | lrm: 1.00 | dt: 829ms | tok/sec: 39,528 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00072 (18.8%) | loss: 5.841053 | lrm: 1.00 | dt: 1443ms | tok/sec: 22,712 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00073 (19.3%) | loss: 5.837538 | lrm: 1.00 | dt: 1063ms | tok/sec: 30,837 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00074 (19.7%) | loss: 5.832410 | lrm: 1.00 | dt: 942ms | tok/sec: 34,788 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00075 (20.0%) | loss: 5.826766 | lrm: 1.00 | dt: 829ms | tok/sec: 39,533 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00076 (20.3%) | loss: 5.820104 | lrm: 1.00 | dt: 996ms | tok/sec: 32,912 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00077 (20.6%) | loss: 5.813630 | lrm: 1.00 | dt: 980ms | tok/sec: 33,428 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00078 (20.9%) | loss: 5.807587 | lrm: 1.00 | dt: 791ms | tok/sec: 41,401 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00079 (21.2%) | loss: 5.801956 | lrm: 1.00 | dt: 787ms | tok/sec: 41,640 | mfu: 0.1% | epoch: 1 | remaining: 236s    
[mini-eval] step    80 val_bpb=2.0108 (overhead 856ms)

step 00080 (21.4%) | loss: 5.798101 | lrm: 1.00 | dt: 1421ms | tok/sec: 23,061 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00081 (21.9%) | loss: 5.793640 | lrm: 1.00 | dt: 881ms | tok/sec: 37,196 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00082 (22.2%) | loss: 5.789512 | lrm: 1.00 | dt: 781ms | tok/sec: 41,954 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00083 (22.5%) | loss: 5.785822 | lrm: 1.00 | dt: 814ms | tok/sec: 40,266 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00084 (22.7%) | loss: 5.780822 | lrm: 1.00 | dt: 921ms | tok/sec: 35,596 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00085 (23.0%) | loss: 5.778096 | lrm: 1.00 | dt: 768ms | tok/sec: 42,685 | mfu: 0.1% | epoch: 1 | remaining: 230s    
