Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 3234ms | tok/sec: 10,130 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 1075ms | tok/sec: 30,471 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 752ms | tok/sec: 43,579 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 672ms | tok/sec: 48,743 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 666ms | tok/sec: 49,233 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 641ms | tok/sec: 51,081 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 669ms | tok/sec: 48,989 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 723ms | tok/sec: 45,335 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 873ms | tok/sec: 37,534 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 699ms | tok/sec: 46,909 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 919ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 1268ms | tok/sec: 25,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 676ms | tok/sec: 48,443 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.05 | dt: 668ms | tok/sec: 49,070 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 8.317436 | lrm: 0.09 | dt: 671ms | tok/sec: 48,802 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.313784 | lrm: 0.13 | dt: 726ms | tok/sec: 45,121 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 8.306024 | lrm: 0.18 | dt: 652ms | tok/sec: 50,285 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 8.289740 | lrm: 0.23 | dt: 836ms | tok/sec: 39,219 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.4%) | loss: 8.256929 | lrm: 0.28 | dt: 687ms | tok/sec: 47,698 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.6%) | loss: 8.194405 | lrm: 0.33 | dt: 644ms | tok/sec: 50,920 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00019 (1.9%) | loss: 8.095672 | lrm: 0.37 | dt: 634ms | tok/sec: 51,693 | mfu: 0.1% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3157 (overhead 728ms)

step 00020 (2.1%) | loss: 7.969685 | lrm: 0.41 | dt: 702ms | tok/sec: 46,702 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00021 (2.3%) | loss: 7.837451 | lrm: 0.46 | dt: 647ms | tok/sec: 50,645 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00022 (2.5%) | loss: 7.712375 | lrm: 0.50 | dt: 661ms | tok/sec: 49,593 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00023 (2.7%) | loss: 7.590464 | lrm: 0.55 | dt: 636ms | tok/sec: 51,517 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00024 (2.9%) | loss: 7.469723 | lrm: 0.59 | dt: 813ms | tok/sec: 40,290 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00025 (3.2%) | loss: 7.355070 | lrm: 0.64 | dt: 629ms | tok/sec: 52,083 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00026 (3.4%) | loss: 7.247695 | lrm: 0.69 | dt: 650ms | tok/sec: 50,393 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00027 (3.6%) | loss: 7.141737 | lrm: 0.73 | dt: 633ms | tok/sec: 51,745 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00028 (3.9%) | loss: 7.041183 | lrm: 0.77 | dt: 632ms | tok/sec: 51,857 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00029 (4.1%) | loss: 6.947640 | lrm: 0.81 | dt: 633ms | tok/sec: 51,798 | mfu: 0.1% | epoch: 1 | remaining: 287s    
[mini-eval] step    30 val_bpb=2.1066 (overhead 624ms)

step 00030 (4.3%) | loss: 6.863701 | lrm: 0.86 | dt: 628ms | tok/sec: 52,176 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00031 (4.5%) | loss: 6.787668 | lrm: 0.90 | dt: 628ms | tok/sec: 52,203 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00032 (4.7%) | loss: 6.720217 | lrm: 0.94 | dt: 859ms | tok/sec: 38,155 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00033 (5.0%) | loss: 6.657354 | lrm: 1.00 | dt: 745ms | tok/sec: 44,011 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00034 (5.2%) | loss: 6.601622 | lrm: 1.00 | dt: 636ms | tok/sec: 51,513 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00035 (5.4%) | loss: 6.547702 | lrm: 1.00 | dt: 669ms | tok/sec: 48,964 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00036 (5.7%) | loss: 6.499001 | lrm: 1.00 | dt: 726ms | tok/sec: 45,121 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00037 (5.9%) | loss: 6.454042 | lrm: 1.00 | dt: 713ms | tok/sec: 45,945 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00038 (6.1%) | loss: 6.413992 | lrm: 1.00 | dt: 631ms | tok/sec: 51,938 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00039 (6.4%) | loss: 6.376935 | lrm: 1.00 | dt: 631ms | tok/sec: 51,936 | mfu: 0.1% | epoch: 1 | remaining: 280s    
