Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 5.976998e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 2844ms | tok/sec: 11,520 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 1884ms | tok/sec: 17,393 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1646ms | tok/sec: 19,907 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1701ms | tok/sec: 19,258 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1657ms | tok/sec: 19,772 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1631ms | tok/sec: 20,088 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1632ms | tok/sec: 20,077 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1627ms | tok/sec: 20,135 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1747ms | tok/sec: 18,753 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 1983ms | tok/sec: 16,523 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 798ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1697ms | tok/sec: 19,311 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1673ms | tok/sec: 19,581 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.6%) | loss: 8.318731 | lrm: 0.11 | dt: 1689ms | tok/sec: 19,396 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.1%) | loss: 8.315520 | lrm: 0.22 | dt: 1616ms | tok/sec: 20,277 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00014 (1.7%) | loss: 8.304998 | lrm: 0.33 | dt: 1632ms | tok/sec: 20,081 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00015 (2.2%) | loss: 8.273054 | lrm: 0.44 | dt: 1652ms | tok/sec: 19,831 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00016 (2.8%) | loss: 8.188266 | lrm: 0.55 | dt: 1670ms | tok/sec: 19,616 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00017 (3.3%) | loss: 8.056842 | lrm: 0.66 | dt: 1900ms | tok/sec: 17,244 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00018 (3.9%) | loss: 7.905930 | lrm: 0.79 | dt: 1561ms | tok/sec: 20,988 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00019 (4.5%) | loss: 7.763751 | lrm: 0.89 | dt: 1585ms | tok/sec: 20,677 | mfu: 0.1% | epoch: 1 | remaining: 285s    
[mini-eval] step    20 val_bpb=2.1913 (overhead 769ms)

step 00020 (5.0%) | loss: 7.617510 | lrm: 1.00 | dt: 1693ms | tok/sec: 19,357 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00021 (5.6%) | loss: 7.483241 | lrm: 1.00 | dt: 1604ms | tok/sec: 20,429 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00022 (6.1%) | loss: 7.357844 | lrm: 1.00 | dt: 1574ms | tok/sec: 20,821 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00023 (6.6%) | loss: 7.235776 | lrm: 1.00 | dt: 1542ms | tok/sec: 21,244 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00024 (7.1%) | loss: 7.124216 | lrm: 1.00 | dt: 1540ms | tok/sec: 21,283 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00025 (7.6%) | loss: 7.024321 | lrm: 1.00 | dt: 1858ms | tok/sec: 17,633 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00026 (8.3%) | loss: 6.933738 | lrm: 1.00 | dt: 1573ms | tok/sec: 20,829 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00027 (8.8%) | loss: 6.849277 | lrm: 1.00 | dt: 1630ms | tok/sec: 20,104 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00028 (9.3%) | loss: 6.771717 | lrm: 1.00 | dt: 1609ms | tok/sec: 20,365 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00029 (9.9%) | loss: 6.703118 | lrm: 1.00 | dt: 1604ms | tok/sec: 20,433 | mfu: 0.1% | epoch: 1 | remaining: 269s    
[mini-eval] step    30 val_bpb=2.1015 (overhead 696ms)

step 00030 (10.4%) | loss: 6.640890 | lrm: 1.00 | dt: 1590ms | tok/sec: 20,609 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00031 (10.9%) | loss: 6.582293 | lrm: 1.00 | dt: 1539ms | tok/sec: 21,292 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00032 (11.4%) | loss: 6.530132 | lrm: 1.00 | dt: 1602ms | tok/sec: 20,451 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00033 (12.0%) | loss: 6.484326 | lrm: 1.00 | dt: 1913ms | tok/sec: 17,132 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00034 (12.6%) | loss: 6.444140 | lrm: 1.00 | dt: 1580ms | tok/sec: 20,734 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00035 (13.1%) | loss: 6.403964 | lrm: 1.00 | dt: 1572ms | tok/sec: 20,838 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00036 (13.7%) | loss: 6.367233 | lrm: 1.00 | dt: 1589ms | tok/sec: 20,624 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00037 (14.2%) | loss: 6.334318 | lrm: 1.00 | dt: 1682ms | tok/sec: 19,486 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00038 (14.8%) | loss: 6.304027 | lrm: 1.00 | dt: 1675ms | tok/sec: 19,567 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00039 (15.3%) | loss: 6.279992 | lrm: 1.00 | dt: 1571ms | tok/sec: 20,861 | mfu: 0.1% | epoch: 1 | remaining: 252s    
[mini-eval] step    40 val_bpb=2.0843 (overhead 702ms)

step 00040 (15.8%) | loss: 6.255769 | lrm: 1.00 | dt: 1583ms | tok/sec: 20,704 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00041 (16.4%) | loss: 6.232424 | lrm: 1.00 | dt: 1897ms | tok/sec: 17,269 | mfu: 0.1% | epoch: 1 | remaining: 249s    
