Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 5.976998e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 3030ms | tok/sec: 10,813 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 1946ms | tok/sec: 16,838 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1587ms | tok/sec: 20,643 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1682ms | tok/sec: 19,487 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 2115ms | tok/sec: 15,491 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1812ms | tok/sec: 18,084 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1587ms | tok/sec: 20,650 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1588ms | tok/sec: 20,637 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1615ms | tok/sec: 20,292 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 1893ms | tok/sec: 17,310 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 862ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1608ms | tok/sec: 20,376 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1651ms | tok/sec: 19,851 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.6%) | loss: 8.318731 | lrm: 0.11 | dt: 1626ms | tok/sec: 20,151 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.1%) | loss: 8.315559 | lrm: 0.22 | dt: 1629ms | tok/sec: 20,113 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00014 (1.6%) | loss: 8.305322 | lrm: 0.33 | dt: 1556ms | tok/sec: 21,057 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00015 (2.2%) | loss: 8.274210 | lrm: 0.43 | dt: 1488ms | tok/sec: 22,025 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00016 (2.6%) | loss: 8.191867 | lrm: 0.53 | dt: 1535ms | tok/sec: 21,350 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00017 (3.2%) | loss: 8.062034 | lrm: 0.63 | dt: 1775ms | tok/sec: 18,457 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00018 (3.8%) | loss: 7.913021 | lrm: 0.75 | dt: 1560ms | tok/sec: 20,999 | mfu: 0.1% | epoch: 1 | remaining: 287s    
