Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2

step 00000 (0.0%) | loss: 8.320133 | lrm: 1.00 | dt: 2979ms | tok/sec: 22,001 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.502056 | lrm: 1.00 | dt: 2143ms | tok/sec: 30,575 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.390823 | lrm: 1.00 | dt: 2163ms | tok/sec: 30,293 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.032894 | lrm: 1.00 | dt: 2053ms | tok/sec: 31,915 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.431233 | lrm: 1.00 | dt: 2450ms | tok/sec: 26,752 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.097390 | lrm: 1.00 | dt: 2212ms | tok/sec: 29,630 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.780084 | lrm: 1.00 | dt: 2090ms | tok/sec: 31,351 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.536232 | lrm: 1.00 | dt: 2373ms | tok/sec: 27,617 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.325876 | lrm: 1.00 | dt: 2565ms | tok/sec: 25,548 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.133057 | lrm: 1.00 | dt: 2260ms | tok/sec: 29,002 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.969145 | lrm: 1.00 | dt: 2219ms | tok/sec: 29,527 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.828544 | lrm: 1.00 | dt: 2301ms | tok/sec: 28,476 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 6.709515 | lrm: 1.00 | dt: 2473ms | tok/sec: 26,502 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 6.601898 | lrm: 1.00 | dt: 2243ms | tok/sec: 29,221 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 6.509319 | lrm: 1.00 | dt: 2248ms | tok/sec: 29,147 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00015 (3.1%) | loss: 6.429391 | lrm: 1.00 | dt: 2410ms | tok/sec: 27,197 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00016 (3.9%) | loss: 6.358997 | lrm: 1.00 | dt: 2540ms | tok/sec: 25,800 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.7%) | loss: 6.296220 | lrm: 1.00 | dt: 2288ms | tok/sec: 28,646 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00018 (5.5%) | loss: 6.241361 | lrm: 1.00 | dt: 2290ms | tok/sec: 28,619 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00019 (6.3%) | loss: 6.192648 | lrm: 1.00 | dt: 2281ms | tok/sec: 28,737 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00020 (7.0%) | loss: 6.149664 | lrm: 1.00 | dt: 2500ms | tok/sec: 26,216 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00021 (7.9%) | loss: 6.109751 | lrm: 1.00 | dt: 2307ms | tok/sec: 28,404 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00022 (8.6%) | loss: 6.073904 | lrm: 1.00 | dt: 2252ms | tok/sec: 29,094 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00023 (9.4%) | loss: 6.041993 | lrm: 1.00 | dt: 2295ms | tok/sec: 28,551 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00024 (10.1%) | loss: 6.013937 | lrm: 1.00 | dt: 2472ms | tok/sec: 26,512 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00025 (11.0%) | loss: 5.987228 | lrm: 1.00 | dt: 2354ms | tok/sec: 27,842 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00026 (11.8%) | loss: 5.962356 | lrm: 1.00 | dt: 2405ms | tok/sec: 27,254 | mfu: 0.1% | epoch: 1 | remaining: 262s    
