Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 4.404096e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318525 | lrm: 0.00 | dt: 2524ms | tok/sec: 12,983 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318614 | lrm: 0.00 | dt: 1402ms | tok/sec: 23,365 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318726 | lrm: 0.00 | dt: 1059ms | tok/sec: 30,954 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1033ms | tok/sec: 31,734 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318747 | lrm: 0.00 | dt: 1041ms | tok/sec: 31,471 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318779 | lrm: 0.00 | dt: 1035ms | tok/sec: 31,657 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318770 | lrm: 0.00 | dt: 1039ms | tok/sec: 31,540 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318809 | lrm: 0.00 | dt: 1031ms | tok/sec: 31,774 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318782 | lrm: 0.00 | dt: 1043ms | tok/sec: 31,412 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318747 | lrm: 0.00 | dt: 1314ms | tok/sec: 24,944 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 524ms)

step 00010 (0.0%) | loss: 8.318710 | lrm: 0.00 | dt: 1142ms | tok/sec: 28,698 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1113ms | tok/sec: 29,452 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318727 | lrm: 0.07 | dt: 1081ms | tok/sec: 30,315 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.316587 | lrm: 0.15 | dt: 1058ms | tok/sec: 30,974 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.310325 | lrm: 0.22 | dt: 1055ms | tok/sec: 31,053 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.4%) | loss: 8.294922 | lrm: 0.29 | dt: 1074ms | tok/sec: 30,504 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00016 (1.8%) | loss: 8.257651 | lrm: 0.36 | dt: 1051ms | tok/sec: 31,188 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00017 (2.1%) | loss: 8.179651 | lrm: 0.43 | dt: 1306ms | tok/sec: 25,087 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 8.056039 | lrm: 0.52 | dt: 1034ms | tok/sec: 31,676 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (2.9%) | loss: 7.918074 | lrm: 0.58 | dt: 1098ms | tok/sec: 29,838 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2339 (overhead 525ms)

step 00020 (3.3%) | loss: 7.779662 | lrm: 0.66 | dt: 1044ms | tok/sec: 31,395 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00021 (3.6%) | loss: 7.641562 | lrm: 0.73 | dt: 1049ms | tok/sec: 31,243 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00022 (4.0%) | loss: 7.517799 | lrm: 0.80 | dt: 1055ms | tok/sec: 31,051 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00023 (4.3%) | loss: 7.397025 | lrm: 0.87 | dt: 1049ms | tok/sec: 31,231 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00024 (4.7%) | loss: 7.279508 | lrm: 0.94 | dt: 1038ms | tok/sec: 31,557 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00025 (5.0%) | loss: 7.167576 | lrm: 1.00 | dt: 1286ms | tok/sec: 25,471 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00026 (5.5%) | loss: 7.064545 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,455 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00027 (5.8%) | loss: 6.968757 | lrm: 1.00 | dt: 1087ms | tok/sec: 30,144 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00028 (6.2%) | loss: 6.884655 | lrm: 1.00 | dt: 1167ms | tok/sec: 28,073 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00029 (6.6%) | loss: 6.810050 | lrm: 1.00 | dt: 1196ms | tok/sec: 27,387 | mfu: 0.1% | epoch: 1 | remaining: 279s    
[mini-eval] step    30 val_bpb=2.1153 (overhead 508ms)

step 00030 (7.0%) | loss: 6.739811 | lrm: 1.00 | dt: 1039ms | tok/sec: 31,549 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00031 (7.3%) | loss: 6.673061 | lrm: 1.00 | dt: 1034ms | tok/sec: 31,702 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00032 (7.7%) | loss: 6.614098 | lrm: 1.00 | dt: 1032ms | tok/sec: 31,752 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00033 (8.0%) | loss: 6.561552 | lrm: 1.00 | dt: 1319ms | tok/sec: 24,845 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00034 (8.4%) | loss: 6.515060 | lrm: 1.00 | dt: 1056ms | tok/sec: 31,016 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00035 (8.8%) | loss: 6.468912 | lrm: 1.00 | dt: 1056ms | tok/sec: 31,038 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00036 (9.1%) | loss: 6.426688 | lrm: 1.00 | dt: 1082ms | tok/sec: 30,298 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00037 (9.5%) | loss: 6.388971 | lrm: 1.00 | dt: 1088ms | tok/sec: 30,106 | mfu: 0.1% | epoch: 1 | remaining: 270s    
