Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 5.976998e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 3375ms | tok/sec: 9,709 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 2041ms | tok/sec: 16,056 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1706ms | tok/sec: 19,210 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1799ms | tok/sec: 18,210 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1769ms | tok/sec: 18,518 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1745ms | tok/sec: 18,776 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1798ms | tok/sec: 18,225 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1780ms | tok/sec: 18,407 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1841ms | tok/sec: 17,800 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2315ms | tok/sec: 14,156 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 771ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1965ms | tok/sec: 16,677 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1661ms | tok/sec: 19,730 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.6%) | loss: 8.318731 | lrm: 0.11 | dt: 1673ms | tok/sec: 19,585 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.1%) | loss: 8.315543 | lrm: 0.22 | dt: 1606ms | tok/sec: 20,398 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00014 (1.6%) | loss: 8.305078 | lrm: 0.33 | dt: 1603ms | tok/sec: 20,446 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00015 (2.2%) | loss: 8.272938 | lrm: 0.44 | dt: 1664ms | tok/sec: 19,692 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00016 (2.7%) | loss: 8.186473 | lrm: 0.55 | dt: 1648ms | tok/sec: 19,882 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00017 (3.3%) | loss: 8.062092 | lrm: 0.66 | dt: 1920ms | tok/sec: 17,064 | mfu: 0.1% | epoch: 1 | remaining: 288s    
