Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 5.976998e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 3262ms | tok/sec: 10,046 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 2367ms | tok/sec: 13,842 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1704ms | tok/sec: 19,231 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1638ms | tok/sec: 20,006 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1605ms | tok/sec: 20,421 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1693ms | tok/sec: 19,349 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1790ms | tok/sec: 18,305 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1796ms | tok/sec: 18,248 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1782ms | tok/sec: 18,389 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2133ms | tok/sec: 15,363 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 826ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1867ms | tok/sec: 17,551 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1631ms | tok/sec: 20,086 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.5%) | loss: 8.318731 | lrm: 0.05 | dt: 1800ms | tok/sec: 18,205 | mfu: 0.1% | epoch: 1 | remaining: 297s    
