Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318762 | lrm: 0.00 | dt: 4470ms | tok/sec: 14,662 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318757 | lrm: 0.00 | dt: 2294ms | tok/sec: 28,570 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318812 | lrm: 0.00 | dt: 2230ms | tok/sec: 29,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318811 | lrm: 0.00 | dt: 2156ms | tok/sec: 30,394 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318784 | lrm: 0.00 | dt: 2371ms | tok/sec: 27,644 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318792 | lrm: 0.00 | dt: 2293ms | tok/sec: 28,582 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2269ms | tok/sec: 28,885 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 2148ms | tok/sec: 30,515 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318735 | lrm: 0.00 | dt: 2425ms | tok/sec: 27,022 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318724 | lrm: 0.00 | dt: 2253ms | tok/sec: 29,083 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1007ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 2723ms | tok/sec: 24,066 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318722 | lrm: 0.00 | dt: 2380ms | tok/sec: 27,533 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 8.318729 | lrm: 0.16 | dt: 2949ms | tok/sec: 22,224 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.8%) | loss: 8.312653 | lrm: 0.36 | dt: 2346ms | tok/sec: 27,933 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00014 (2.6%) | loss: 8.282637 | lrm: 0.51 | dt: 2294ms | tok/sec: 28,563 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.3%) | loss: 8.181059 | lrm: 0.66 | dt: 2484ms | tok/sec: 26,383 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00016 (4.2%) | loss: 8.015441 | lrm: 0.83 | dt: 2554ms | tok/sec: 25,657 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00017 (5.0%) | loss: 7.853414 | lrm: 1.00 | dt: 2285ms | tok/sec: 28,685 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00018 (5.8%) | loss: 7.757092 | lrm: 1.00 | dt: 2299ms | tok/sec: 28,504 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00019 (6.5%) | loss: 7.625855 | lrm: 1.00 | dt: 2248ms | tok/sec: 29,155 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    20 val_bpb=2.2479 (overhead 1191ms)

step 00020 (7.3%) | loss: 7.503568 | lrm: 1.00 | dt: 2759ms | tok/sec: 23,756 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00021 (8.2%) | loss: 7.377441 | lrm: 1.00 | dt: 2177ms | tok/sec: 30,098 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00022 (8.9%) | loss: 7.256300 | lrm: 1.00 | dt: 2110ms | tok/sec: 31,066 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00023 (9.6%) | loss: 7.140954 | lrm: 1.00 | dt: 2128ms | tok/sec: 30,802 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00024 (10.3%) | loss: 7.034254 | lrm: 1.00 | dt: 2270ms | tok/sec: 28,864 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00025 (11.1%) | loss: 6.937414 | lrm: 1.00 | dt: 2174ms | tok/sec: 30,148 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00026 (11.8%) | loss: 6.847623 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,028 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00027 (12.5%) | loss: 6.768190 | lrm: 1.00 | dt: 2224ms | tok/sec: 29,464 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00028 (13.3%) | loss: 6.697108 | lrm: 1.00 | dt: 2389ms | tok/sec: 27,437 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00029 (14.1%) | loss: 6.633269 | lrm: 1.00 | dt: 2242ms | tok/sec: 29,232 | mfu: 0.1% | epoch: 1 | remaining: 256s    
[mini-eval] step    30 val_bpb=2.0867 (overhead 1075ms)

step 00030 (14.8%) | loss: 6.572112 | lrm: 1.00 | dt: 2665ms | tok/sec: 24,595 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00031 (15.7%) | loss: 6.516798 | lrm: 1.00 | dt: 2262ms | tok/sec: 28,968 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00032 (16.5%) | loss: 6.468665 | lrm: 1.00 | dt: 2716ms | tok/sec: 24,126 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00033 (17.4%) | loss: 6.422888 | lrm: 1.00 | dt: 2182ms | tok/sec: 30,030 | mfu: 0.2% | epoch: 1 | remaining: 246s    
step 00034 (18.1%) | loss: 6.381131 | lrm: 1.00 | dt: 2196ms | tok/sec: 29,837 | mfu: 0.2% | epoch: 1 | remaining: 244s    
step 00035 (18.8%) | loss: 6.341595 | lrm: 1.00 | dt: 2295ms | tok/sec: 28,552 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00036 (19.6%) | loss: 6.312201 | lrm: 1.00 | dt: 2435ms | tok/sec: 26,914 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00037 (20.4%) | loss: 6.283716 | lrm: 1.00 | dt: 2120ms | tok/sec: 30,913 | mfu: 0.2% | epoch: 1 | remaining: 237s    
step 00038 (21.1%) | loss: 6.256023 | lrm: 1.00 | dt: 2211ms | tok/sec: 29,637 | mfu: 0.2% | epoch: 1 | remaining: 234s    
step 00039 (21.8%) | loss: 6.230709 | lrm: 1.00 | dt: 2237ms | tok/sec: 29,298 | mfu: 0.1% | epoch: 1 | remaining: 232s    
[mini-eval] step    40 val_bpb=2.0676 (overhead 977ms)

step 00040 (22.6%) | loss: 6.207841 | lrm: 1.00 | dt: 2318ms | tok/sec: 28,278 | mfu: 0.1% | epoch: 1 | remaining: 230s    
