Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318762 | lrm: 0.00 | dt: 10778ms | tok/sec: 6,080 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318757 | lrm: 0.00 | dt: 2613ms | tok/sec: 25,077 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318812 | lrm: 0.00 | dt: 2433ms | tok/sec: 26,931 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318811 | lrm: 0.00 | dt: 2261ms | tok/sec: 28,988 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318784 | lrm: 0.00 | dt: 2562ms | tok/sec: 25,579 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318792 | lrm: 0.00 | dt: 2276ms | tok/sec: 28,795 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2183ms | tok/sec: 30,025 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 2080ms | tok/sec: 31,508 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318735 | lrm: 0.00 | dt: 2296ms | tok/sec: 28,537 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318724 | lrm: 0.00 | dt: 2041ms | tok/sec: 32,102 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1230ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 2162ms | tok/sec: 30,315 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318722 | lrm: 0.00 | dt: 2122ms | tok/sec: 30,882 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.318729 | lrm: 0.14 | dt: 2460ms | tok/sec: 26,643 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.5%) | loss: 8.308721 | lrm: 0.31 | dt: 2124ms | tok/sec: 30,858 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.2%) | loss: 8.263097 | lrm: 0.45 | dt: 2144ms | tok/sec: 30,571 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 8.121676 | lrm: 0.59 | dt: 2384ms | tok/sec: 27,487 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00016 (3.7%) | loss: 7.944486 | lrm: 0.75 | dt: 2546ms | tok/sec: 25,745 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.6%) | loss: 7.769351 | lrm: 0.92 | dt: 2104ms | tok/sec: 31,142 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00018 (5.3%) | loss: 7.625660 | lrm: 1.00 | dt: 2121ms | tok/sec: 30,897 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (6.0%) | loss: 7.478507 | lrm: 1.00 | dt: 2104ms | tok/sec: 31,154 | mfu: 0.2% | epoch: 1 | remaining: 280s    
[mini-eval] step    20 val_bpb=2.1516 (overhead 973ms)

step 00020 (6.7%) | loss: 7.344560 | lrm: 1.00 | dt: 2283ms | tok/sec: 28,709 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00021 (7.5%) | loss: 7.224071 | lrm: 1.00 | dt: 2031ms | tok/sec: 32,266 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00022 (8.1%) | loss: 7.109365 | lrm: 1.00 | dt: 2043ms | tok/sec: 32,076 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00023 (8.8%) | loss: 7.004435 | lrm: 1.00 | dt: 2036ms | tok/sec: 32,195 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00024 (9.5%) | loss: 6.907764 | lrm: 1.00 | dt: 2203ms | tok/sec: 29,752 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00025 (10.2%) | loss: 6.819047 | lrm: 1.00 | dt: 2037ms | tok/sec: 32,166 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00026 (10.9%) | loss: 6.736481 | lrm: 1.00 | dt: 2031ms | tok/sec: 32,268 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00027 (11.6%) | loss: 6.663233 | lrm: 1.00 | dt: 2042ms | tok/sec: 32,090 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00028 (12.3%) | loss: 6.596790 | lrm: 1.00 | dt: 2250ms | tok/sec: 29,123 | mfu: 0.1% | epoch: 1 | remaining: 261s    
