Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318762 | lrm: 0.00 | dt: 3782ms | tok/sec: 17,327 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318757 | lrm: 0.00 | dt: 2182ms | tok/sec: 30,028 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318812 | lrm: 0.00 | dt: 2102ms | tok/sec: 31,179 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318811 | lrm: 0.00 | dt: 2112ms | tok/sec: 31,024 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318784 | lrm: 0.00 | dt: 2408ms | tok/sec: 27,215 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318792 | lrm: 0.00 | dt: 2084ms | tok/sec: 31,442 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2079ms | tok/sec: 31,522 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 2118ms | tok/sec: 30,940 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318735 | lrm: 0.00 | dt: 2261ms | tok/sec: 28,985 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318724 | lrm: 0.00 | dt: 2078ms | tok/sec: 31,536 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1023ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 2491ms | tok/sec: 26,304 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318722 | lrm: 0.00 | dt: 2106ms | tok/sec: 31,116 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.318729 | lrm: 0.14 | dt: 2424ms | tok/sec: 27,032 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.5%) | loss: 8.313302 | lrm: 0.30 | dt: 2283ms | tok/sec: 28,711 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.3%) | loss: 8.288203 | lrm: 0.45 | dt: 2188ms | tok/sec: 29,952 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (3.0%) | loss: 8.191935 | lrm: 0.60 | dt: 2181ms | tok/sec: 30,051 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.7%) | loss: 8.146241 | lrm: 0.75 | dt: 2608ms | tok/sec: 25,131 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00017 (4.6%) | loss: 7.992361 | lrm: 0.92 | dt: 2255ms | tok/sec: 29,064 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00018 (5.3%) | loss: 7.843009 | lrm: 1.00 | dt: 2160ms | tok/sec: 30,346 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00019 (6.1%) | loss: 7.688280 | lrm: 1.00 | dt: 2280ms | tok/sec: 28,749 | mfu: 0.1% | epoch: 1 | remaining: 280s    
[mini-eval] step    20 val_bpb=2.1872 (overhead 989ms)

step 00020 (6.8%) | loss: 7.543201 | lrm: 1.00 | dt: 2735ms | tok/sec: 23,960 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00021 (7.7%) | loss: 7.406011 | lrm: 1.00 | dt: 2251ms | tok/sec: 29,111 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00022 (8.5%) | loss: 7.272713 | lrm: 1.00 | dt: 2112ms | tok/sec: 31,029 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00023 (9.2%) | loss: 7.149076 | lrm: 1.00 | dt: 2165ms | tok/sec: 30,272 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00024 (9.9%) | loss: 7.039170 | lrm: 1.00 | dt: 2428ms | tok/sec: 26,994 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00025 (10.7%) | loss: 6.941996 | lrm: 1.00 | dt: 2181ms | tok/sec: 30,043 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00026 (11.5%) | loss: 6.851472 | lrm: 1.00 | dt: 2218ms | tok/sec: 29,550 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00027 (12.2%) | loss: 6.770958 | lrm: 1.00 | dt: 2170ms | tok/sec: 30,203 | mfu: 0.2% | epoch: 1 | remaining: 261s    
step 00028 (12.9%) | loss: 6.698385 | lrm: 1.00 | dt: 2463ms | tok/sec: 26,603 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00029 (13.7%) | loss: 6.633341 | lrm: 1.00 | dt: 2444ms | tok/sec: 26,812 | mfu: 0.1% | epoch: 1 | remaining: 256s    
[mini-eval] step    30 val_bpb=2.0841 (overhead 1198ms)

step 00030 (14.6%) | loss: 6.571862 | lrm: 1.00 | dt: 3056ms | tok/sec: 21,444 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00031 (15.6%) | loss: 6.516100 | lrm: 1.00 | dt: 2493ms | tok/sec: 26,293 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00032 (16.4%) | loss: 6.466998 | lrm: 1.00 | dt: 2567ms | tok/sec: 25,533 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00033 (17.3%) | loss: 6.420485 | lrm: 1.00 | dt: 2256ms | tok/sec: 29,055 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00034 (18.0%) | loss: 6.378378 | lrm: 1.00 | dt: 2225ms | tok/sec: 29,452 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00035 (18.7%) | loss: 6.338695 | lrm: 1.00 | dt: 2289ms | tok/sec: 28,634 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00036 (19.5%) | loss: 6.309153 | lrm: 1.00 | dt: 2577ms | tok/sec: 25,433 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00037 (20.4%) | loss: 6.280399 | lrm: 1.00 | dt: 2284ms | tok/sec: 28,695 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00038 (21.1%) | loss: 6.252386 | lrm: 1.00 | dt: 2238ms | tok/sec: 29,279 | mfu: 0.1% | epoch: 1 | remaining: 234s    
