Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318762 | lrm: 0.00 | dt: 3445ms | tok/sec: 19,021 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318757 | lrm: 0.00 | dt: 2354ms | tok/sec: 27,843 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318812 | lrm: 0.00 | dt: 2120ms | tok/sec: 30,912 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318811 | lrm: 0.00 | dt: 2089ms | tok/sec: 31,374 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318784 | lrm: 0.00 | dt: 2375ms | tok/sec: 27,597 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318792 | lrm: 0.00 | dt: 2128ms | tok/sec: 30,792 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 2190ms | tok/sec: 29,922 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 2155ms | tok/sec: 30,404 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318735 | lrm: 0.00 | dt: 2333ms | tok/sec: 28,088 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318724 | lrm: 0.00 | dt: 2144ms | tok/sec: 30,567 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 959ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 2467ms | tok/sec: 26,561 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318722 | lrm: 0.00 | dt: 2049ms | tok/sec: 31,990 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.318729 | lrm: 0.14 | dt: 2236ms | tok/sec: 29,311 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00013 (1.4%) | loss: 8.313393 | lrm: 0.29 | dt: 2231ms | tok/sec: 29,376 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.2%) | loss: 8.290269 | lrm: 0.43 | dt: 2096ms | tok/sec: 31,268 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (2.9%) | loss: 8.210198 | lrm: 0.57 | dt: 2120ms | tok/sec: 30,906 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00016 (3.6%) | loss: 8.057327 | lrm: 0.72 | dt: 2299ms | tok/sec: 28,510 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00017 (4.3%) | loss: 7.899389 | lrm: 0.87 | dt: 2115ms | tok/sec: 30,989 | mfu: 0.2% | epoch: 1 | remaining: 285s    
