Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2601ms | tok/sec: 12,595 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1249ms | tok/sec: 26,242 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1184ms | tok/sec: 27,664 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1211ms | tok/sec: 27,056 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1129ms | tok/sec: 29,018 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1233ms | tok/sec: 26,570 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1284ms | tok/sec: 25,524 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1314ms | tok/sec: 24,939 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1543ms | tok/sec: 21,242 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1160ms | tok/sec: 28,252 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1163ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1547ms | tok/sec: 21,183 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1198ms | tok/sec: 27,345 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1179ms | tok/sec: 27,800 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.315805 | lrm: 0.16 | dt: 1219ms | tok/sec: 26,891 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00014 (1.2%) | loss: 8.306875 | lrm: 0.24 | dt: 1194ms | tok/sec: 27,442 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 8.283161 | lrm: 0.32 | dt: 1104ms | tok/sec: 29,681 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00016 (2.0%) | loss: 8.223625 | lrm: 0.39 | dt: 1326ms | tok/sec: 24,716 | mfu: 0.1% | epoch: 1 | remaining: 293s    
