Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2723ms | tok/sec: 12,034 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1390ms | tok/sec: 23,578 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1139ms | tok/sec: 28,766 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1171ms | tok/sec: 27,974 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1191ms | tok/sec: 27,517 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1105ms | tok/sec: 29,649 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1157ms | tok/sec: 28,324 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1239ms | tok/sec: 26,448 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1437ms | tok/sec: 22,807 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1180ms | tok/sec: 27,768 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1171ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1557ms | tok/sec: 21,047 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1160ms | tok/sec: 28,241 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1275ms | tok/sec: 25,699 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.315898 | lrm: 0.16 | dt: 1226ms | tok/sec: 26,719 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00014 (1.2%) | loss: 8.306905 | lrm: 0.24 | dt: 1138ms | tok/sec: 28,787 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 8.282718 | lrm: 0.32 | dt: 1225ms | tok/sec: 26,749 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (2.0%) | loss: 8.222562 | lrm: 0.40 | dt: 1365ms | tok/sec: 24,000 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.5%) | loss: 8.102375 | lrm: 0.49 | dt: 1170ms | tok/sec: 28,016 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00018 (2.9%) | loss: 7.952220 | lrm: 0.57 | dt: 1194ms | tok/sec: 27,439 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00019 (3.3%) | loss: 7.801124 | lrm: 0.65 | dt: 1159ms | tok/sec: 28,279 | mfu: 0.1% | epoch: 1 | remaining: 289s    
