Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2347ms | tok/sec: 13,959 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1141ms | tok/sec: 28,707 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1111ms | tok/sec: 29,496 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1117ms | tok/sec: 29,341 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1097ms | tok/sec: 29,875 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1112ms | tok/sec: 29,461 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1045ms | tok/sec: 31,352 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1035ms | tok/sec: 31,645 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1242ms | tok/sec: 26,386 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1037ms | tok/sec: 31,586 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1027ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1058ms | tok/sec: 30,982 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1043ms | tok/sec: 31,414 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 8.318740 | lrm: 0.07 | dt: 1066ms | tok/sec: 30,741 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.316180 | lrm: 0.14 | dt: 1131ms | tok/sec: 28,964 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.308452 | lrm: 0.22 | dt: 1113ms | tok/sec: 29,451 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.288560 | lrm: 0.29 | dt: 1034ms | tok/sec: 31,693 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.8%) | loss: 8.239086 | lrm: 0.36 | dt: 1245ms | tok/sec: 26,317 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.2%) | loss: 8.136147 | lrm: 0.44 | dt: 1033ms | tok/sec: 31,716 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 7.988823 | lrm: 0.51 | dt: 1032ms | tok/sec: 31,746 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (2.9%) | loss: 7.843402 | lrm: 0.58 | dt: 1036ms | tok/sec: 31,617 | mfu: 0.2% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.1993 (overhead 1011ms)

step 00020 (3.2%) | loss: 7.694420 | lrm: 0.65 | dt: 1306ms | tok/sec: 25,092 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00021 (3.7%) | loss: 7.556264 | lrm: 0.74 | dt: 1030ms | tok/sec: 31,805 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00022 (4.0%) | loss: 7.447803 | lrm: 0.80 | dt: 1029ms | tok/sec: 31,839 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00023 (4.4%) | loss: 7.335269 | lrm: 0.87 | dt: 1043ms | tok/sec: 31,416 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00024 (4.7%) | loss: 7.223368 | lrm: 0.94 | dt: 1326ms | tok/sec: 24,717 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00025 (5.2%) | loss: 7.116938 | lrm: 1.00 | dt: 1066ms | tok/sec: 30,752 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00026 (5.5%) | loss: 7.019760 | lrm: 1.00 | dt: 1182ms | tok/sec: 27,723 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00027 (5.9%) | loss: 6.929069 | lrm: 1.00 | dt: 1124ms | tok/sec: 29,143 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00028 (6.3%) | loss: 6.846879 | lrm: 1.00 | dt: 1196ms | tok/sec: 27,405 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00029 (6.7%) | loss: 6.772337 | lrm: 1.00 | dt: 1217ms | tok/sec: 26,935 | mfu: 0.1% | epoch: 1 | remaining: 279s    
[mini-eval] step    30 val_bpb=2.1078 (overhead 1006ms)

step 00030 (7.1%) | loss: 6.706006 | lrm: 1.00 | dt: 1847ms | tok/sec: 17,739 | mfu: 0.1% | epoch: 1 | remaining: 277s    
