Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2311ms | tok/sec: 14,180 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1526ms | tok/sec: 21,472 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1134ms | tok/sec: 28,889 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1183ms | tok/sec: 27,701 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1068ms | tok/sec: 30,695 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1185ms | tok/sec: 27,650 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1072ms | tok/sec: 30,574 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1075ms | tok/sec: 30,481 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1375ms | tok/sec: 23,831 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1066ms | tok/sec: 30,726 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1087ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1384ms | tok/sec: 23,669 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1123ms | tok/sec: 29,177 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1064ms | tok/sec: 30,784 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.315986 | lrm: 0.15 | dt: 1041ms | tok/sec: 31,489 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.307814 | lrm: 0.22 | dt: 1041ms | tok/sec: 31,480 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.4%) | loss: 8.287225 | lrm: 0.28 | dt: 1043ms | tok/sec: 31,424 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.8%) | loss: 8.237429 | lrm: 0.35 | dt: 1398ms | tok/sec: 23,431 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.2%) | loss: 8.134670 | lrm: 0.45 | dt: 1120ms | tok/sec: 29,266 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 7.987152 | lrm: 0.52 | dt: 1078ms | tok/sec: 30,389 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 7.841357 | lrm: 0.59 | dt: 1211ms | tok/sec: 27,068 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.1967 (overhead 973ms)

