Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2185ms | tok/sec: 14,999 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1309ms | tok/sec: 25,032 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1113ms | tok/sec: 29,451 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1122ms | tok/sec: 29,215 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1140ms | tok/sec: 28,732 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1162ms | tok/sec: 28,190 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1173ms | tok/sec: 27,937 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1090ms | tok/sec: 30,055 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1285ms | tok/sec: 25,507 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1045ms | tok/sec: 31,354 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1103ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1343ms | tok/sec: 24,390 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1117ms | tok/sec: 29,345 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1071ms | tok/sec: 30,590 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.315999 | lrm: 0.15 | dt: 1068ms | tok/sec: 30,686 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.307814 | lrm: 0.22 | dt: 1189ms | tok/sec: 27,567 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.286873 | lrm: 0.30 | dt: 1068ms | tok/sec: 30,674 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00016 (1.8%) | loss: 8.234503 | lrm: 0.37 | dt: 1345ms | tok/sec: 24,368 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 8.126543 | lrm: 0.46 | dt: 1070ms | tok/sec: 30,634 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 7.977760 | lrm: 0.53 | dt: 1053ms | tok/sec: 31,106 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 7.829883 | lrm: 0.60 | dt: 1053ms | tok/sec: 31,123 | mfu: 0.2% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.1932 (overhead 1056ms)

step 00020 (3.3%) | loss: 7.680573 | lrm: 0.67 | dt: 1352ms | tok/sec: 24,237 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00021 (3.8%) | loss: 7.560025 | lrm: 0.76 | dt: 1142ms | tok/sec: 28,692 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.2%) | loss: 7.432227 | lrm: 0.84 | dt: 1067ms | tok/sec: 30,699 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00023 (4.5%) | loss: 7.310533 | lrm: 0.91 | dt: 1112ms | tok/sec: 29,457 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00024 (4.9%) | loss: 7.191358 | lrm: 0.98 | dt: 1372ms | tok/sec: 23,885 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00025 (5.4%) | loss: 7.082144 | lrm: 1.00 | dt: 1229ms | tok/sec: 26,652 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00026 (5.8%) | loss: 6.986753 | lrm: 1.00 | dt: 1168ms | tok/sec: 28,063 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00027 (6.2%) | loss: 6.896958 | lrm: 1.00 | dt: 1123ms | tok/sec: 29,168 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00028 (6.5%) | loss: 6.816813 | lrm: 1.00 | dt: 1178ms | tok/sec: 27,813 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00029 (6.9%) | loss: 6.743900 | lrm: 1.00 | dt: 1170ms | tok/sec: 28,015 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    30 val_bpb=2.0972 (overhead 1094ms)

step 00030 (7.3%) | loss: 6.679338 | lrm: 1.00 | dt: 1758ms | tok/sec: 18,635 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00031 (7.9%) | loss: 6.619663 | lrm: 1.00 | dt: 1153ms | tok/sec: 28,417 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00032 (8.3%) | loss: 6.564982 | lrm: 1.00 | dt: 1326ms | tok/sec: 24,706 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00033 (8.7%) | loss: 6.515227 | lrm: 1.00 | dt: 1095ms | tok/sec: 29,919 | mfu: 0.2% | epoch: 1 | remaining: 273s    
step 00034 (9.1%) | loss: 6.471374 | lrm: 1.00 | dt: 1188ms | tok/sec: 27,593 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00035 (9.5%) | loss: 6.428081 | lrm: 1.00 | dt: 1086ms | tok/sec: 30,183 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00036 (9.9%) | loss: 6.388887 | lrm: 1.00 | dt: 1072ms | tok/sec: 30,567 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00037 (10.2%) | loss: 6.352646 | lrm: 1.00 | dt: 1061ms | tok/sec: 30,877 | mfu: 0.2% | epoch: 1 | remaining: 268s    
step 00038 (10.6%) | loss: 6.319946 | lrm: 1.00 | dt: 1062ms | tok/sec: 30,861 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00039 (10.9%) | loss: 6.289224 | lrm: 1.00 | dt: 1060ms | tok/sec: 30,916 | mfu: 0.2% | epoch: 1 | remaining: 266s    
[mini-eval] step    40 val_bpb=2.0688 (overhead 976ms)

step 00040 (11.3%) | loss: 6.261455 | lrm: 1.00 | dt: 1273ms | tok/sec: 25,739 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00041 (11.7%) | loss: 6.236229 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,197 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00042 (12.0%) | loss: 6.212959 | lrm: 1.00 | dt: 1087ms | tok/sec: 30,158 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00043 (12.4%) | loss: 6.188387 | lrm: 1.00 | dt: 1109ms | tok/sec: 29,551 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00044 (12.8%) | loss: 6.164544 | lrm: 1.00 | dt: 1084ms | tok/sec: 30,234 | mfu: 0.2% | epoch: 1 | remaining: 261s    
step 00045 (13.1%) | loss: 6.139954 | lrm: 1.00 | dt: 1132ms | tok/sec: 28,941 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00046 (13.5%) | loss: 6.116350 | lrm: 1.00 | dt: 1165ms | tok/sec: 28,121 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00047 (13.9%) | loss: 6.095933 | lrm: 1.00 | dt: 1194ms | tok/sec: 27,446 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00048 (14.3%) | loss: 6.078407 | lrm: 1.00 | dt: 1511ms | tok/sec: 21,679 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00049 (14.8%) | loss: 6.058829 | lrm: 1.00 | dt: 1233ms | tok/sec: 26,585 | mfu: 0.1% | epoch: 1 | remaining: 254s    
[mini-eval] step    50 val_bpb=2.0483 (overhead 1168ms)

step 00050 (15.2%) | loss: 6.043173 | lrm: 1.00 | dt: 1460ms | tok/sec: 22,438 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00051 (15.7%) | loss: 6.026525 | lrm: 1.00 | dt: 1211ms | tok/sec: 27,067 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00052 (16.1%) | loss: 6.008129 | lrm: 1.00 | dt: 1278ms | tok/sec: 25,642 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00053 (16.5%) | loss: 5.988372 | lrm: 1.00 | dt: 1221ms | tok/sec: 26,832 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00054 (16.9%) | loss: 5.970065 | lrm: 1.00 | dt: 1276ms | tok/sec: 25,680 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00055 (17.4%) | loss: 5.957246 | lrm: 1.00 | dt: 1288ms | tok/sec: 25,439 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00056 (17.8%) | loss: 5.944684 | lrm: 1.00 | dt: 1489ms | tok/sec: 22,011 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00057 (18.3%) | loss: 5.932154 | lrm: 1.00 | dt: 1222ms | tok/sec: 26,816 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00058 (18.7%) | loss: 5.920395 | lrm: 1.00 | dt: 1245ms | tok/sec: 26,316 | mfu: 0.1% | epoch: 1 | remaining: 243s    
