Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2463ms | tok/sec: 13,303 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1542ms | tok/sec: 21,245 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1171ms | tok/sec: 27,984 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1160ms | tok/sec: 28,258 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1095ms | tok/sec: 29,933 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1234ms | tok/sec: 26,563 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1172ms | tok/sec: 27,967 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1087ms | tok/sec: 30,139 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1284ms | tok/sec: 25,517 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1224ms | tok/sec: 26,767 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1034ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1788ms | tok/sec: 18,331 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1208ms | tok/sec: 27,134 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1151ms | tok/sec: 28,467 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.315784 | lrm: 0.16 | dt: 1106ms | tok/sec: 29,616 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (1.2%) | loss: 8.306893 | lrm: 0.23 | dt: 1104ms | tok/sec: 29,687 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00015 (1.5%) | loss: 8.283925 | lrm: 0.30 | dt: 1160ms | tok/sec: 28,244 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.227316 | lrm: 0.38 | dt: 1292ms | tok/sec: 25,370 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 8.113373 | lrm: 0.47 | dt: 1196ms | tok/sec: 27,407 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 7.963951 | lrm: 0.55 | dt: 1260ms | tok/sec: 26,013 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (3.2%) | loss: 7.814637 | lrm: 0.63 | dt: 1089ms | tok/sec: 30,084 | mfu: 0.2% | epoch: 1 | remaining: 289s    
[mini-eval] step    20 val_bpb=2.1889 (overhead 1051ms)

step 00020 (3.5%) | loss: 7.664308 | lrm: 0.70 | dt: 1530ms | tok/sec: 21,414 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (4.0%) | loss: 7.536367 | lrm: 0.81 | dt: 1159ms | tok/sec: 28,284 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.4%) | loss: 7.412700 | lrm: 0.88 | dt: 1222ms | tok/sec: 26,819 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00023 (4.8%) | loss: 7.289011 | lrm: 0.97 | dt: 1316ms | tok/sec: 24,894 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00024 (5.3%) | loss: 7.170848 | lrm: 1.00 | dt: 1388ms | tok/sec: 23,602 | mfu: 0.1% | epoch: 1 | remaining: 283s    
