Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2499ms | tok/sec: 13,114 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1502ms | tok/sec: 21,811 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1102ms | tok/sec: 29,742 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1071ms | tok/sec: 30,594 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1154ms | tok/sec: 28,389 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1099ms | tok/sec: 29,829 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1042ms | tok/sec: 31,435 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1060ms | tok/sec: 30,925 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1377ms | tok/sec: 23,792 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1045ms | tok/sec: 31,358 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1071ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1461ms | tok/sec: 22,431 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1080ms | tok/sec: 30,354 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.12 | dt: 1061ms | tok/sec: 30,873 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.314379 | lrm: 0.24 | dt: 1217ms | tok/sec: 26,924 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.299634 | lrm: 0.37 | dt: 1081ms | tok/sec: 30,303 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.251918 | lrm: 0.49 | dt: 1207ms | tok/sec: 27,155 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.131828 | lrm: 0.63 | dt: 1367ms | tok/sec: 23,972 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 7.979344 | lrm: 0.78 | dt: 1055ms | tok/sec: 31,047 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 7.816309 | lrm: 0.90 | dt: 1075ms | tok/sec: 30,491 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 7.657876 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,360 | mfu: 0.2% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2178 (overhead 965ms)

step 00020 (3.4%) | loss: 7.519924 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,755 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00021 (3.8%) | loss: 7.388124 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,785 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00022 (4.1%) | loss: 7.262613 | lrm: 1.00 | dt: 1065ms | tok/sec: 30,756 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00023 (4.5%) | loss: 7.147977 | lrm: 1.00 | dt: 1200ms | tok/sec: 27,298 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00024 (4.9%) | loss: 7.042698 | lrm: 1.00 | dt: 1415ms | tok/sec: 23,156 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00025 (5.3%) | loss: 6.947481 | lrm: 1.00 | dt: 1246ms | tok/sec: 26,296 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00026 (5.7%) | loss: 6.863834 | lrm: 1.00 | dt: 1291ms | tok/sec: 25,385 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00027 (6.2%) | loss: 6.785695 | lrm: 1.00 | dt: 1187ms | tok/sec: 27,607 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00028 (6.6%) | loss: 6.716185 | lrm: 1.00 | dt: 1235ms | tok/sec: 26,534 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00029 (7.0%) | loss: 6.651789 | lrm: 1.00 | dt: 1221ms | tok/sec: 26,835 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    30 val_bpb=2.0924 (overhead 1059ms)

step 00030 (7.4%) | loss: 6.595004 | lrm: 1.00 | dt: 1646ms | tok/sec: 19,908 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00031 (7.9%) | loss: 6.542810 | lrm: 1.00 | dt: 1168ms | tok/sec: 28,048 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00032 (8.3%) | loss: 6.494930 | lrm: 1.00 | dt: 1368ms | tok/sec: 23,952 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00033 (8.8%) | loss: 6.451793 | lrm: 1.00 | dt: 1136ms | tok/sec: 28,848 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00034 (9.2%) | loss: 6.413947 | lrm: 1.00 | dt: 1161ms | tok/sec: 28,214 | mfu: 0.1% | epoch: 1 | remaining: 271s    
