Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 4.404096e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2537ms | tok/sec: 12,916 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1206ms | tok/sec: 27,171 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1113ms | tok/sec: 29,429 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1044ms | tok/sec: 31,385 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1043ms | tok/sec: 31,426 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1046ms | tok/sec: 31,315 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1049ms | tok/sec: 31,246 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1045ms | tok/sec: 31,362 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1268ms | tok/sec: 25,848 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1119ms | tok/sec: 29,276 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1132ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1468ms | tok/sec: 22,318 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1053ms | tok/sec: 31,116 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1066ms | tok/sec: 30,725 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.316157 | lrm: 0.14 | dt: 1044ms | tok/sec: 31,372 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.308371 | lrm: 0.21 | dt: 1043ms | tok/sec: 31,428 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.4%) | loss: 8.288739 | lrm: 0.28 | dt: 1048ms | tok/sec: 31,272 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00016 (1.8%) | loss: 8.240882 | lrm: 0.35 | dt: 1267ms | tok/sec: 25,853 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.2%) | loss: 8.141029 | lrm: 0.43 | dt: 1135ms | tok/sec: 28,870 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 7.994860 | lrm: 0.51 | dt: 1041ms | tok/sec: 31,491 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (2.9%) | loss: 7.850926 | lrm: 0.58 | dt: 1040ms | tok/sec: 31,520 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2021 (overhead 963ms)

step 00020 (3.2%) | loss: 7.702494 | lrm: 0.65 | dt: 1079ms | tok/sec: 30,372 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00021 (3.6%) | loss: 7.564345 | lrm: 0.72 | dt: 1068ms | tok/sec: 30,669 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00022 (4.0%) | loss: 7.456660 | lrm: 0.79 | dt: 1057ms | tok/sec: 30,995 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00023 (4.3%) | loss: 7.346556 | lrm: 0.86 | dt: 1058ms | tok/sec: 30,974 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00024 (4.7%) | loss: 7.236140 | lrm: 0.93 | dt: 1251ms | tok/sec: 26,199 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00025 (5.1%) | loss: 7.129650 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,377 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00026 (5.4%) | loss: 7.032388 | lrm: 1.00 | dt: 1041ms | tok/sec: 31,464 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00027 (5.8%) | loss: 6.941269 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,427 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00028 (6.1%) | loss: 6.858435 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,374 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00029 (6.5%) | loss: 6.782929 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,396 | mfu: 0.1% | epoch: 1 | remaining: 280s    
[mini-eval] step    30 val_bpb=2.1012 (overhead 960ms)

step 00030 (6.8%) | loss: 6.715589 | lrm: 1.00 | dt: 1064ms | tok/sec: 30,798 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00031 (7.2%) | loss: 6.654008 | lrm: 1.00 | dt: 1068ms | tok/sec: 30,690 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00032 (7.5%) | loss: 6.597518 | lrm: 1.00 | dt: 1260ms | tok/sec: 26,009 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00033 (8.0%) | loss: 6.545755 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,226 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00034 (8.3%) | loss: 6.500524 | lrm: 1.00 | dt: 1044ms | tok/sec: 31,380 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00035 (8.7%) | loss: 6.455774 | lrm: 1.00 | dt: 1059ms | tok/sec: 30,946 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00036 (9.0%) | loss: 6.415180 | lrm: 1.00 | dt: 1045ms | tok/sec: 31,354 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00037 (9.4%) | loss: 6.377312 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,244 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00038 (9.7%) | loss: 6.343766 | lrm: 1.00 | dt: 1050ms | tok/sec: 31,198 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00039 (10.1%) | loss: 6.312450 | lrm: 1.00 | dt: 1100ms | tok/sec: 29,778 | mfu: 0.1% | epoch: 1 | remaining: 269s    
[mini-eval] step    40 val_bpb=2.0736 (overhead 1040ms)

step 00040 (10.4%) | loss: 6.284106 | lrm: 1.00 | dt: 1745ms | tok/sec: 18,775 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00041 (11.0%) | loss: 6.258164 | lrm: 1.00 | dt: 1201ms | tok/sec: 27,289 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00042 (11.4%) | loss: 6.235058 | lrm: 1.00 | dt: 1141ms | tok/sec: 28,711 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00043 (11.8%) | loss: 6.211327 | lrm: 1.00 | dt: 1297ms | tok/sec: 25,255 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00044 (12.2%) | loss: 6.188031 | lrm: 1.00 | dt: 1346ms | tok/sec: 24,348 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00045 (12.7%) | loss: 6.163107 | lrm: 1.00 | dt: 2222ms | tok/sec: 14,748 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00046 (13.4%) | loss: 6.139411 | lrm: 1.00 | dt: 1360ms | tok/sec: 24,094 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00047 (13.9%) | loss: 6.119828 | lrm: 1.00 | dt: 1560ms | tok/sec: 21,005 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00048 (14.4%) | loss: 6.103703 | lrm: 1.00 | dt: 1696ms | tok/sec: 19,319 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00049 (14.9%) | loss: 6.086268 | lrm: 1.00 | dt: 1272ms | tok/sec: 25,763 | mfu: 0.1% | epoch: 1 | remaining: 254s    
[mini-eval] step    50 val_bpb=2.0586 (overhead 1132ms)

step 00050 (15.4%) | loss: 6.071964 | lrm: 1.00 | dt: 2152ms | tok/sec: 15,224 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00051 (16.1%) | loss: 6.056414 | lrm: 1.00 | dt: 1812ms | tok/sec: 18,084 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00052 (16.7%) | loss: 6.039859 | lrm: 1.00 | dt: 1202ms | tok/sec: 27,251 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00053 (17.1%) | loss: 6.022780 | lrm: 1.00 | dt: 1259ms | tok/sec: 26,021 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00054 (17.5%) | loss: 6.007310 | lrm: 1.00 | dt: 1245ms | tok/sec: 26,311 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00055 (17.9%) | loss: 5.995450 | lrm: 1.00 | dt: 1276ms | tok/sec: 25,683 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00056 (18.3%) | loss: 5.983714 | lrm: 1.00 | dt: 1533ms | tok/sec: 21,380 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00057 (18.9%) | loss: 5.970788 | lrm: 1.00 | dt: 1220ms | tok/sec: 26,859 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00058 (19.3%) | loss: 5.959118 | lrm: 1.00 | dt: 1256ms | tok/sec: 26,085 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00059 (19.7%) | loss: 5.948796 | lrm: 1.00 | dt: 1241ms | tok/sec: 26,399 | mfu: 0.1% | epoch: 1 | remaining: 240s    
[mini-eval] step    60 val_bpb=2.0280 (overhead 1238ms)

step 00060 (20.1%) | loss: 5.935128 | lrm: 1.00 | dt: 1453ms | tok/sec: 22,558 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00061 (20.6%) | loss: 5.920162 | lrm: 1.00 | dt: 1239ms | tok/sec: 26,439 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00062 (21.0%) | loss: 5.906210 | lrm: 1.00 | dt: 1164ms | tok/sec: 28,147 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00063 (21.4%) | loss: 5.894814 | lrm: 1.00 | dt: 1503ms | tok/sec: 21,807 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00064 (21.9%) | loss: 5.885773 | lrm: 1.00 | dt: 1474ms | tok/sec: 22,227 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00065 (22.4%) | loss: 5.876808 | lrm: 1.00 | dt: 1172ms | tok/sec: 27,954 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00066 (22.8%) | loss: 5.868738 | lrm: 1.00 | dt: 1093ms | tok/sec: 29,974 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00067 (23.1%) | loss: 5.859509 | lrm: 1.00 | dt: 1055ms | tok/sec: 31,068 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00068 (23.5%) | loss: 5.849937 | lrm: 1.00 | dt: 1049ms | tok/sec: 31,234 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00069 (23.8%) | loss: 5.840655 | lrm: 1.00 | dt: 1042ms | tok/sec: 31,444 | mfu: 0.1% | epoch: 1 | remaining: 227s    
[mini-eval] step    70 val_bpb=2.0153 (overhead 961ms)

step 00070 (24.2%) | loss: 5.830594 | lrm: 1.00 | dt: 1063ms | tok/sec: 30,826 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00071 (24.5%) | loss: 5.820860 | lrm: 1.00 | dt: 1071ms | tok/sec: 30,596 | mfu: 0.1% | epoch: 1 | remaining: 225s    
step 00072 (24.9%) | loss: 5.814155 | lrm: 1.00 | dt: 1236ms | tok/sec: 26,502 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00073 (25.3%) | loss: 5.811856 | lrm: 1.00 | dt: 1047ms | tok/sec: 31,298 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00074 (25.7%) | loss: 5.807805 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,431 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00075 (26.0%) | loss: 5.802981 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,425 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00076 (26.3%) | loss: 5.797052 | lrm: 1.00 | dt: 1048ms | tok/sec: 31,280 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00077 (26.7%) | loss: 5.791458 | lrm: 1.00 | dt: 1095ms | tok/sec: 29,912 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00078 (27.1%) | loss: 5.786340 | lrm: 1.00 | dt: 1062ms | tok/sec: 30,851 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00079 (27.4%) | loss: 5.781730 | lrm: 1.00 | dt: 1058ms | tok/sec: 30,959 | mfu: 0.1% | epoch: 1 | remaining: 217s    
[mini-eval] step    80 val_bpb=2.0071 (overhead 986ms)

step 00080 (27.8%) | loss: 5.778615 | lrm: 1.00 | dt: 1383ms | tok/sec: 23,692 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00081 (28.2%) | loss: 5.774746 | lrm: 1.00 | dt: 1126ms | tok/sec: 29,100 | mfu: 0.1% | epoch: 1 | remaining: 214s    
step 00082 (28.6%) | loss: 5.771285 | lrm: 1.00 | dt: 1185ms | tok/sec: 27,663 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00083 (29.0%) | loss: 5.768122 | lrm: 1.00 | dt: 1061ms | tok/sec: 30,888 | mfu: 0.1% | epoch: 1 | remaining: 212s    
