Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2556ms | tok/sec: 12,822 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1462ms | tok/sec: 22,420 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1132ms | tok/sec: 28,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1046ms | tok/sec: 31,338 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1085ms | tok/sec: 30,188 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1058ms | tok/sec: 30,965 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1053ms | tok/sec: 31,123 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1042ms | tok/sec: 31,452 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1311ms | tok/sec: 25,002 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1069ms | tok/sec: 30,657 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 995ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1374ms | tok/sec: 23,849 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1135ms | tok/sec: 28,860 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1059ms | tok/sec: 30,931 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.315917 | lrm: 0.15 | dt: 1250ms | tok/sec: 26,205 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.307495 | lrm: 0.23 | dt: 1215ms | tok/sec: 26,965 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 8.284509 | lrm: 0.31 | dt: 1075ms | tok/sec: 30,473 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.225829 | lrm: 0.38 | dt: 1267ms | tok/sec: 25,867 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 8.109976 | lrm: 0.47 | dt: 1166ms | tok/sec: 28,108 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 7.961362 | lrm: 0.54 | dt: 1064ms | tok/sec: 30,808 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (3.1%) | loss: 7.812184 | lrm: 0.62 | dt: 1060ms | tok/sec: 30,913 | mfu: 0.2% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.1898 (overhead 975ms)

step 00020 (3.4%) | loss: 7.662697 | lrm: 0.69 | dt: 1567ms | tok/sec: 20,917 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (4.0%) | loss: 7.536544 | lrm: 0.79 | dt: 1117ms | tok/sec: 29,335 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.3%) | loss: 7.411135 | lrm: 0.87 | dt: 1044ms | tok/sec: 31,400 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00023 (4.7%) | loss: 7.288494 | lrm: 0.93 | dt: 1044ms | tok/sec: 31,385 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00024 (5.0%) | loss: 7.170463 | lrm: 1.00 | dt: 1274ms | tok/sec: 25,725 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00025 (5.4%) | loss: 7.063176 | lrm: 1.00 | dt: 1121ms | tok/sec: 29,236 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00026 (5.8%) | loss: 6.971669 | lrm: 1.00 | dt: 1043ms | tok/sec: 31,426 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00027 (6.2%) | loss: 6.885475 | lrm: 1.00 | dt: 1056ms | tok/sec: 31,026 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00028 (6.5%) | loss: 6.806379 | lrm: 1.00 | dt: 1109ms | tok/sec: 29,545 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00029 (6.9%) | loss: 6.734544 | lrm: 1.00 | dt: 1209ms | tok/sec: 27,112 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    30 val_bpb=2.0952 (overhead 983ms)

step 00030 (7.3%) | loss: 6.671007 | lrm: 1.00 | dt: 1952ms | tok/sec: 16,787 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00031 (7.9%) | loss: 6.612197 | lrm: 1.00 | dt: 1251ms | tok/sec: 26,184 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00032 (8.4%) | loss: 6.558375 | lrm: 1.00 | dt: 1483ms | tok/sec: 22,099 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00033 (8.9%) | loss: 6.509673 | lrm: 1.00 | dt: 1207ms | tok/sec: 27,157 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00034 (9.3%) | loss: 6.467060 | lrm: 1.00 | dt: 1224ms | tok/sec: 26,779 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00035 (9.7%) | loss: 6.424956 | lrm: 1.00 | dt: 1228ms | tok/sec: 26,687 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00036 (10.1%) | loss: 6.387096 | lrm: 1.00 | dt: 1183ms | tok/sec: 27,705 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00037 (10.5%) | loss: 6.352025 | lrm: 1.00 | dt: 1172ms | tok/sec: 27,947 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00038 (10.9%) | loss: 6.321042 | lrm: 1.00 | dt: 1143ms | tok/sec: 28,656 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00039 (11.2%) | loss: 6.292263 | lrm: 1.00 | dt: 1194ms | tok/sec: 27,434 | mfu: 0.1% | epoch: 1 | remaining: 265s    
[mini-eval] step    40 val_bpb=2.0773 (overhead 1100ms)

step 00040 (11.6%) | loss: 6.266953 | lrm: 1.00 | dt: 1827ms | tok/sec: 17,939 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00041 (12.2%) | loss: 6.244147 | lrm: 1.00 | dt: 1162ms | tok/sec: 28,207 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00042 (12.6%) | loss: 6.224148 | lrm: 1.00 | dt: 1186ms | tok/sec: 27,634 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00043 (13.0%) | loss: 6.203318 | lrm: 1.00 | dt: 1219ms | tok/sec: 26,887 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00044 (13.4%) | loss: 6.182301 | lrm: 1.00 | dt: 1257ms | tok/sec: 26,067 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00045 (13.9%) | loss: 6.160825 | lrm: 1.00 | dt: 1225ms | tok/sec: 26,749 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00046 (14.3%) | loss: 6.139727 | lrm: 1.00 | dt: 1166ms | tok/sec: 28,100 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00047 (14.7%) | loss: 6.119710 | lrm: 1.00 | dt: 1256ms | tok/sec: 26,085 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00048 (15.1%) | loss: 6.102416 | lrm: 1.00 | dt: 1467ms | tok/sec: 22,334 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00049 (15.6%) | loss: 6.083173 | lrm: 1.00 | dt: 1171ms | tok/sec: 27,985 | mfu: 0.1% | epoch: 1 | remaining: 252s    
[mini-eval] step    50 val_bpb=2.0460 (overhead 1211ms)

step 00050 (15.9%) | loss: 6.067456 | lrm: 1.00 | dt: 1706ms | tok/sec: 19,207 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00051 (16.5%) | loss: 6.050536 | lrm: 1.00 | dt: 1151ms | tok/sec: 28,469 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00052 (16.9%) | loss: 6.032894 | lrm: 1.00 | dt: 1191ms | tok/sec: 27,517 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00053 (17.3%) | loss: 6.013942 | lrm: 1.00 | dt: 1265ms | tok/sec: 25,898 | mfu: 0.1% | epoch: 1 | remaining: 247s    
