Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2369ms | tok/sec: 13,829 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1410ms | tok/sec: 23,242 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1109ms | tok/sec: 29,535 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1094ms | tok/sec: 29,960 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1161ms | tok/sec: 28,220 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1188ms | tok/sec: 27,582 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1216ms | tok/sec: 26,939 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1179ms | tok/sec: 27,802 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1438ms | tok/sec: 22,789 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1208ms | tok/sec: 27,136 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1165ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1332ms | tok/sec: 24,599 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1137ms | tok/sec: 28,811 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.13 | dt: 1098ms | tok/sec: 29,835 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.315132 | lrm: 0.25 | dt: 1173ms | tok/sec: 27,929 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.303226 | lrm: 0.38 | dt: 1071ms | tok/sec: 30,601 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.265495 | lrm: 0.50 | dt: 1216ms | tok/sec: 26,938 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.168608 | lrm: 0.63 | dt: 1305ms | tok/sec: 25,112 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 8.032716 | lrm: 0.78 | dt: 1135ms | tok/sec: 28,878 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 7.877498 | lrm: 0.90 | dt: 1081ms | tok/sec: 30,320 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00019 (3.1%) | loss: 7.727503 | lrm: 1.00 | dt: 1226ms | tok/sec: 26,723 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.1874 (overhead 991ms)

step 00020 (3.5%) | loss: 7.580402 | lrm: 1.00 | dt: 1591ms | tok/sec: 20,592 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (4.0%) | loss: 7.448977 | lrm: 1.00 | dt: 1232ms | tok/sec: 26,601 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.4%) | loss: 7.325840 | lrm: 1.00 | dt: 1165ms | tok/sec: 28,117 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00023 (4.8%) | loss: 7.208715 | lrm: 1.00 | dt: 1063ms | tok/sec: 30,831 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00024 (5.2%) | loss: 7.098724 | lrm: 1.00 | dt: 1260ms | tok/sec: 26,015 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00025 (5.6%) | loss: 6.999820 | lrm: 1.00 | dt: 1117ms | tok/sec: 29,336 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00026 (6.0%) | loss: 6.911892 | lrm: 1.00 | dt: 1053ms | tok/sec: 31,121 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00027 (6.3%) | loss: 6.828851 | lrm: 1.00 | dt: 1053ms | tok/sec: 31,111 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00028 (6.7%) | loss: 6.753716 | lrm: 1.00 | dt: 1121ms | tok/sec: 29,221 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00029 (7.0%) | loss: 6.685837 | lrm: 1.00 | dt: 1194ms | tok/sec: 27,443 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    30 val_bpb=2.0916 (overhead 984ms)

step 00030 (7.4%) | loss: 6.625889 | lrm: 1.00 | dt: 1416ms | tok/sec: 23,147 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00031 (7.9%) | loss: 6.570656 | lrm: 1.00 | dt: 1186ms | tok/sec: 27,624 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00032 (8.3%) | loss: 6.519943 | lrm: 1.00 | dt: 1441ms | tok/sec: 22,734 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00033 (8.8%) | loss: 6.474138 | lrm: 1.00 | dt: 1162ms | tok/sec: 28,204 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00034 (9.2%) | loss: 6.434223 | lrm: 1.00 | dt: 1122ms | tok/sec: 29,199 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00035 (9.5%) | loss: 6.394843 | lrm: 1.00 | dt: 1139ms | tok/sec: 28,778 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00036 (9.9%) | loss: 6.359274 | lrm: 1.00 | dt: 1139ms | tok/sec: 28,780 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00037 (10.3%) | loss: 6.326090 | lrm: 1.00 | dt: 1203ms | tok/sec: 27,247 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00038 (10.7%) | loss: 6.297151 | lrm: 1.00 | dt: 1206ms | tok/sec: 27,164 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00039 (11.1%) | loss: 6.270341 | lrm: 1.00 | dt: 1102ms | tok/sec: 29,727 | mfu: 0.2% | epoch: 1 | remaining: 266s    
[mini-eval] step    40 val_bpb=2.0723 (overhead 990ms)

step 00040 (11.5%) | loss: 6.247093 | lrm: 1.00 | dt: 1766ms | tok/sec: 18,558 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00041 (12.1%) | loss: 6.226650 | lrm: 1.00 | dt: 1162ms | tok/sec: 28,193 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00042 (12.4%) | loss: 6.208029 | lrm: 1.00 | dt: 1104ms | tok/sec: 29,688 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00043 (12.8%) | loss: 6.188999 | lrm: 1.00 | dt: 1258ms | tok/sec: 26,046 | mfu: 0.1% | epoch: 1 | remaining: 260s    
