Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 288, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,179,648
  value_embeds            : 2,359,296
  lm_head                 : 1,179,648
  transformer_matrices    : 3,981,504
  scalars                 : 8
  total                   : 8,700,104
Estimated FLOPs per token: 5.927846e+07
Scaling AdamW LRs by 1/sqrt(288/768) = 1.632993
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.317261 | lrm: 0.00 | dt: 5827ms | tok/sec: 5,623 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.317297 | lrm: 0.00 | dt: 2379ms | tok/sec: 13,775 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.317338 | lrm: 0.00 | dt: 1560ms | tok/sec: 21,007 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.317382 | lrm: 0.00 | dt: 1612ms | tok/sec: 20,330 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.317392 | lrm: 0.00 | dt: 1531ms | tok/sec: 21,398 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.317427 | lrm: 0.00 | dt: 1522ms | tok/sec: 21,523 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.317417 | lrm: 0.00 | dt: 1500ms | tok/sec: 21,838 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.317423 | lrm: 0.00 | dt: 1486ms | tok/sec: 22,044 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.317419 | lrm: 0.00 | dt: 1728ms | tok/sec: 18,965 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.317423 | lrm: 0.00 | dt: 1514ms | tok/sec: 21,643 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7172 (overhead 1671ms)

step 00010 (0.0%) | loss: 8.317421 | lrm: 0.00 | dt: 1565ms | tok/sec: 20,931 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.317411 | lrm: 0.00 | dt: 1533ms | tok/sec: 21,372 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00012 (0.5%) | loss: 8.317383 | lrm: 0.10 | dt: 1554ms | tok/sec: 21,092 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.0%) | loss: 8.314323 | lrm: 0.21 | dt: 1603ms | tok/sec: 20,446 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00014 (1.6%) | loss: 8.304774 | lrm: 0.31 | dt: 1454ms | tok/sec: 22,534 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00015 (2.0%) | loss: 8.278647 | lrm: 0.41 | dt: 1574ms | tok/sec: 20,824 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00016 (2.6%) | loss: 8.213503 | lrm: 0.51 | dt: 1779ms | tok/sec: 18,416 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00017 (3.2%) | loss: 8.089905 | lrm: 0.63 | dt: 1480ms | tok/sec: 22,141 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00018 (3.7%) | loss: 7.939694 | lrm: 0.73 | dt: 1586ms | tok/sec: 20,662 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00019 (4.2%) | loss: 7.788201 | lrm: 0.84 | dt: 1489ms | tok/sec: 22,003 | mfu: 0.1% | epoch: 1 | remaining: 286s    
[mini-eval] step    20 val_bpb=2.1822 (overhead 1155ms)

step 00020 (4.7%) | loss: 7.635524 | lrm: 0.94 | dt: 1589ms | tok/sec: 20,619 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00021 (5.2%) | loss: 7.497526 | lrm: 1.00 | dt: 1596ms | tok/sec: 20,530 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00022 (5.7%) | loss: 7.373056 | lrm: 1.00 | dt: 1512ms | tok/sec: 21,672 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00023 (6.2%) | loss: 7.249620 | lrm: 1.00 | dt: 1526ms | tok/sec: 21,467 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00024 (6.8%) | loss: 7.133182 | lrm: 1.00 | dt: 1727ms | tok/sec: 18,977 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00025 (7.3%) | loss: 7.028414 | lrm: 1.00 | dt: 1560ms | tok/sec: 21,000 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00026 (7.9%) | loss: 6.937642 | lrm: 1.00 | dt: 1615ms | tok/sec: 20,294 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00027 (8.4%) | loss: 6.853519 | lrm: 1.00 | dt: 1505ms | tok/sec: 21,777 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00028 (8.9%) | loss: 6.775179 | lrm: 1.00 | dt: 1635ms | tok/sec: 20,047 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00029 (9.4%) | loss: 6.705474 | lrm: 1.00 | dt: 1505ms | tok/sec: 21,766 | mfu: 0.1% | epoch: 1 | remaining: 270s    
[mini-eval] step    30 val_bpb=2.0977 (overhead 1230ms)

step 00030 (9.9%) | loss: 6.643681 | lrm: 1.00 | dt: 2576ms | tok/sec: 12,718 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00031 (10.8%) | loss: 6.586541 | lrm: 1.00 | dt: 1579ms | tok/sec: 20,756 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00032 (11.3%) | loss: 6.534108 | lrm: 1.00 | dt: 1808ms | tok/sec: 18,120 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00033 (11.9%) | loss: 6.486951 | lrm: 1.00 | dt: 1717ms | tok/sec: 19,080 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00034 (12.5%) | loss: 6.445598 | lrm: 1.00 | dt: 1625ms | tok/sec: 20,167 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00035 (13.0%) | loss: 6.404383 | lrm: 1.00 | dt: 1516ms | tok/sec: 21,620 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00036 (13.5%) | loss: 6.366285 | lrm: 1.00 | dt: 1574ms | tok/sec: 20,813 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00037 (14.1%) | loss: 6.329496 | lrm: 1.00 | dt: 1677ms | tok/sec: 19,539 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00038 (14.6%) | loss: 6.295829 | lrm: 1.00 | dt: 1579ms | tok/sec: 20,752 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00039 (15.2%) | loss: 6.263872 | lrm: 1.00 | dt: 1615ms | tok/sec: 20,295 | mfu: 0.1% | epoch: 1 | remaining: 253s    
[mini-eval] step    40 val_bpb=2.0663 (overhead 1210ms)

step 00040 (15.7%) | loss: 6.235572 | lrm: 1.00 | dt: 3139ms | tok/sec: 10,439 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00041 (16.7%) | loss: 6.210132 | lrm: 1.00 | dt: 1859ms | tok/sec: 17,622 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00042 (17.4%) | loss: 6.187372 | lrm: 1.00 | dt: 1640ms | tok/sec: 19,976 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00043 (17.9%) | loss: 6.164356 | lrm: 1.00 | dt: 1477ms | tok/sec: 22,179 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00044 (18.4%) | loss: 6.142400 | lrm: 1.00 | dt: 1514ms | tok/sec: 21,638 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00045 (18.9%) | loss: 6.119595 | lrm: 1.00 | dt: 1604ms | tok/sec: 20,433 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00046 (19.4%) | loss: 6.098209 | lrm: 1.00 | dt: 1548ms | tok/sec: 21,174 | mfu: 0.1% | epoch: 1 | remaining: 240s    
step 00047 (20.0%) | loss: 6.080054 | lrm: 1.00 | dt: 1598ms | tok/sec: 20,503 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00048 (20.5%) | loss: 6.064842 | lrm: 1.00 | dt: 1855ms | tok/sec: 17,666 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00049 (21.1%) | loss: 6.046879 | lrm: 1.00 | dt: 1788ms | tok/sec: 18,322 | mfu: 0.1% | epoch: 1 | remaining: 235s    
[mini-eval] step    50 val_bpb=2.0467 (overhead 1278ms)

step 00050 (21.7%) | loss: 6.031542 | lrm: 1.00 | dt: 2562ms | tok/sec: 12,788 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00051 (22.6%) | loss: 6.015872 | lrm: 1.00 | dt: 1621ms | tok/sec: 20,214 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00052 (23.1%) | loss: 5.999978 | lrm: 1.00 | dt: 1629ms | tok/sec: 20,119 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00053 (23.6%) | loss: 5.983108 | lrm: 1.00 | dt: 1597ms | tok/sec: 20,519 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00054 (24.2%) | loss: 5.967790 | lrm: 1.00 | dt: 1481ms | tok/sec: 22,118 | mfu: 0.1% | epoch: 1 | remaining: 226s    
