Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2432ms | tok/sec: 13,473 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1353ms | tok/sec: 24,216 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1112ms | tok/sec: 29,465 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1114ms | tok/sec: 29,418 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1150ms | tok/sec: 28,504 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1103ms | tok/sec: 29,710 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1097ms | tok/sec: 29,870 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1125ms | tok/sec: 29,136 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1442ms | tok/sec: 22,724 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1115ms | tok/sec: 29,382 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1215ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1355ms | tok/sec: 24,182 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1142ms | tok/sec: 28,692 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1127ms | tok/sec: 29,072 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.316534 | lrm: 0.15 | dt: 1236ms | tok/sec: 26,519 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00014 (1.2%) | loss: 8.309996 | lrm: 0.23 | dt: 1155ms | tok/sec: 28,361 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 8.292882 | lrm: 0.31 | dt: 1148ms | tok/sec: 28,541 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.249096 | lrm: 0.39 | dt: 1422ms | tok/sec: 23,039 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.4%) | loss: 8.155745 | lrm: 0.48 | dt: 1134ms | tok/sec: 28,905 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.8%) | loss: 8.036462 | lrm: 0.56 | dt: 1191ms | tok/sec: 27,516 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00019 (3.2%) | loss: 7.894172 | lrm: 0.64 | dt: 1228ms | tok/sec: 26,678 | mfu: 0.1% | epoch: 1 | remaining: 289s    
[mini-eval] step    20 val_bpb=2.2422 (overhead 1092ms)

step 00020 (3.6%) | loss: 7.757108 | lrm: 0.72 | dt: 1677ms | tok/sec: 19,542 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (4.2%) | loss: 7.625238 | lrm: 0.83 | dt: 1148ms | tok/sec: 28,543 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00022 (4.5%) | loss: 7.494604 | lrm: 0.91 | dt: 1111ms | tok/sec: 29,502 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00023 (4.9%) | loss: 7.378747 | lrm: 0.98 | dt: 1171ms | tok/sec: 27,981 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00024 (5.3%) | loss: 7.265717 | lrm: 1.00 | dt: 1534ms | tok/sec: 21,358 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00025 (5.8%) | loss: 7.157262 | lrm: 1.00 | dt: 1159ms | tok/sec: 28,269 | mfu: 0.1% | epoch: 1 | remaining: 281s    
