Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,572,864
  value_embeds            : 3,145,728
  lm_head                 : 1,572,864
  transformer_matrices    : 7,078,080
  scalars                 : 8
  total                   : 13,369,544
Estimated FLOPs per token: 8.965440e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.316826 | lrm: 0.00 | dt: 6396ms | tok/sec: 5,123 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 1727ms | tok/sec: 18,971 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.316801 | lrm: 0.00 | dt: 1780ms | tok/sec: 18,404 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.316769 | lrm: 0.00 | dt: 1794ms | tok/sec: 18,264 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.316770 | lrm: 0.00 | dt: 1787ms | tok/sec: 18,339 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 1780ms | tok/sec: 18,404 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.316825 | lrm: 0.00 | dt: 1689ms | tok/sec: 19,404 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.316816 | lrm: 0.00 | dt: 1742ms | tok/sec: 18,812 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 1995ms | tok/sec: 16,421 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.316787 | lrm: 0.00 | dt: 1769ms | tok/sec: 18,527 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7172 (overhead 1835ms)

step 00010 (0.0%) | loss: 8.316773 | lrm: 0.00 | dt: 1790ms | tok/sec: 18,308 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.316758 | lrm: 0.00 | dt: 1730ms | tok/sec: 18,935 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.6%) | loss: 8.316771 | lrm: 0.12 | dt: 1912ms | tok/sec: 17,141 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00013 (1.2%) | loss: 8.312797 | lrm: 0.24 | dt: 1902ms | tok/sec: 17,226 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00014 (1.8%) | loss: 8.300024 | lrm: 0.37 | dt: 1724ms | tok/sec: 19,001 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00015 (2.4%) | loss: 8.264740 | lrm: 0.48 | dt: 1734ms | tok/sec: 18,897 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00016 (3.0%) | loss: 8.176580 | lrm: 0.60 | dt: 1931ms | tok/sec: 16,965 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00017 (3.6%) | loss: 8.023824 | lrm: 0.73 | dt: 1891ms | tok/sec: 17,324 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00018 (4.3%) | loss: 7.873966 | lrm: 0.86 | dt: 1707ms | tok/sec: 19,194 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00019 (4.8%) | loss: 7.710965 | lrm: 0.97 | dt: 1747ms | tok/sec: 18,756 | mfu: 0.2% | epoch: 1 | remaining: 284s    
[mini-eval] step    20 val_bpb=2.2065 (overhead 1607ms)

step 00020 (5.4%) | loss: 7.567603 | lrm: 1.00 | dt: 2316ms | tok/sec: 14,146 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00021 (6.2%) | loss: 7.439655 | lrm: 1.00 | dt: 1724ms | tok/sec: 19,007 | mfu: 0.2% | epoch: 1 | remaining: 280s    
step 00022 (6.8%) | loss: 7.314940 | lrm: 1.00 | dt: 1713ms | tok/sec: 19,127 | mfu: 0.2% | epoch: 1 | remaining: 278s    
step 00023 (7.3%) | loss: 7.199865 | lrm: 1.00 | dt: 1702ms | tok/sec: 19,251 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00024 (7.9%) | loss: 7.091696 | lrm: 1.00 | dt: 1927ms | tok/sec: 17,007 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00025 (8.6%) | loss: 6.992215 | lrm: 1.00 | dt: 1885ms | tok/sec: 17,379 | mfu: 0.2% | epoch: 1 | remaining: 272s    
step 00026 (9.2%) | loss: 6.904310 | lrm: 1.00 | dt: 1743ms | tok/sec: 18,803 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00027 (9.8%) | loss: 6.821853 | lrm: 1.00 | dt: 1736ms | tok/sec: 18,871 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00028 (10.3%) | loss: 6.747701 | lrm: 1.00 | dt: 1804ms | tok/sec: 18,164 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00029 (10.9%) | loss: 6.680882 | lrm: 1.00 | dt: 1808ms | tok/sec: 18,124 | mfu: 0.2% | epoch: 1 | remaining: 265s    
[mini-eval] step    30 val_bpb=2.0963 (overhead 1578ms)

step 00030 (11.5%) | loss: 6.621578 | lrm: 1.00 | dt: 2505ms | tok/sec: 13,079 | mfu: 0.1% | epoch: 1 | remaining: 263s    
