Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 4.089523e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2442ms | tok/sec: 13,419 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1308ms | tok/sec: 25,048 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1177ms | tok/sec: 27,836 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1117ms | tok/sec: 29,331 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1192ms | tok/sec: 27,483 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1109ms | tok/sec: 29,537 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1228ms | tok/sec: 26,679 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1274ms | tok/sec: 25,723 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1417ms | tok/sec: 23,121 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1133ms | tok/sec: 28,917 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1061ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1622ms | tok/sec: 20,205 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1113ms | tok/sec: 29,428 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1095ms | tok/sec: 29,914 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.316589 | lrm: 0.15 | dt: 1228ms | tok/sec: 26,688 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.310248 | lrm: 0.23 | dt: 1063ms | tok/sec: 30,819 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.293924 | lrm: 0.30 | dt: 1044ms | tok/sec: 31,393 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.8%) | loss: 8.253442 | lrm: 0.37 | dt: 1241ms | tok/sec: 26,411 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.3%) | loss: 8.168331 | lrm: 0.45 | dt: 1184ms | tok/sec: 27,669 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 8.040324 | lrm: 0.53 | dt: 1065ms | tok/sec: 30,757 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 7.903648 | lrm: 0.60 | dt: 1066ms | tok/sec: 30,746 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2370 (overhead 1172ms)

step 00020 (3.4%) | loss: 7.764575 | lrm: 0.67 | dt: 1568ms | tok/sec: 20,899 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (3.9%) | loss: 7.627818 | lrm: 0.78 | dt: 1138ms | tok/sec: 28,794 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.3%) | loss: 7.498681 | lrm: 0.85 | dt: 1056ms | tok/sec: 31,029 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00023 (4.6%) | loss: 7.386960 | lrm: 0.92 | dt: 1050ms | tok/sec: 31,196 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00024 (5.0%) | loss: 7.277949 | lrm: 0.99 | dt: 1388ms | tok/sec: 23,610 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00025 (5.4%) | loss: 7.171879 | lrm: 1.00 | dt: 1116ms | tok/sec: 29,356 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00026 (5.8%) | loss: 7.072693 | lrm: 1.00 | dt: 1309ms | tok/sec: 25,027 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00027 (6.2%) | loss: 6.977169 | lrm: 1.00 | dt: 1164ms | tok/sec: 28,153 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00028 (6.6%) | loss: 6.890985 | lrm: 1.00 | dt: 1102ms | tok/sec: 29,723 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00029 (7.0%) | loss: 6.812932 | lrm: 1.00 | dt: 1238ms | tok/sec: 26,463 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    30 val_bpb=2.1024 (overhead 1281ms)

step 00030 (7.4%) | loss: 6.742777 | lrm: 1.00 | dt: 1550ms | tok/sec: 21,137 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00031 (7.9%) | loss: 6.678054 | lrm: 1.00 | dt: 1151ms | tok/sec: 28,473 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00032 (8.3%) | loss: 6.619000 | lrm: 1.00 | dt: 1502ms | tok/sec: 21,819 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00033 (8.8%) | loss: 6.565232 | lrm: 1.00 | dt: 1162ms | tok/sec: 28,199 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00034 (9.2%) | loss: 6.518423 | lrm: 1.00 | dt: 1185ms | tok/sec: 27,652 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00035 (9.6%) | loss: 6.472274 | lrm: 1.00 | dt: 1213ms | tok/sec: 27,009 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00036 (10.0%) | loss: 6.430411 | lrm: 1.00 | dt: 1229ms | tok/sec: 26,653 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00037 (10.4%) | loss: 6.391462 | lrm: 1.00 | dt: 1201ms | tok/sec: 27,273 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00038 (10.8%) | loss: 6.357030 | lrm: 1.00 | dt: 1175ms | tok/sec: 27,890 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00039 (11.2%) | loss: 6.324958 | lrm: 1.00 | dt: 1210ms | tok/sec: 27,085 | mfu: 0.1% | epoch: 1 | remaining: 265s    
[mini-eval] step    40 val_bpb=2.0759 (overhead 1070ms)

step 00040 (11.6%) | loss: 6.296483 | lrm: 1.00 | dt: 1761ms | tok/sec: 18,605 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00041 (12.2%) | loss: 6.270958 | lrm: 1.00 | dt: 1124ms | tok/sec: 29,157 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00042 (12.6%) | loss: 6.248083 | lrm: 1.00 | dt: 1261ms | tok/sec: 25,984 | mfu: 0.1% | epoch: 1 | remaining: 261s    
step 00043 (13.0%) | loss: 6.225754 | lrm: 1.00 | dt: 1208ms | tok/sec: 27,128 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00044 (13.4%) | loss: 6.203438 | lrm: 1.00 | dt: 1328ms | tok/sec: 24,674 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00045 (13.8%) | loss: 6.179760 | lrm: 1.00 | dt: 1252ms | tok/sec: 26,173 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00046 (14.2%) | loss: 6.157150 | lrm: 1.00 | dt: 1243ms | tok/sec: 26,365 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00047 (14.7%) | loss: 6.139276 | lrm: 1.00 | dt: 1284ms | tok/sec: 25,527 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00048 (15.1%) | loss: 6.123740 | lrm: 1.00 | dt: 1490ms | tok/sec: 21,996 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00049 (15.6%) | loss: 6.104494 | lrm: 1.00 | dt: 1196ms | tok/sec: 27,396 | mfu: 0.1% | epoch: 1 | remaining: 252s    
[mini-eval] step    50 val_bpb=2.0515 (overhead 1086ms)

step 00050 (16.0%) | loss: 6.087176 | lrm: 1.00 | dt: 1529ms | tok/sec: 21,426 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00051 (16.5%) | loss: 6.070518 | lrm: 1.00 | dt: 1178ms | tok/sec: 27,828 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00052 (16.9%) | loss: 6.053700 | lrm: 1.00 | dt: 1207ms | tok/sec: 27,152 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00053 (17.3%) | loss: 6.034086 | lrm: 1.00 | dt: 1187ms | tok/sec: 27,602 | mfu: 0.1% | epoch: 1 | remaining: 247s    
step 00054 (17.7%) | loss: 6.015261 | lrm: 1.00 | dt: 1127ms | tok/sec: 29,080 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00055 (18.1%) | loss: 6.000381 | lrm: 1.00 | dt: 1207ms | tok/sec: 27,157 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00056 (18.5%) | loss: 5.986555 | lrm: 1.00 | dt: 1474ms | tok/sec: 22,223 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00057 (19.0%) | loss: 5.970307 | lrm: 1.00 | dt: 1119ms | tok/sec: 29,277 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00058 (19.3%) | loss: 5.953857 | lrm: 1.00 | dt: 1180ms | tok/sec: 27,759 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00059 (19.7%) | loss: 5.938975 | lrm: 1.00 | dt: 1162ms | tok/sec: 28,206 | mfu: 0.1% | epoch: 1 | remaining: 240s    
[mini-eval] step    60 val_bpb=2.0239 (overhead 1062ms)

step 00060 (20.1%) | loss: 5.923154 | lrm: 1.00 | dt: 1569ms | tok/sec: 20,887 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00061 (20.6%) | loss: 5.907044 | lrm: 1.00 | dt: 1189ms | tok/sec: 27,568 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00062 (21.0%) | loss: 5.891582 | lrm: 1.00 | dt: 1205ms | tok/sec: 27,201 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00063 (21.4%) | loss: 5.878173 | lrm: 1.00 | dt: 1199ms | tok/sec: 27,335 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00064 (21.8%) | loss: 5.867784 | lrm: 1.00 | dt: 1382ms | tok/sec: 23,710 | mfu: 0.1% | epoch: 1 | remaining: 233s    
step 00065 (22.3%) | loss: 5.858006 | lrm: 1.00 | dt: 1239ms | tok/sec: 26,457 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00066 (22.7%) | loss: 5.848961 | lrm: 1.00 | dt: 1172ms | tok/sec: 27,961 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00067 (23.1%) | loss: 5.838951 | lrm: 1.00 | dt: 1222ms | tok/sec: 26,814 | mfu: 0.1% | epoch: 1 | remaining: 230s    
