Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2309ms | tok/sec: 14,191 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1320ms | tok/sec: 24,823 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1092ms | tok/sec: 29,997 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1108ms | tok/sec: 29,577 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1149ms | tok/sec: 28,521 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1190ms | tok/sec: 27,526 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1060ms | tok/sec: 30,920 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1189ms | tok/sec: 27,559 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1321ms | tok/sec: 24,804 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1168ms | tok/sec: 28,057 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1011ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1547ms | tok/sec: 21,182 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1172ms | tok/sec: 27,959 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.08 | dt: 1209ms | tok/sec: 27,103 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.316341 | lrm: 0.16 | dt: 1204ms | tok/sec: 27,226 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00014 (1.2%) | loss: 8.309052 | lrm: 0.24 | dt: 1262ms | tok/sec: 25,957 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.6%) | loss: 8.290066 | lrm: 0.32 | dt: 1205ms | tok/sec: 27,197 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (2.0%) | loss: 8.242077 | lrm: 0.40 | dt: 1399ms | tok/sec: 23,421 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.5%) | loss: 8.144142 | lrm: 0.50 | dt: 1169ms | tok/sec: 28,039 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00018 (2.9%) | loss: 8.004092 | lrm: 0.57 | dt: 1170ms | tok/sec: 28,003 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00019 (3.3%) | loss: 7.861734 | lrm: 0.65 | dt: 1134ms | tok/sec: 28,883 | mfu: 0.1% | epoch: 1 | remaining: 289s    
[mini-eval] step    20 val_bpb=2.2112 (overhead 1316ms)

step 00020 (3.6%) | loss: 7.717143 | lrm: 0.73 | dt: 1750ms | tok/sec: 18,726 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00021 (4.2%) | loss: 7.578552 | lrm: 0.84 | dt: 1205ms | tok/sec: 27,204 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00022 (4.6%) | loss: 7.469814 | lrm: 0.93 | dt: 1243ms | tok/sec: 26,352 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00023 (5.0%) | loss: 7.354577 | lrm: 1.00 | dt: 1187ms | tok/sec: 27,612 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00024 (5.4%) | loss: 7.240904 | lrm: 1.00 | dt: 1444ms | tok/sec: 22,694 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00025 (5.9%) | loss: 7.131876 | lrm: 1.00 | dt: 1191ms | tok/sec: 27,511 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00026 (6.3%) | loss: 7.031849 | lrm: 1.00 | dt: 1157ms | tok/sec: 28,314 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00027 (6.7%) | loss: 6.938708 | lrm: 1.00 | dt: 1171ms | tok/sec: 27,980 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00028 (7.1%) | loss: 6.854662 | lrm: 1.00 | dt: 1176ms | tok/sec: 27,866 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00029 (7.5%) | loss: 6.779230 | lrm: 1.00 | dt: 1165ms | tok/sec: 28,136 | mfu: 0.1% | epoch: 1 | remaining: 276s    
[mini-eval] step    30 val_bpb=2.1115 (overhead 1070ms)

step 00030 (7.9%) | loss: 6.712585 | lrm: 1.00 | dt: 1670ms | tok/sec: 19,627 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00031 (8.4%) | loss: 6.650573 | lrm: 1.00 | dt: 1230ms | tok/sec: 26,633 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00032 (8.8%) | loss: 6.593715 | lrm: 1.00 | dt: 1403ms | tok/sec: 23,356 | mfu: 0.1% | epoch: 1 | remaining: 272s    
