Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 5, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,572,864
  value_embeds            : 4,718,592
  lm_head                 : 1,572,864
  transformer_matrices    : 8,847,648
  scalars                 : 10
  total                   : 16,711,978
Estimated FLOPs per token: 1.097090e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.316826 | lrm: 0.00 | dt: 7953ms | tok/sec: 4,120 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.316799 | lrm: 0.00 | dt: 3633ms | tok/sec: 9,020 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 2136ms | tok/sec: 15,344 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.316769 | lrm: 0.00 | dt: 2103ms | tok/sec: 15,583 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.316769 | lrm: 0.00 | dt: 2226ms | tok/sec: 14,717 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 2056ms | tok/sec: 15,934 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.316825 | lrm: 0.00 | dt: 2256ms | tok/sec: 14,522 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.316816 | lrm: 0.00 | dt: 2242ms | tok/sec: 14,617 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.316799 | lrm: 0.00 | dt: 2451ms | tok/sec: 13,367 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.316785 | lrm: 0.00 | dt: 2033ms | tok/sec: 16,120 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7172 (overhead 2086ms)

step 00010 (0.0%) | loss: 8.316772 | lrm: 0.00 | dt: 2437ms | tok/sec: 13,447 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.316757 | lrm: 0.00 | dt: 2169ms | tok/sec: 15,106 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.7%) | loss: 8.316770 | lrm: 0.14 | dt: 2459ms | tok/sec: 13,325 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00013 (1.5%) | loss: 8.311806 | lrm: 0.31 | dt: 2487ms | tok/sec: 13,177 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00014 (2.4%) | loss: 8.294741 | lrm: 0.47 | dt: 2500ms | tok/sec: 13,106 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00015 (3.2%) | loss: 8.242149 | lrm: 0.64 | dt: 2537ms | tok/sec: 12,916 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00016 (4.1%) | loss: 8.112608 | lrm: 0.81 | dt: 2819ms | tok/sec: 11,622 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00017 (5.0%) | loss: 7.945808 | lrm: 1.00 | dt: 2519ms | tok/sec: 13,006 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00018 (5.8%) | loss: 7.771166 | lrm: 1.00 | dt: 2436ms | tok/sec: 13,453 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00019 (6.6%) | loss: 7.626742 | lrm: 1.00 | dt: 2441ms | tok/sec: 13,421 | mfu: 0.1% | epoch: 1 | remaining: 278s    
[mini-eval] step    20 val_bpb=2.2224 (overhead 1855ms)

step 00020 (7.5%) | loss: 7.490828 | lrm: 1.00 | dt: 13062ms | tok/sec: 2,508 | mfu: 0.0% | epoch: 1 | remaining: 265s    
step 00021 (11.8%) | loss: 7.358019 | lrm: 1.00 | dt: 18120ms | tok/sec: 1,808 | mfu: 0.0% | epoch: 1 | remaining: 246s    
step 00022 (17.8%) | loss: 7.237163 | lrm: 1.00 | dt: 7274ms | tok/sec: 4,505 | mfu: 0.0% | epoch: 1 | remaining: 239s    
step 00023 (20.3%) | loss: 7.126325 | lrm: 1.00 | dt: 2184ms | tok/sec: 15,002 | mfu: 0.2% | epoch: 1 | remaining: 237s    
step 00024 (21.0%) | loss: 7.022850 | lrm: 1.00 | dt: 2570ms | tok/sec: 12,752 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00025 (21.9%) | loss: 6.928308 | lrm: 1.00 | dt: 2146ms | tok/sec: 15,270 | mfu: 0.2% | epoch: 1 | remaining: 232s    
step 00026 (22.6%) | loss: 6.845736 | lrm: 1.00 | dt: 2060ms | tok/sec: 15,910 | mfu: 0.2% | epoch: 1 | remaining: 230s    
step 00027 (23.3%) | loss: 6.768144 | lrm: 1.00 | dt: 2146ms | tok/sec: 15,271 | mfu: 0.2% | epoch: 1 | remaining: 228s    
step 00028 (24.0%) | loss: 6.697935 | lrm: 1.00 | dt: 2213ms | tok/sec: 14,810 | mfu: 0.2% | epoch: 1 | remaining: 226s    
step 00029 (24.7%) | loss: 6.634543 | lrm: 1.00 | dt: 2222ms | tok/sec: 14,744 | mfu: 0.2% | epoch: 1 | remaining: 224s    
[mini-eval] step    30 val_bpb=2.0907 (overhead 1966ms)

step 00030 (25.5%) | loss: 6.578255 | lrm: 1.00 | dt: 2748ms | tok/sec: 11,925 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00031 (26.4%) | loss: 6.526718 | lrm: 1.00 | dt: 2177ms | tok/sec: 15,051 | mfu: 0.2% | epoch: 1 | remaining: 219s    
step 00032 (27.1%) | loss: 6.478622 | lrm: 1.00 | dt: 2785ms | tok/sec: 11,765 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00033 (28.0%) | loss: 6.434500 | lrm: 1.00 | dt: 2402ms | tok/sec: 13,642 | mfu: 0.2% | epoch: 1 | remaining: 214s    
step 00034 (28.8%) | loss: 6.394694 | lrm: 1.00 | dt: 2126ms | tok/sec: 15,413 | mfu: 0.2% | epoch: 1 | remaining: 211s    
step 00035 (29.5%) | loss: 6.354572 | lrm: 1.00 | dt: 2172ms | tok/sec: 15,087 | mfu: 0.2% | epoch: 1 | remaining: 209s    
step 00036 (30.3%) | loss: 6.316952 | lrm: 1.00 | dt: 2155ms | tok/sec: 15,205 | mfu: 0.2% | epoch: 1 | remaining: 207s    
step 00037 (31.0%) | loss: 6.280869 | lrm: 0.99 | dt: 2221ms | tok/sec: 14,753 | mfu: 0.2% | epoch: 1 | remaining: 205s    
step 00038 (31.7%) | loss: 6.249146 | lrm: 0.98 | dt: 2193ms | tok/sec: 14,942 | mfu: 0.2% | epoch: 1 | remaining: 203s    
step 00039 (32.4%) | loss: 6.219363 | lrm: 0.97 | dt: 2209ms | tok/sec: 14,831 | mfu: 0.2% | epoch: 1 | remaining: 200s    
[mini-eval] step    40 val_bpb=2.0603 (overhead 1897ms)

step 00040 (33.2%) | loss: 6.193200 | lrm: 0.95 | dt: 9111ms | tok/sec: 3,596 | mfu: 0.0% | epoch: 1 | remaining: 191s    
step 00041 (36.2%) | loss: 6.169060 | lrm: 0.91 | dt: 3367ms | tok/sec: 9,731 | mfu: 0.1% | epoch: 1 | remaining: 188s    
step 00042 (37.3%) | loss: 6.147607 | lrm: 0.90 | dt: 2154ms | tok/sec: 15,212 | mfu: 0.2% | epoch: 1 | remaining: 186s    
step 00043 (38.1%) | loss: 6.126292 | lrm: 0.88 | dt: 2231ms | tok/sec: 14,686 | mfu: 0.2% | epoch: 1 | remaining: 184s    
step 00044 (38.8%) | loss: 6.105802 | lrm: 0.87 | dt: 2175ms | tok/sec: 15,068 | mfu: 0.2% | epoch: 1 | remaining: 181s    
step 00045 (39.5%) | loss: 6.084110 | lrm: 0.86 | dt: 2295ms | tok/sec: 14,280 | mfu: 0.2% | epoch: 1 | remaining: 179s    
step 00046 (40.3%) | loss: 6.063905 | lrm: 0.85 | dt: 2188ms | tok/sec: 14,972 | mfu: 0.2% | epoch: 1 | remaining: 177s    
step 00047 (41.0%) | loss: 6.046784 | lrm: 0.84 | dt: 2095ms | tok/sec: 15,638 | mfu: 0.2% | epoch: 1 | remaining: 175s    
step 00048 (41.7%) | loss: 6.032515 | lrm: 0.83 | dt: 2525ms | tok/sec: 12,978 | mfu: 0.1% | epoch: 1 | remaining: 172s    
step 00049 (42.6%) | loss: 6.015509 | lrm: 0.82 | dt: 2225ms | tok/sec: 14,724 | mfu: 0.2% | epoch: 1 | remaining: 170s    
[mini-eval] step    50 val_bpb=2.0329 (overhead 2035ms)

step 00050 (43.3%) | loss: 6.000350 | lrm: 0.81 | dt: 2918ms | tok/sec: 11,228 | mfu: 0.1% | epoch: 1 | remaining: 167s    
step 00051 (44.3%) | loss: 5.984385 | lrm: 0.80 | dt: 2150ms | tok/sec: 15,240 | mfu: 0.2% | epoch: 1 | remaining: 165s    
step 00052 (45.0%) | loss: 5.967690 | lrm: 0.79 | dt: 2139ms | tok/sec: 15,318 | mfu: 0.2% | epoch: 1 | remaining: 163s    
step 00053 (45.7%) | loss: 5.949391 | lrm: 0.78 | dt: 2353ms | tok/sec: 13,928 | mfu: 0.2% | epoch: 1 | remaining: 161s    
step 00054 (46.5%) | loss: 5.932024 | lrm: 0.76 | dt: 2270ms | tok/sec: 14,433 | mfu: 0.2% | epoch: 1 | remaining: 158s    
step 00055 (47.2%) | loss: 5.918952 | lrm: 0.75 | dt: 2411ms | tok/sec: 13,593 | mfu: 0.2% | epoch: 1 | remaining: 156s    
step 00056 (48.1%) | loss: 5.906704 | lrm: 0.74 | dt: 2973ms | tok/sec: 11,022 | mfu: 0.1% | epoch: 1 | remaining: 153s    
step 00057 (49.0%) | loss: 5.892529 | lrm: 0.73 | dt: 2161ms | tok/sec: 15,162 | mfu: 0.2% | epoch: 1 | remaining: 151s    
step 00058 (49.8%) | loss: 5.879074 | lrm: 0.72 | dt: 2357ms | tok/sec: 13,903 | mfu: 0.2% | epoch: 1 | remaining: 148s    
step 00059 (50.5%) | loss: 5.867567 | lrm: 0.71 | dt: 2338ms | tok/sec: 14,017 | mfu: 0.2% | epoch: 1 | remaining: 146s    
[mini-eval] step    60 val_bpb=2.0127 (overhead 1966ms)

step 00060 (51.3%) | loss: 5.854947 | lrm: 0.70 | dt: 2855ms | tok/sec: 11,478 | mfu: 0.1% | epoch: 1 | remaining: 143s    
step 00061 (52.3%) | loss: 5.842111 | lrm: 0.68 | dt: 2215ms | tok/sec: 14,792 | mfu: 0.2% | epoch: 1 | remaining: 141s    
step 00062 (53.0%) | loss: 5.829492 | lrm: 0.67 | dt: 2243ms | tok/sec: 14,606 | mfu: 0.2% | epoch: 1 | remaining: 139s    
step 00063 (53.8%) | loss: 5.818734 | lrm: 0.66 | dt: 2335ms | tok/sec: 14,036 | mfu: 0.2% | epoch: 1 | remaining: 136s    
