Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,572,864
  value_embeds            : 3,145,728
  lm_head                 : 1,572,864
  transformer_matrices    : 7,078,080
  scalars                 : 8
  total                   : 13,369,544
Estimated FLOPs per token: 8.965440e+07
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.316826 | lrm: 0.00 | dt: 6679ms | tok/sec: 4,906 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 2576ms | tok/sec: 12,722 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.316801 | lrm: 0.00 | dt: 1808ms | tok/sec: 18,128 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.316769 | lrm: 0.00 | dt: 1842ms | tok/sec: 17,792 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.316770 | lrm: 0.00 | dt: 1798ms | tok/sec: 18,221 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 1811ms | tok/sec: 18,094 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.316825 | lrm: 0.00 | dt: 1719ms | tok/sec: 19,063 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.316816 | lrm: 0.00 | dt: 1785ms | tok/sec: 18,361 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.316800 | lrm: 0.00 | dt: 1924ms | tok/sec: 17,033 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.316787 | lrm: 0.00 | dt: 1812ms | tok/sec: 18,081 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7172 (overhead 1750ms)

step 00010 (0.0%) | loss: 8.316773 | lrm: 0.00 | dt: 2066ms | tok/sec: 15,860 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.316758 | lrm: 0.00 | dt: 1805ms | tok/sec: 18,150 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.6%) | loss: 8.316771 | lrm: 0.12 | dt: 1850ms | tok/sec: 17,709 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00013 (1.2%) | loss: 8.312633 | lrm: 0.24 | dt: 1761ms | tok/sec: 18,606 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00014 (1.8%) | loss: 8.299598 | lrm: 0.36 | dt: 1837ms | tok/sec: 17,835 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00015 (2.4%) | loss: 8.264737 | lrm: 0.48 | dt: 1786ms | tok/sec: 18,342 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00016 (3.0%) | loss: 8.178045 | lrm: 0.60 | dt: 2079ms | tok/sec: 15,764 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00017 (3.7%) | loss: 8.026477 | lrm: 0.74 | dt: 1802ms | tok/sec: 18,188 | mfu: 0.2% | epoch: 1 | remaining: 287s    
