Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 5.033242e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2314ms | tok/sec: 14,163 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1293ms | tok/sec: 25,344 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1079ms | tok/sec: 30,373 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1070ms | tok/sec: 30,622 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1138ms | tok/sec: 28,795 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1155ms | tok/sec: 28,376 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1145ms | tok/sec: 28,615 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1132ms | tok/sec: 28,943 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1409ms | tok/sec: 23,249 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1110ms | tok/sec: 29,511 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1033ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1583ms | tok/sec: 20,704 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1074ms | tok/sec: 30,519 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1218ms | tok/sec: 26,903 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.8%) | loss: 8.316656 | lrm: 0.15 | dt: 1055ms | tok/sec: 31,052 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.310196 | lrm: 0.22 | dt: 1045ms | tok/sec: 31,369 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00015 (1.5%) | loss: 8.294070 | lrm: 0.29 | dt: 1048ms | tok/sec: 31,264 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00016 (1.8%) | loss: 8.254960 | lrm: 0.36 | dt: 1232ms | tok/sec: 26,589 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.2%) | loss: 8.174076 | lrm: 0.44 | dt: 1071ms | tok/sec: 30,600 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00018 (2.6%) | loss: 8.047880 | lrm: 0.52 | dt: 1200ms | tok/sec: 27,308 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (3.0%) | loss: 7.910110 | lrm: 0.60 | dt: 1251ms | tok/sec: 26,191 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2339 (overhead 1186ms)

step 00020 (3.4%) | loss: 7.770877 | lrm: 0.68 | dt: 1663ms | tok/sec: 19,707 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00021 (4.0%) | loss: 7.633156 | lrm: 0.79 | dt: 1150ms | tok/sec: 28,505 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00022 (4.3%) | loss: 7.514360 | lrm: 0.87 | dt: 1153ms | tok/sec: 28,415 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00023 (4.7%) | loss: 7.393565 | lrm: 0.94 | dt: 1098ms | tok/sec: 29,851 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00024 (5.1%) | loss: 7.274763 | lrm: 1.00 | dt: 1495ms | tok/sec: 21,921 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00025 (5.6%) | loss: 7.161874 | lrm: 1.00 | dt: 1183ms | tok/sec: 27,688 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00026 (6.0%) | loss: 7.058163 | lrm: 1.00 | dt: 1079ms | tok/sec: 30,368 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00027 (6.3%) | loss: 6.962832 | lrm: 1.00 | dt: 1224ms | tok/sec: 26,770 | mfu: 0.1% | epoch: 1 | remaining: 280s    
