Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 2,097,152
  lm_head                 : 1,048,576
  transformer_matrices    : 3,145,856
  scalars                 : 8
  total                   : 7,340,168
Estimated FLOPs per token: 4.404096e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318602 | lrm: 0.00 | dt: 2419ms | tok/sec: 13,544 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318686 | lrm: 0.00 | dt: 1237ms | tok/sec: 26,479 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318756 | lrm: 0.00 | dt: 1155ms | tok/sec: 28,381 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1122ms | tok/sec: 29,203 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1068ms | tok/sec: 30,678 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1170ms | tok/sec: 28,014 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1092ms | tok/sec: 30,006 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318767 | lrm: 0.00 | dt: 1201ms | tok/sec: 27,275 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1332ms | tok/sec: 24,603 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318744 | lrm: 0.00 | dt: 1118ms | tok/sec: 29,298 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1048ms)

step 00010 (0.0%) | loss: 8.318725 | lrm: 0.00 | dt: 1485ms | tok/sec: 22,061 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318738 | lrm: 0.00 | dt: 1064ms | tok/sec: 30,792 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.4%) | loss: 8.318740 | lrm: 0.07 | dt: 1063ms | tok/sec: 30,836 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.7%) | loss: 8.316689 | lrm: 0.14 | dt: 1188ms | tok/sec: 27,582 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (1.1%) | loss: 8.310654 | lrm: 0.22 | dt: 1244ms | tok/sec: 26,332 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00015 (1.5%) | loss: 8.295426 | lrm: 0.30 | dt: 1062ms | tok/sec: 30,865 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00016 (1.9%) | loss: 8.257080 | lrm: 0.37 | dt: 1465ms | tok/sec: 22,363 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00017 (2.4%) | loss: 8.175962 | lrm: 0.47 | dt: 1149ms | tok/sec: 28,527 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00018 (2.7%) | loss: 8.047040 | lrm: 0.55 | dt: 1118ms | tok/sec: 29,301 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00019 (3.1%) | loss: 7.908012 | lrm: 0.62 | dt: 1085ms | tok/sec: 30,210 | mfu: 0.1% | epoch: 1 | remaining: 290s    
[mini-eval] step    20 val_bpb=2.2310 (overhead 1022ms)

step 00020 (3.5%) | loss: 7.767211 | lrm: 0.70 | dt: 1393ms | tok/sec: 23,529 | mfu: 0.1% | epoch: 1 | remaining: 288s    
