Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 4, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 320, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,310,720
  value_embeds            : 2,621,440
  lm_head                 : 1,310,720
  transformer_matrices    : 4,915,328
  scalars                 : 8
  total                   : 10,158,216
Estimated FLOPs per token: 6.881357e+07
Scaling AdamW LRs by 1/sqrt(320/768) = 1.549193
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.317894 | lrm: 0.00 | dt: 3354ms | tok/sec: 9,768 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.317927 | lrm: 0.00 | dt: 1497ms | tok/sec: 21,894 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318006 | lrm: 0.00 | dt: 1527ms | tok/sec: 21,456 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.317989 | lrm: 0.00 | dt: 1416ms | tok/sec: 23,144 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.317982 | lrm: 0.00 | dt: 1397ms | tok/sec: 23,449 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.317967 | lrm: 0.00 | dt: 1394ms | tok/sec: 23,507 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.317978 | lrm: 0.00 | dt: 1372ms | tok/sec: 23,888 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.317981 | lrm: 0.00 | dt: 1461ms | tok/sec: 22,425 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.317980 | lrm: 0.00 | dt: 1668ms | tok/sec: 19,640 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.317958 | lrm: 0.00 | dt: 1396ms | tok/sec: 23,478 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 1466ms)

step 00010 (0.0%) | loss: 8.317941 | lrm: 0.00 | dt: 1471ms | tok/sec: 22,277 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.317907 | lrm: 0.00 | dt: 1437ms | tok/sec: 22,804 | mfu: 0.2% | epoch: 1 | remaining: 299s    
step 00012 (0.5%) | loss: 8.317892 | lrm: 0.10 | dt: 1413ms | tok/sec: 23,195 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00013 (0.9%) | loss: 8.314861 | lrm: 0.19 | dt: 1451ms | tok/sec: 22,585 | mfu: 0.2% | epoch: 1 | remaining: 296s    
step 00014 (1.4%) | loss: 8.305506 | lrm: 0.29 | dt: 1406ms | tok/sec: 23,299 | mfu: 0.2% | epoch: 1 | remaining: 294s    
step 00015 (1.9%) | loss: 8.281142 | lrm: 0.38 | dt: 1415ms | tok/sec: 23,164 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00016 (2.4%) | loss: 8.221842 | lrm: 0.47 | dt: 1616ms | tok/sec: 20,272 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00017 (2.9%) | loss: 8.106257 | lrm: 0.58 | dt: 1394ms | tok/sec: 23,505 | mfu: 0.2% | epoch: 1 | remaining: 290s    
step 00018 (3.4%) | loss: 7.953678 | lrm: 0.68 | dt: 1430ms | tok/sec: 22,922 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00019 (3.9%) | loss: 7.802394 | lrm: 0.77 | dt: 1466ms | tok/sec: 22,355 | mfu: 0.2% | epoch: 1 | remaining: 287s    
[mini-eval] step    20 val_bpb=2.1919 (overhead 1281ms)

step 00020 (4.3%) | loss: 7.653860 | lrm: 0.87 | dt: 1471ms | tok/sec: 22,278 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00021 (4.8%) | loss: 7.535182 | lrm: 0.97 | dt: 1416ms | tok/sec: 23,136 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00022 (5.3%) | loss: 7.409698 | lrm: 1.00 | dt: 1497ms | tok/sec: 21,890 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00023 (5.8%) | loss: 7.292324 | lrm: 1.00 | dt: 1488ms | tok/sec: 22,026 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00024 (6.3%) | loss: 7.178633 | lrm: 1.00 | dt: 1724ms | tok/sec: 19,010 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00025 (6.9%) | loss: 7.072451 | lrm: 1.00 | dt: 1550ms | tok/sec: 21,141 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00026 (7.4%) | loss: 6.977991 | lrm: 1.00 | dt: 1482ms | tok/sec: 22,115 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00027 (7.9%) | loss: 6.889567 | lrm: 1.00 | dt: 1454ms | tok/sec: 22,537 | mfu: 0.2% | epoch: 1 | remaining: 275s    
step 00028 (8.4%) | loss: 6.809358 | lrm: 1.00 | dt: 1381ms | tok/sec: 23,725 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00029 (8.8%) | loss: 6.737179 | lrm: 1.00 | dt: 1512ms | tok/sec: 21,672 | mfu: 0.2% | epoch: 1 | remaining: 272s    
[mini-eval] step    30 val_bpb=2.1026 (overhead 1338ms)

step 00030 (9.3%) | loss: 6.673123 | lrm: 1.00 | dt: 1506ms | tok/sec: 21,759 | mfu: 0.2% | epoch: 1 | remaining: 270s    
step 00031 (9.8%) | loss: 6.614265 | lrm: 1.00 | dt: 1416ms | tok/sec: 23,143 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00032 (10.3%) | loss: 6.559822 | lrm: 1.00 | dt: 1670ms | tok/sec: 19,623 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00033 (10.9%) | loss: 6.510327 | lrm: 1.00 | dt: 1476ms | tok/sec: 22,199 | mfu: 0.2% | epoch: 1 | remaining: 266s    
step 00034 (11.4%) | loss: 6.467096 | lrm: 1.00 | dt: 1419ms | tok/sec: 23,088 | mfu: 0.2% | epoch: 1 | remaining: 265s    
step 00035 (11.8%) | loss: 6.423759 | lrm: 1.00 | dt: 1440ms | tok/sec: 22,750 | mfu: 0.2% | epoch: 1 | remaining: 263s    
step 00036 (12.3%) | loss: 6.382875 | lrm: 1.00 | dt: 1452ms | tok/sec: 22,560 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00037 (12.8%) | loss: 6.343881 | lrm: 1.00 | dt: 1491ms | tok/sec: 21,983 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00038 (13.3%) | loss: 6.308446 | lrm: 1.00 | dt: 1469ms | tok/sec: 22,309 | mfu: 0.2% | epoch: 1 | remaining: 259s    
step 00039 (13.8%) | loss: 6.274943 | lrm: 1.00 | dt: 1381ms | tok/sec: 23,726 | mfu: 0.2% | epoch: 1 | remaining: 257s    
[mini-eval] step    40 val_bpb=2.0649 (overhead 1301ms)

step 00040 (14.2%) | loss: 6.244989 | lrm: 1.00 | dt: 1757ms | tok/sec: 18,647 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00041 (14.8%) | loss: 6.217348 | lrm: 1.00 | dt: 1448ms | tok/sec: 22,633 | mfu: 0.2% | epoch: 1 | remaining: 254s    
step 00042 (15.3%) | loss: 6.193344 | lrm: 1.00 | dt: 1442ms | tok/sec: 22,721 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00043 (15.8%) | loss: 6.169077 | lrm: 1.00 | dt: 1517ms | tok/sec: 21,594 | mfu: 0.2% | epoch: 1 | remaining: 251s    
step 00044 (16.3%) | loss: 6.145423 | lrm: 1.00 | dt: 1471ms | tok/sec: 22,275 | mfu: 0.2% | epoch: 1 | remaining: 250s    
