Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.831194e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 1826ms | tok/sec: 17,948 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 778ms | tok/sec: 42,120 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 674ms | tok/sec: 48,614 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 647ms | tok/sec: 50,667 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 745ms | tok/sec: 44,006 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 629ms | tok/sec: 52,086 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 639ms | tok/sec: 51,261 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 731ms | tok/sec: 44,855 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 833ms | tok/sec: 39,350 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 620ms | tok/sec: 52,868 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 714ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 638ms | tok/sec: 51,327 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 627ms | tok/sec: 52,225 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.04 | dt: 657ms | tok/sec: 49,886 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 8.317530 | lrm: 0.09 | dt: 665ms | tok/sec: 49,293 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 8.314089 | lrm: 0.13 | dt: 611ms | tok/sec: 53,615 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 8.306806 | lrm: 0.17 | dt: 610ms | tok/sec: 53,724 | mfu: 0.2% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 8.292045 | lrm: 0.21 | dt: 788ms | tok/sec: 41,567 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 8.262875 | lrm: 0.26 | dt: 613ms | tok/sec: 53,496 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 8.207343 | lrm: 0.30 | dt: 610ms | tok/sec: 53,699 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 8.117825 | lrm: 0.35 | dt: 617ms | tok/sec: 53,147 | mfu: 0.2% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3409 (overhead 613ms)

step 00020 (1.9%) | loss: 7.998666 | lrm: 0.39 | dt: 640ms | tok/sec: 51,161 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 7.867744 | lrm: 0.43 | dt: 683ms | tok/sec: 48,006 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00022 (2.4%) | loss: 7.742276 | lrm: 0.47 | dt: 614ms | tok/sec: 53,348 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 7.622803 | lrm: 0.52 | dt: 617ms | tok/sec: 53,126 | mfu: 0.2% | epoch: 1 | remaining: 292s    
step 00024 (2.8%) | loss: 7.500362 | lrm: 0.56 | dt: 953ms | tok/sec: 34,379 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00025 (3.1%) | loss: 7.393850 | lrm: 0.62 | dt: 680ms | tok/sec: 48,210 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00026 (3.3%) | loss: 7.287241 | lrm: 0.67 | dt: 609ms | tok/sec: 53,791 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00027 (3.5%) | loss: 7.184782 | lrm: 0.71 | dt: 612ms | tok/sec: 53,582 | mfu: 0.2% | epoch: 1 | remaining: 289s    
step 00028 (3.7%) | loss: 7.086309 | lrm: 0.75 | dt: 612ms | tok/sec: 53,541 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00029 (3.9%) | loss: 6.993345 | lrm: 0.79 | dt: 611ms | tok/sec: 53,609 | mfu: 0.2% | epoch: 1 | remaining: 288s    
[mini-eval] step    30 val_bpb=2.1166 (overhead 610ms)

step 00030 (4.1%) | loss: 6.907994 | lrm: 0.83 | dt: 614ms | tok/sec: 53,345 | mfu: 0.2% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 6.828703 | lrm: 0.87 | dt: 611ms | tok/sec: 53,639 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00032 (4.6%) | loss: 6.756272 | lrm: 0.91 | dt: 803ms | tok/sec: 40,799 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00033 (4.8%) | loss: 6.690382 | lrm: 0.96 | dt: 613ms | tok/sec: 53,432 | mfu: 0.2% | epoch: 1 | remaining: 285s    
step 00034 (5.0%) | loss: 6.631893 | lrm: 1.00 | dt: 610ms | tok/sec: 53,722 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00035 (5.2%) | loss: 6.576210 | lrm: 1.00 | dt: 610ms | tok/sec: 53,752 | mfu: 0.2% | epoch: 1 | remaining: 284s    
step 00036 (5.4%) | loss: 6.525632 | lrm: 1.00 | dt: 610ms | tok/sec: 53,738 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00037 (5.6%) | loss: 6.478908 | lrm: 1.00 | dt: 611ms | tok/sec: 53,626 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00038 (5.8%) | loss: 6.437437 | lrm: 1.00 | dt: 609ms | tok/sec: 53,763 | mfu: 0.2% | epoch: 1 | remaining: 282s    
step 00039 (6.0%) | loss: 6.398967 | lrm: 1.00 | dt: 612ms | tok/sec: 53,509 | mfu: 0.2% | epoch: 1 | remaining: 281s    
[mini-eval] step    40 val_bpb=2.0835 (overhead 622ms)

step 00040 (6.2%) | loss: 6.364975 | lrm: 1.00 | dt: 967ms | tok/sec: 33,900 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00041 (6.6%) | loss: 6.334921 | lrm: 1.00 | dt: 683ms | tok/sec: 47,996 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00042 (6.8%) | loss: 6.308358 | lrm: 1.00 | dt: 616ms | tok/sec: 53,155 | mfu: 0.2% | epoch: 1 | remaining: 279s    
step 00043 (7.0%) | loss: 6.282168 | lrm: 1.00 | dt: 664ms | tok/sec: 49,352 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00044 (7.2%) | loss: 6.257815 | lrm: 1.00 | dt: 675ms | tok/sec: 48,513 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00045 (7.4%) | loss: 6.233133 | lrm: 1.00 | dt: 739ms | tok/sec: 44,343 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00046 (7.7%) | loss: 6.210060 | lrm: 1.00 | dt: 717ms | tok/sec: 45,715 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00047 (7.9%) | loss: 6.191002 | lrm: 1.00 | dt: 726ms | tok/sec: 45,111 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00048 (8.2%) | loss: 6.174649 | lrm: 1.00 | dt: 980ms | tok/sec: 33,438 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00049 (8.5%) | loss: 6.156309 | lrm: 1.00 | dt: 700ms | tok/sec: 46,830 | mfu: 0.1% | epoch: 1 | remaining: 274s    
[mini-eval] step    50 val_bpb=2.0614 (overhead 680ms)

step 00050 (8.7%) | loss: 6.139394 | lrm: 1.00 | dt: 745ms | tok/sec: 43,977 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00051 (9.0%) | loss: 6.121574 | lrm: 1.00 | dt: 676ms | tok/sec: 48,471 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00052 (9.2%) | loss: 6.103518 | lrm: 1.00 | dt: 688ms | tok/sec: 47,618 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00053 (9.4%) | loss: 6.084812 | lrm: 1.00 | dt: 701ms | tok/sec: 46,765 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00054 (9.7%) | loss: 6.067700 | lrm: 1.00 | dt: 692ms | tok/sec: 47,358 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00055 (9.9%) | loss: 6.055616 | lrm: 1.00 | dt: 736ms | tok/sec: 44,525 | mfu: 0.1% | epoch: 1 | remaining: 270s    
