Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.831194e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 1677ms | tok/sec: 19,542 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 721ms | tok/sec: 45,461 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 670ms | tok/sec: 48,905 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 706ms | tok/sec: 46,383 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 714ms | tok/sec: 45,874 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 633ms | tok/sec: 51,777 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 805ms | tok/sec: 40,720 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 625ms | tok/sec: 52,465 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 848ms | tok/sec: 38,655 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 684ms | tok/sec: 47,891 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 614ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 615ms | tok/sec: 53,305 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 749ms | tok/sec: 43,720 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.05 | dt: 640ms | tok/sec: 51,202 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.5%) | loss: 8.317300 | lrm: 0.09 | dt: 627ms | tok/sec: 52,276 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.313447 | lrm: 0.13 | dt: 773ms | tok/sec: 42,382 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 8.305486 | lrm: 0.19 | dt: 814ms | tok/sec: 40,262 | mfu: 0.1% | epoch: 1 | remaining: 296s    
