Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 3, 'n_kv_head': 3, 'n_embd': 384, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,572,864
  value_embeds            : 4,718,592
  lm_head                 : 1,572,864
  transformer_matrices    : 10,617,120
  scalars                 : 12
  total                   : 18,481,452
Estimated FLOPs per token: 1.297630e+08
Scaling AdamW LRs by 1/sqrt(384/768) = 1.414214
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.316599 | lrm: 0.00 | dt: 6092ms | tok/sec: 5,378 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.316663 | lrm: 0.00 | dt: 2718ms | tok/sec: 12,055 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.316752 | lrm: 0.00 | dt: 2395ms | tok/sec: 13,681 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.316768 | lrm: 0.00 | dt: 2419ms | tok/sec: 13,547 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.316804 | lrm: 0.00 | dt: 2351ms | tok/sec: 13,935 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.316820 | lrm: 0.00 | dt: 2372ms | tok/sec: 13,811 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.316815 | lrm: 0.00 | dt: 2394ms | tok/sec: 13,685 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.316785 | lrm: 0.00 | dt: 2324ms | tok/sec: 14,099 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.316762 | lrm: 0.00 | dt: 2486ms | tok/sec: 13,179 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.316783 | lrm: 0.00 | dt: 2755ms | tok/sec: 11,895 | mfu: 0.2% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7174 (overhead 1082ms)

step 00010 (0.0%) | loss: 8.316743 | lrm: 0.00 | dt: 2354ms | tok/sec: 13,921 | mfu: 0.2% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.316752 | lrm: 0.00 | dt: 2341ms | tok/sec: 14,000 | mfu: 0.2% | epoch: 1 | remaining: 298s    
step 00012 (0.8%) | loss: 8.316760 | lrm: 0.16 | dt: 2346ms | tok/sec: 13,966 | mfu: 0.2% | epoch: 1 | remaining: 295s    
step 00013 (1.6%) | loss: 8.311404 | lrm: 0.31 | dt: 2447ms | tok/sec: 13,392 | mfu: 0.2% | epoch: 1 | remaining: 293s    
step 00014 (2.4%) | loss: 8.293583 | lrm: 0.48 | dt: 2357ms | tok/sec: 13,905 | mfu: 0.2% | epoch: 1 | remaining: 291s    
step 00015 (3.2%) | loss: 8.238569 | lrm: 0.63 | dt: 2382ms | tok/sec: 13,758 | mfu: 0.2% | epoch: 1 | remaining: 288s    
step 00016 (4.0%) | loss: 8.105566 | lrm: 0.79 | dt: 2359ms | tok/sec: 13,892 | mfu: 0.2% | epoch: 1 | remaining: 286s    
step 00017 (4.7%) | loss: 7.942346 | lrm: 0.95 | dt: 2546ms | tok/sec: 12,871 | mfu: 0.2% | epoch: 1 | remaining: 283s    
step 00018 (5.6%) | loss: 7.767597 | lrm: 1.00 | dt: 2337ms | tok/sec: 14,020 | mfu: 0.2% | epoch: 1 | remaining: 281s    
step 00019 (6.4%) | loss: 7.619214 | lrm: 1.00 | dt: 2328ms | tok/sec: 14,077 | mfu: 0.2% | epoch: 1 | remaining: 279s    
[mini-eval] step    20 val_bpb=2.2163 (overhead 1044ms)

step 00020 (7.1%) | loss: 7.484130 | lrm: 1.00 | dt: 2397ms | tok/sec: 13,669 | mfu: 0.2% | epoch: 1 | remaining: 276s    
step 00021 (7.9%) | loss: 7.350190 | lrm: 1.00 | dt: 2372ms | tok/sec: 13,812 | mfu: 0.2% | epoch: 1 | remaining: 274s    
step 00022 (8.7%) | loss: 7.228974 | lrm: 1.00 | dt: 2324ms | tok/sec: 14,100 | mfu: 0.2% | epoch: 1 | remaining: 271s    
step 00023 (9.5%) | loss: 7.116746 | lrm: 1.00 | dt: 2367ms | tok/sec: 13,846 | mfu: 0.2% | epoch: 1 | remaining: 269s    
step 00024 (10.3%) | loss: 7.013557 | lrm: 1.00 | dt: 2338ms | tok/sec: 14,018 | mfu: 0.2% | epoch: 1 | remaining: 267s    
step 00025 (11.1%) | loss: 6.920765 | lrm: 1.00 | dt: 2441ms | tok/sec: 13,422 | mfu: 0.2% | epoch: 1 | remaining: 264s    
step 00026 (11.9%) | loss: 6.839048 | lrm: 1.00 | dt: 2281ms | tok/sec: 14,365 | mfu: 0.2% | epoch: 1 | remaining: 262s    
step 00027 (12.7%) | loss: 6.762912 | lrm: 1.00 | dt: 2294ms | tok/sec: 14,281 | mfu: 0.2% | epoch: 1 | remaining: 260s    
step 00028 (13.4%) | loss: 6.693266 | lrm: 1.00 | dt: 2286ms | tok/sec: 14,336 | mfu: 0.2% | epoch: 1 | remaining: 257s    
step 00029 (14.2%) | loss: 6.631777 | lrm: 1.00 | dt: 2295ms | tok/sec: 14,276 | mfu: 0.2% | epoch: 1 | remaining: 255s    
[mini-eval] step    30 val_bpb=2.0940 (overhead 1019ms)

step 00030 (14.9%) | loss: 6.575791 | lrm: 1.00 | dt: 2280ms | tok/sec: 14,370 | mfu: 0.2% | epoch: 1 | remaining: 253s    
step 00031 (15.7%) | loss: 6.523340 | lrm: 1.00 | dt: 2369ms | tok/sec: 13,833 | mfu: 0.2% | epoch: 1 | remaining: 251s    
step 00032 (16.5%) | loss: 6.475753 | lrm: 1.00 | dt: 2311ms | tok/sec: 14,179 | mfu: 0.2% | epoch: 1 | remaining: 248s    
