Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 6.291571e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 2867ms | tok/sec: 11,430 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 1871ms | tok/sec: 17,516 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1504ms | tok/sec: 21,784 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1501ms | tok/sec: 21,834 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1508ms | tok/sec: 21,728 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1534ms | tok/sec: 21,357 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1587ms | tok/sec: 20,647 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1512ms | tok/sec: 21,670 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1535ms | tok/sec: 21,350 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 1731ms | tok/sec: 18,932 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 677ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1509ms | tok/sec: 21,721 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1489ms | tok/sec: 22,002 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.5%) | loss: 8.318731 | lrm: 0.10 | dt: 1516ms | tok/sec: 21,608 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.0%) | loss: 8.315866 | lrm: 0.20 | dt: 1478ms | tok/sec: 22,163 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00014 (1.5%) | loss: 8.306757 | lrm: 0.30 | dt: 1524ms | tok/sec: 21,495 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00015 (2.0%) | loss: 8.280107 | lrm: 0.40 | dt: 1468ms | tok/sec: 22,315 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00016 (2.5%) | loss: 8.209081 | lrm: 0.50 | dt: 1484ms | tok/sec: 22,073 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00017 (3.0%) | loss: 8.085004 | lrm: 0.60 | dt: 1749ms | tok/sec: 18,738 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00018 (3.6%) | loss: 7.943725 | lrm: 0.71 | dt: 1507ms | tok/sec: 21,744 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00019 (4.1%) | loss: 7.802553 | lrm: 0.81 | dt: 1471ms | tok/sec: 22,278 | mfu: 0.1% | epoch: 1 | remaining: 286s    
[mini-eval] step    20 val_bpb=2.2149 (overhead 715ms)

step 00020 (4.6%) | loss: 7.661948 | lrm: 0.91 | dt: 1528ms | tok/sec: 21,445 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00021 (5.1%) | loss: 7.527840 | lrm: 1.00 | dt: 1498ms | tok/sec: 21,868 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00022 (5.6%) | loss: 7.409128 | lrm: 1.00 | dt: 1495ms | tok/sec: 21,925 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00023 (6.1%) | loss: 7.297796 | lrm: 1.00 | dt: 1485ms | tok/sec: 22,060 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00024 (6.6%) | loss: 7.189143 | lrm: 1.00 | dt: 1499ms | tok/sec: 21,854 | mfu: 0.1% | epoch: 1 | remaining: 279s    
