Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 6, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'S'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 3,145,728
  lm_head                 : 1,048,576
  transformer_matrices    : 4,718,784
  scalars                 : 12
  total                   : 9,961,676
Estimated FLOPs per token: 5.662426e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~65k tokens)

step 00000 (0.0%) | loss: 8.318531 | lrm: 0.00 | dt: 2815ms | tok/sec: 11,641 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318618 | lrm: 0.00 | dt: 1764ms | tok/sec: 18,577 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318730 | lrm: 0.00 | dt: 1462ms | tok/sec: 22,410 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1483ms | tok/sec: 22,093 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318751 | lrm: 0.00 | dt: 1455ms | tok/sec: 22,528 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318783 | lrm: 0.00 | dt: 1494ms | tok/sec: 21,936 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318774 | lrm: 0.00 | dt: 1469ms | tok/sec: 22,311 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1489ms | tok/sec: 22,000 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1463ms | tok/sec: 22,397 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318752 | lrm: 0.00 | dt: 1722ms | tok/sec: 19,030 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7177 (overhead 698ms)

step 00010 (0.0%) | loss: 8.318715 | lrm: 0.00 | dt: 1510ms | tok/sec: 21,706 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318720 | lrm: 0.00 | dt: 1491ms | tok/sec: 21,980 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.5%) | loss: 8.318731 | lrm: 0.10 | dt: 1518ms | tok/sec: 21,587 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00013 (1.0%) | loss: 8.315861 | lrm: 0.20 | dt: 1522ms | tok/sec: 21,530 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00014 (1.5%) | loss: 8.306742 | lrm: 0.30 | dt: 1480ms | tok/sec: 22,143 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00015 (2.0%) | loss: 8.279968 | lrm: 0.40 | dt: 1487ms | tok/sec: 22,042 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00016 (2.5%) | loss: 8.208639 | lrm: 0.50 | dt: 1474ms | tok/sec: 22,227 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00017 (3.0%) | loss: 8.084308 | lrm: 0.60 | dt: 1756ms | tok/sec: 18,661 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00018 (3.6%) | loss: 7.942819 | lrm: 0.72 | dt: 1540ms | tok/sec: 21,278 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00019 (4.1%) | loss: 7.801573 | lrm: 0.82 | dt: 1539ms | tok/sec: 21,297 | mfu: 0.1% | epoch: 1 | remaining: 286s    
[mini-eval] step    20 val_bpb=2.2140 (overhead 689ms)

step 00020 (4.6%) | loss: 7.660767 | lrm: 0.92 | dt: 1484ms | tok/sec: 22,079 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00021 (5.1%) | loss: 7.526489 | lrm: 1.00 | dt: 1510ms | tok/sec: 21,700 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00022 (5.6%) | loss: 7.407988 | lrm: 1.00 | dt: 1484ms | tok/sec: 22,085 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00023 (6.1%) | loss: 7.296699 | lrm: 1.00 | dt: 1471ms | tok/sec: 22,269 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00024 (6.6%) | loss: 7.188095 | lrm: 1.00 | dt: 1489ms | tok/sec: 22,006 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00025 (7.1%) | loss: 7.086146 | lrm: 1.00 | dt: 1790ms | tok/sec: 18,308 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00026 (7.7%) | loss: 6.992923 | lrm: 1.00 | dt: 1496ms | tok/sec: 21,897 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00027 (8.2%) | loss: 6.905337 | lrm: 1.00 | dt: 1472ms | tok/sec: 22,256 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00028 (8.7%) | loss: 6.824979 | lrm: 1.00 | dt: 1485ms | tok/sec: 22,071 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00029 (9.2%) | loss: 6.753044 | lrm: 1.00 | dt: 1478ms | tok/sec: 22,163 | mfu: 0.1% | epoch: 1 | remaining: 271s    
[mini-eval] step    30 val_bpb=2.1091 (overhead 652ms)

