Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 1647ms | tok/sec: 19,893 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 657ms | tok/sec: 49,876 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 607ms | tok/sec: 54,024 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 606ms | tok/sec: 54,047 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 604ms | tok/sec: 54,261 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 606ms | tok/sec: 54,074 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 622ms | tok/sec: 52,673 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 695ms | tok/sec: 47,169 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 805ms | tok/sec: 40,728 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 652ms | tok/sec: 50,253 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 679ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 707ms | tok/sec: 46,323 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 641ms | tok/sec: 51,081 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.04 | dt: 663ms | tok/sec: 49,425 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 8.317506 | lrm: 0.09 | dt: 656ms | tok/sec: 49,917 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.7%) | loss: 8.314001 | lrm: 0.13 | dt: 615ms | tok/sec: 53,312 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.9%) | loss: 8.306611 | lrm: 0.17 | dt: 611ms | tok/sec: 53,667 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 8.291634 | lrm: 0.21 | dt: 787ms | tok/sec: 41,618 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 8.262064 | lrm: 0.26 | dt: 612ms | tok/sec: 53,539 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 8.206133 | lrm: 0.31 | dt: 605ms | tok/sec: 54,159 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 8.116177 | lrm: 0.35 | dt: 605ms | tok/sec: 54,118 | mfu: 0.1% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3398 (overhead 606ms)

step 00020 (1.9%) | loss: 7.996737 | lrm: 0.39 | dt: 606ms | tok/sec: 54,086 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 7.865763 | lrm: 0.43 | dt: 604ms | tok/sec: 54,255 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 7.740366 | lrm: 0.47 | dt: 607ms | tok/sec: 53,967 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00023 (2.5%) | loss: 7.621050 | lrm: 0.51 | dt: 614ms | tok/sec: 53,396 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 7.498726 | lrm: 0.55 | dt: 794ms | tok/sec: 41,293 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 7.393431 | lrm: 0.60 | dt: 610ms | tok/sec: 53,701 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 7.286597 | lrm: 0.64 | dt: 605ms | tok/sec: 54,127 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00027 (3.4%) | loss: 7.184540 | lrm: 0.68 | dt: 605ms | tok/sec: 54,136 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00028 (3.6%) | loss: 7.086534 | lrm: 0.72 | dt: 628ms | tok/sec: 52,144 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00029 (3.8%) | loss: 6.993741 | lrm: 0.76 | dt: 608ms | tok/sec: 53,913 | mfu: 0.1% | epoch: 1 | remaining: 288s    
[mini-eval] step    30 val_bpb=2.1182 (overhead 613ms)

step 00030 (4.0%) | loss: 6.908846 | lrm: 0.81 | dt: 630ms | tok/sec: 52,021 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00031 (4.2%) | loss: 6.829619 | lrm: 0.85 | dt: 697ms | tok/sec: 47,032 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00032 (4.5%) | loss: 6.757299 | lrm: 0.89 | dt: 797ms | tok/sec: 41,093 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 6.691476 | lrm: 0.95 | dt: 615ms | tok/sec: 53,309 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00034 (4.9%) | loss: 6.633013 | lrm: 0.99 | dt: 607ms | tok/sec: 53,998 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00035 (5.1%) | loss: 6.577261 | lrm: 1.00 | dt: 605ms | tok/sec: 54,142 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00036 (5.3%) | loss: 6.526754 | lrm: 1.00 | dt: 605ms | tok/sec: 54,180 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00037 (5.5%) | loss: 6.480161 | lrm: 1.00 | dt: 616ms | tok/sec: 53,173 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00038 (5.7%) | loss: 6.438519 | lrm: 1.00 | dt: 621ms | tok/sec: 52,736 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00039 (6.0%) | loss: 6.399921 | lrm: 1.00 | dt: 760ms | tok/sec: 43,120 | mfu: 0.1% | epoch: 1 | remaining: 281s    
[mini-eval] step    40 val_bpb=2.0829 (overhead 621ms)

step 00040 (6.2%) | loss: 6.365923 | lrm: 1.00 | dt: 820ms | tok/sec: 39,938 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00041 (6.5%) | loss: 6.335810 | lrm: 1.00 | dt: 623ms | tok/sec: 52,591 | mfu: 0.1% | epoch: 1 | remaining: 280s    
