Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 2385ms | tok/sec: 13,740 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 669ms | tok/sec: 49,017 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 613ms | tok/sec: 53,462 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 612ms | tok/sec: 53,514 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 622ms | tok/sec: 52,709 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 619ms | tok/sec: 52,979 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 618ms | tok/sec: 53,040 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 638ms | tok/sec: 51,328 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 997ms | tok/sec: 32,867 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 713ms | tok/sec: 45,955 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 681ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 744ms | tok/sec: 44,018 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 642ms | tok/sec: 51,044 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.04 | dt: 677ms | tok/sec: 48,384 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 8.317505 | lrm: 0.09 | dt: 620ms | tok/sec: 52,890 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 8.313970 | lrm: 0.13 | dt: 611ms | tok/sec: 53,665 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.8%) | loss: 8.306591 | lrm: 0.17 | dt: 614ms | tok/sec: 53,398 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 8.291724 | lrm: 0.21 | dt: 804ms | tok/sec: 40,768 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 8.262418 | lrm: 0.26 | dt: 622ms | tok/sec: 52,646 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 8.206790 | lrm: 0.31 | dt: 626ms | tok/sec: 52,374 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 8.117010 | lrm: 0.35 | dt: 632ms | tok/sec: 51,852 | mfu: 0.1% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3399 (overhead 687ms)

step 00020 (1.9%) | loss: 7.997561 | lrm: 0.39 | dt: 743ms | tok/sec: 44,097 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00021 (2.2%) | loss: 7.866422 | lrm: 0.44 | dt: 714ms | tok/sec: 45,888 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00022 (2.4%) | loss: 7.740947 | lrm: 0.49 | dt: 611ms | tok/sec: 53,594 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00023 (2.6%) | loss: 7.620900 | lrm: 0.53 | dt: 635ms | tok/sec: 51,599 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00024 (2.9%) | loss: 7.497656 | lrm: 0.57 | dt: 809ms | tok/sec: 40,523 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00025 (3.1%) | loss: 7.389870 | lrm: 0.62 | dt: 626ms | tok/sec: 52,357 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00026 (3.3%) | loss: 7.283326 | lrm: 0.67 | dt: 619ms | tok/sec: 52,913 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00027 (3.5%) | loss: 7.181334 | lrm: 0.71 | dt: 616ms | tok/sec: 53,163 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00028 (3.7%) | loss: 7.083335 | lrm: 0.75 | dt: 617ms | tok/sec: 53,076 | mfu: 0.1% | epoch: 1 | remaining: 288s    
step 00029 (3.9%) | loss: 6.990670 | lrm: 0.79 | dt: 751ms | tok/sec: 43,613 | mfu: 0.1% | epoch: 1 | remaining: 287s    
[mini-eval] step    30 val_bpb=2.1175 (overhead 620ms)

step 00030 (4.2%) | loss: 6.905792 | lrm: 0.84 | dt: 619ms | tok/sec: 52,894 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00031 (4.4%) | loss: 6.826779 | lrm: 0.88 | dt: 611ms | tok/sec: 53,671 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00032 (4.6%) | loss: 6.754612 | lrm: 0.92 | dt: 787ms | tok/sec: 41,657 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00033 (4.9%) | loss: 6.688909 | lrm: 0.97 | dt: 621ms | tok/sec: 52,744 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00034 (5.1%) | loss: 6.630478 | lrm: 1.00 | dt: 607ms | tok/sec: 53,999 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00035 (5.3%) | loss: 6.574820 | lrm: 1.00 | dt: 609ms | tok/sec: 53,832 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00036 (5.5%) | loss: 6.524523 | lrm: 1.00 | dt: 623ms | tok/sec: 52,578 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00037 (5.7%) | loss: 6.478073 | lrm: 1.00 | dt: 625ms | tok/sec: 52,444 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00038 (5.9%) | loss: 6.436495 | lrm: 1.00 | dt: 629ms | tok/sec: 52,078 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00039 (6.1%) | loss: 6.397984 | lrm: 1.00 | dt: 623ms | tok/sec: 52,597 | mfu: 0.1% | epoch: 1 | remaining: 281s    
[mini-eval] step    40 val_bpb=2.0827 (overhead 687ms)

step 00040 (6.3%) | loss: 6.364059 | lrm: 1.00 | dt: 987ms | tok/sec: 33,197 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00041 (6.6%) | loss: 6.334038 | lrm: 1.00 | dt: 652ms | tok/sec: 50,292 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00042 (6.9%) | loss: 6.307541 | lrm: 1.00 | dt: 630ms | tok/sec: 52,002 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00043 (7.1%) | loss: 6.281339 | lrm: 1.00 | dt: 618ms | tok/sec: 52,982 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00044 (7.3%) | loss: 6.256840 | lrm: 1.00 | dt: 611ms | tok/sec: 53,619 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00045 (7.5%) | loss: 6.231721 | lrm: 1.00 | dt: 628ms | tok/sec: 52,188 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00046 (7.7%) | loss: 6.207585 | lrm: 1.00 | dt: 638ms | tok/sec: 51,351 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00047 (7.9%) | loss: 6.188314 | lrm: 1.00 | dt: 631ms | tok/sec: 51,912 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00048 (8.1%) | loss: 6.171402 | lrm: 1.00 | dt: 832ms | tok/sec: 39,384 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00049 (8.4%) | loss: 6.150790 | lrm: 1.00 | dt: 623ms | tok/sec: 52,580 | mfu: 0.1% | epoch: 1 | remaining: 274s    
[mini-eval] step    50 val_bpb=2.0594 (overhead 628ms)

step 00050 (8.6%) | loss: 6.132914 | lrm: 1.00 | dt: 627ms | tok/sec: 52,288 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00051 (8.8%) | loss: 6.115015 | lrm: 1.00 | dt: 628ms | tok/sec: 52,148 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00052 (9.0%) | loss: 6.097242 | lrm: 1.00 | dt: 631ms | tok/sec: 51,938 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00053 (9.2%) | loss: 6.078838 | lrm: 1.00 | dt: 632ms | tok/sec: 51,829 | mfu: 0.1% | epoch: 1 | remaining: 272s    
step 00054 (9.4%) | loss: 6.062049 | lrm: 1.00 | dt: 642ms | tok/sec: 51,045 | mfu: 0.1% | epoch: 1 | remaining: 271s    
step 00055 (9.7%) | loss: 6.050319 | lrm: 1.00 | dt: 787ms | tok/sec: 41,618 | mfu: 0.1% | epoch: 1 | remaining: 270s    
step 00056 (9.9%) | loss: 6.039879 | lrm: 1.00 | dt: 877ms | tok/sec: 37,375 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00057 (10.2%) | loss: 6.027585 | lrm: 1.00 | dt: 622ms | tok/sec: 52,649 | mfu: 0.1% | epoch: 1 | remaining: 269s    
step 00058 (10.4%) | loss: 6.015996 | lrm: 1.00 | dt: 620ms | tok/sec: 52,847 | mfu: 0.1% | epoch: 1 | remaining: 268s    
step 00059 (10.6%) | loss: 6.006253 | lrm: 1.00 | dt: 619ms | tok/sec: 52,920 | mfu: 0.1% | epoch: 1 | remaining: 268s    
[mini-eval] step    60 val_bpb=2.0439 (overhead 619ms)

step 00060 (10.8%) | loss: 5.995089 | lrm: 1.00 | dt: 629ms | tok/sec: 52,093 | mfu: 0.1% | epoch: 1 | remaining: 267s    
step 00061 (11.0%) | loss: 5.983079 | lrm: 1.00 | dt: 622ms | tok/sec: 52,643 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00062 (11.2%) | loss: 5.971649 | lrm: 1.00 | dt: 623ms | tok/sec: 52,624 | mfu: 0.1% | epoch: 1 | remaining: 266s    
step 00063 (11.5%) | loss: 5.961360 | lrm: 1.00 | dt: 623ms | tok/sec: 52,585 | mfu: 0.1% | epoch: 1 | remaining: 265s    
step 00064 (11.7%) | loss: 5.953356 | lrm: 1.00 | dt: 808ms | tok/sec: 40,554 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00065 (11.9%) | loss: 5.945466 | lrm: 1.00 | dt: 622ms | tok/sec: 52,653 | mfu: 0.1% | epoch: 1 | remaining: 264s    
step 00066 (12.1%) | loss: 5.937454 | lrm: 1.00 | dt: 617ms | tok/sec: 53,148 | mfu: 0.1% | epoch: 1 | remaining: 263s    
step 00067 (12.3%) | loss: 5.927704 | lrm: 1.00 | dt: 615ms | tok/sec: 53,239 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00068 (12.5%) | loss: 5.917931 | lrm: 1.00 | dt: 617ms | tok/sec: 53,116 | mfu: 0.1% | epoch: 1 | remaining: 262s    
step 00069 (12.8%) | loss: 5.907938 | lrm: 1.00 | dt: 634ms | tok/sec: 51,655 | mfu: 0.1% | epoch: 1 | remaining: 261s    
[mini-eval] step    70 val_bpb=2.0236 (overhead 624ms)

step 00070 (13.0%) | loss: 5.896318 | lrm: 1.00 | dt: 626ms | tok/sec: 52,338 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00071 (13.2%) | loss: 5.885023 | lrm: 1.00 | dt: 625ms | tok/sec: 52,446 | mfu: 0.1% | epoch: 1 | remaining: 260s    
step 00072 (13.4%) | loss: 5.876656 | lrm: 1.00 | dt: 818ms | tok/sec: 40,034 | mfu: 0.1% | epoch: 1 | remaining: 259s    
step 00073 (13.7%) | loss: 5.872883 | lrm: 1.00 | dt: 655ms | tok/sec: 50,016 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00074 (13.9%) | loss: 5.867202 | lrm: 1.00 | dt: 740ms | tok/sec: 44,297 | mfu: 0.1% | epoch: 1 | remaining: 258s    
step 00075 (14.1%) | loss: 5.860720 | lrm: 1.00 | dt: 623ms | tok/sec: 52,622 | mfu: 0.1% | epoch: 1 | remaining: 257s    
step 00076 (14.3%) | loss: 5.853168 | lrm: 1.00 | dt: 639ms | tok/sec: 51,299 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00077 (14.5%) | loss: 5.845688 | lrm: 1.00 | dt: 650ms | tok/sec: 50,393 | mfu: 0.1% | epoch: 1 | remaining: 256s    
step 00078 (14.8%) | loss: 5.838277 | lrm: 1.00 | dt: 655ms | tok/sec: 50,063 | mfu: 0.1% | epoch: 1 | remaining: 255s    
step 00079 (15.0%) | loss: 5.831123 | lrm: 1.00 | dt: 629ms | tok/sec: 52,104 | mfu: 0.1% | epoch: 1 | remaining: 254s    
[mini-eval] step    80 val_bpb=2.0117 (overhead 624ms)

step 00080 (15.2%) | loss: 5.826064 | lrm: 1.00 | dt: 949ms | tok/sec: 34,527 | mfu: 0.1% | epoch: 1 | remaining: 254s    
step 00081 (15.5%) | loss: 5.821254 | lrm: 1.00 | dt: 648ms | tok/sec: 50,604 | mfu: 0.1% | epoch: 1 | remaining: 253s    
step 00082 (15.7%) | loss: 5.814891 | lrm: 1.00 | dt: 745ms | tok/sec: 43,998 | mfu: 0.1% | epoch: 1 | remaining: 252s    
step 00083 (16.0%) | loss: 5.809100 | lrm: 1.00 | dt: 660ms | tok/sec: 49,621 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00084 (16.2%) | loss: 5.801932 | lrm: 1.00 | dt: 637ms | tok/sec: 51,453 | mfu: 0.1% | epoch: 1 | remaining: 251s    
step 00085 (16.4%) | loss: 5.797068 | lrm: 1.00 | dt: 749ms | tok/sec: 43,762 | mfu: 0.1% | epoch: 1 | remaining: 250s    
step 00086 (16.6%) | loss: 5.789998 | lrm: 1.00 | dt: 653ms | tok/sec: 50,180 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00087 (16.9%) | loss: 5.785054 | lrm: 1.00 | dt: 742ms | tok/sec: 44,190 | mfu: 0.1% | epoch: 1 | remaining: 249s    
step 00088 (17.1%) | loss: 5.779970 | lrm: 1.00 | dt: 940ms | tok/sec: 34,869 | mfu: 0.1% | epoch: 1 | remaining: 248s    
step 00089 (17.4%) | loss: 5.773934 | lrm: 1.00 | dt: 794ms | tok/sec: 41,256 | mfu: 0.1% | epoch: 1 | remaining: 247s    
[mini-eval] step    90 val_bpb=2.0037 (overhead 640ms)

step 00090 (17.7%) | loss: 5.768817 | lrm: 1.00 | dt: 665ms | tok/sec: 49,301 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00091 (17.9%) | loss: 5.765293 | lrm: 1.00 | dt: 684ms | tok/sec: 47,879 | mfu: 0.1% | epoch: 1 | remaining: 246s    
step 00092 (18.1%) | loss: 5.762893 | lrm: 1.00 | dt: 644ms | tok/sec: 50,896 | mfu: 0.1% | epoch: 1 | remaining: 245s    
step 00093 (18.4%) | loss: 5.758544 | lrm: 1.00 | dt: 650ms | tok/sec: 50,378 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00094 (18.6%) | loss: 5.754929 | lrm: 1.00 | dt: 644ms | tok/sec: 50,906 | mfu: 0.1% | epoch: 1 | remaining: 244s    
step 00095 (18.8%) | loss: 5.752097 | lrm: 1.00 | dt: 659ms | tok/sec: 49,738 | mfu: 0.1% | epoch: 1 | remaining: 243s    
step 00096 (19.0%) | loss: 5.749119 | lrm: 1.00 | dt: 845ms | tok/sec: 38,758 | mfu: 0.1% | epoch: 1 | remaining: 242s    
step 00097 (19.3%) | loss: 5.746181 | lrm: 1.00 | dt: 704ms | tok/sec: 46,514 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00098 (19.5%) | loss: 5.743921 | lrm: 1.00 | dt: 650ms | tok/sec: 50,423 | mfu: 0.1% | epoch: 1 | remaining: 241s    
step 00099 (19.7%) | loss: 5.742299 | lrm: 1.00 | dt: 649ms | tok/sec: 50,484 | mfu: 0.1% | epoch: 1 | remaining: 240s    
[mini-eval] step   100 val_bpb=1.9998 (overhead 726ms)

step 00100 (20.0%) | loss: 5.739803 | lrm: 1.00 | dt: 1133ms | tok/sec: 28,912 | mfu: 0.1% | epoch: 1 | remaining: 239s    
step 00101 (20.3%) | loss: 5.735473 | lrm: 1.00 | dt: 691ms | tok/sec: 47,428 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00102 (20.6%) | loss: 5.732990 | lrm: 1.00 | dt: 637ms | tok/sec: 51,468 | mfu: 0.1% | epoch: 1 | remaining: 238s    
step 00103 (20.8%) | loss: 5.730515 | lrm: 1.00 | dt: 639ms | tok/sec: 51,302 | mfu: 0.1% | epoch: 1 | remaining: 237s    
step 00104 (21.0%) | loss: 5.727735 | lrm: 1.00 | dt: 861ms | tok/sec: 38,041 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00105 (21.3%) | loss: 5.725784 | lrm: 1.00 | dt: 637ms | tok/sec: 51,453 | mfu: 0.1% | epoch: 1 | remaining: 236s    
step 00106 (21.5%) | loss: 5.724827 | lrm: 1.00 | dt: 717ms | tok/sec: 45,726 | mfu: 0.1% | epoch: 1 | remaining: 235s    
step 00107 (21.7%) | loss: 5.722275 | lrm: 1.00 | dt: 649ms | tok/sec: 50,454 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00108 (21.9%) | loss: 5.722137 | lrm: 1.00 | dt: 626ms | tok/sec: 52,369 | mfu: 0.1% | epoch: 1 | remaining: 234s    
step 00109 (22.1%) | loss: 5.719372 | lrm: 1.00 | dt: 641ms | tok/sec: 51,107 | mfu: 0.1% | epoch: 1 | remaining: 233s    
[mini-eval] step   110 val_bpb=1.9973 (overhead 630ms)

step 00110 (22.4%) | loss: 5.716548 | lrm: 1.00 | dt: 633ms | tok/sec: 51,753 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00111 (22.6%) | loss: 5.715689 | lrm: 1.00 | dt: 628ms | tok/sec: 52,200 | mfu: 0.1% | epoch: 1 | remaining: 232s    
step 00112 (22.8%) | loss: 5.713323 | lrm: 1.00 | dt: 827ms | tok/sec: 39,600 | mfu: 0.1% | epoch: 1 | remaining: 231s    
step 00113 (23.1%) | loss: 5.713519 | lrm: 1.00 | dt: 626ms | tok/sec: 52,386 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00114 (23.3%) | loss: 5.712508 | lrm: 1.00 | dt: 632ms | tok/sec: 51,849 | mfu: 0.1% | epoch: 1 | remaining: 230s    
step 00115 (23.5%) | loss: 5.711737 | lrm: 1.00 | dt: 623ms | tok/sec: 52,581 | mfu: 0.1% | epoch: 1 | remaining: 229s    
step 00116 (23.7%) | loss: 5.709888 | lrm: 1.00 | dt: 630ms | tok/sec: 51,989 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00117 (23.9%) | loss: 5.707846 | lrm: 1.00 | dt: 620ms | tok/sec: 52,883 | mfu: 0.1% | epoch: 1 | remaining: 228s    
step 00118 (24.1%) | loss: 5.704683 | lrm: 1.00 | dt: 631ms | tok/sec: 51,935 | mfu: 0.1% | epoch: 1 | remaining: 227s    
step 00119 (24.3%) | loss: 5.702275 | lrm: 1.00 | dt: 732ms | tok/sec: 44,781 | mfu: 0.1% | epoch: 1 | remaining: 226s    
[mini-eval] step   120 val_bpb=1.9883 (overhead 622ms)

step 00120 (24.6%) | loss: 5.700019 | lrm: 1.00 | dt: 817ms | tok/sec: 40,103 | mfu: 0.1% | epoch: 1 | remaining: 226s    
step 00121 (24.8%) | loss: 5.698379 | lrm: 1.00 | dt: 774ms | tok/sec: 42,323 | mfu: 0.1% | epoch: 1 | remaining: 225s    
step 00122 (25.1%) | loss: 5.697550 | lrm: 1.00 | dt: 642ms | tok/sec: 51,031 | mfu: 0.1% | epoch: 1 | remaining: 224s    
step 00123 (25.3%) | loss: 5.697649 | lrm: 1.00 | dt: 633ms | tok/sec: 51,781 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00124 (25.5%) | loss: 5.695518 | lrm: 1.00 | dt: 628ms | tok/sec: 52,199 | mfu: 0.1% | epoch: 1 | remaining: 223s    
step 00125 (25.7%) | loss: 5.694834 | lrm: 1.00 | dt: 625ms | tok/sec: 52,411 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00126 (25.9%) | loss: 5.692105 | lrm: 1.00 | dt: 631ms | tok/sec: 51,941 | mfu: 0.1% | epoch: 1 | remaining: 222s    
step 00127 (26.1%) | loss: 5.689094 | lrm: 1.00 | dt: 640ms | tok/sec: 51,189 | mfu: 0.1% | epoch: 1 | remaining: 221s    
step 00128 (26.4%) | loss: 5.687681 | lrm: 1.00 | dt: 819ms | tok/sec: 40,003 | mfu: 0.1% | epoch: 1 | remaining: 220s    
step 00129 (26.6%) | loss: 5.687079 | lrm: 1.00 | dt: 695ms | tok/sec: 47,146 | mfu: 0.1% | epoch: 1 | remaining: 219s    
[mini-eval] step   130 val_bpb=1.9822 (overhead 619ms)

step 00130 (26.9%) | loss: 5.685951 | lrm: 1.00 | dt: 621ms | tok/sec: 52,803 | mfu: 0.1% | epoch: 1 | remaining: 219s    
step 00131 (27.1%) | loss: 5.684963 | lrm: 1.00 | dt: 627ms | tok/sec: 52,232 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00132 (27.3%) | loss: 5.682743 | lrm: 1.00 | dt: 622ms | tok/sec: 52,681 | mfu: 0.1% | epoch: 1 | remaining: 218s    
step 00133 (27.5%) | loss: 5.681690 | lrm: 1.00 | dt: 636ms | tok/sec: 51,541 | mfu: 0.1% | epoch: 1 | remaining: 217s    
step 00134 (27.7%) | loss: 5.679947 | lrm: 1.00 | dt: 624ms | tok/sec: 52,477 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00135 (27.9%) | loss: 5.678689 | lrm: 1.00 | dt: 695ms | tok/sec: 47,114 | mfu: 0.1% | epoch: 1 | remaining: 216s    
step 00136 (28.1%) | loss: 5.675164 | lrm: 1.00 | dt: 945ms | tok/sec: 34,659 | mfu: 0.1% | epoch: 1 | remaining: 215s    
step 00137 (28.4%) | loss: 5.673885 | lrm: 1.00 | dt: 630ms | tok/sec: 52,026 | mfu: 0.1% | epoch: 1 | remaining: 214s    
step 00138 (28.7%) | loss: 5.672249 | lrm: 1.00 | dt: 641ms | tok/sec: 51,143 | mfu: 0.1% | epoch: 1 | remaining: 213s    
step 00139 (28.9%) | loss: 5.669460 | lrm: 1.00 | dt: 669ms | tok/sec: 48,957 | mfu: 0.1% | epoch: 1 | remaining: 213s    
[mini-eval] step   140 val_bpb=1.9790 (overhead 837ms)

