Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 2
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318764 | lrm: 0.00 | dt: 2780ms | tok/sec: 23,577 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 1312ms | tok/sec: 49,962 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318814 | lrm: 0.00 | dt: 1306ms | tok/sec: 50,182 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318813 | lrm: 0.00 | dt: 1287ms | tok/sec: 50,911 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318786 | lrm: 0.00 | dt: 1421ms | tok/sec: 46,129 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318794 | lrm: 0.00 | dt: 1221ms | tok/sec: 53,688 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318755 | lrm: 0.00 | dt: 1210ms | tok/sec: 54,146 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 1253ms | tok/sec: 52,294 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318737 | lrm: 0.00 | dt: 1415ms | tok/sec: 46,299 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 1208ms | tok/sec: 54,239 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 691ms)

