Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'SSL'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 1,572,928
  scalars                 : 4
  total                   : 4,718,660
Estimated FLOPs per token: 2.516621e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1
Mini-eval: every 10 steps on 4 fixed val batches (~131k tokens)

step 00000 (0.0%) | loss: 8.318605 | lrm: 0.00 | dt: 1670ms | tok/sec: 19,626 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.318689 | lrm: 0.00 | dt: 652ms | tok/sec: 50,278 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.318759 | lrm: 0.00 | dt: 605ms | tok/sec: 54,142 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.318758 | lrm: 0.00 | dt: 605ms | tok/sec: 54,153 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.318740 | lrm: 0.00 | dt: 607ms | tok/sec: 54,027 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 8.318776 | lrm: 0.00 | dt: 714ms | tok/sec: 45,905 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 8.318761 | lrm: 0.00 | dt: 606ms | tok/sec: 54,042 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 8.318769 | lrm: 0.00 | dt: 605ms | tok/sec: 54,145 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 8.318754 | lrm: 0.00 | dt: 795ms | tok/sec: 41,230 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 8.318746 | lrm: 0.00 | dt: 612ms | tok/sec: 53,540 | mfu: 0.1% | epoch: 1 | remaining: 300s    
[mini-eval] step    10 val_bpb=2.7175 (overhead 616ms)

step 00010 (0.0%) | loss: 8.318727 | lrm: 0.00 | dt: 622ms | tok/sec: 52,683 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 8.318741 | lrm: 0.00 | dt: 631ms | tok/sec: 51,928 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.2%) | loss: 8.318742 | lrm: 0.04 | dt: 658ms | tok/sec: 49,799 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00013 (0.4%) | loss: 8.317524 | lrm: 0.09 | dt: 626ms | tok/sec: 52,352 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00014 (0.6%) | loss: 8.314066 | lrm: 0.13 | dt: 619ms | tok/sec: 52,906 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00015 (0.8%) | loss: 8.306840 | lrm: 0.17 | dt: 621ms | tok/sec: 52,803 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00016 (1.1%) | loss: 8.292275 | lrm: 0.21 | dt: 817ms | tok/sec: 40,122 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00017 (1.3%) | loss: 8.263446 | lrm: 0.26 | dt: 619ms | tok/sec: 52,948 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00018 (1.5%) | loss: 8.208323 | lrm: 0.31 | dt: 605ms | tok/sec: 54,127 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00019 (1.7%) | loss: 8.119086 | lrm: 0.35 | dt: 611ms | tok/sec: 53,613 | mfu: 0.1% | epoch: 1 | remaining: 294s    
[mini-eval] step    20 val_bpb=2.3415 (overhead 605ms)

step 00020 (1.9%) | loss: 7.999975 | lrm: 0.39 | dt: 607ms | tok/sec: 53,944 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00021 (2.1%) | loss: 7.868928 | lrm: 0.43 | dt: 605ms | tok/sec: 54,157 | mfu: 0.1% | epoch: 1 | remaining: 293s    
step 00022 (2.3%) | loss: 7.743344 | lrm: 0.47 | dt: 604ms | tok/sec: 54,279 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00023 (2.5%) | loss: 7.623893 | lrm: 0.51 | dt: 606ms | tok/sec: 54,109 | mfu: 0.1% | epoch: 1 | remaining: 292s    
step 00024 (2.7%) | loss: 7.501515 | lrm: 0.55 | dt: 792ms | tok/sec: 41,398 | mfu: 0.1% | epoch: 1 | remaining: 291s    
step 00025 (3.0%) | loss: 7.395878 | lrm: 0.60 | dt: 616ms | tok/sec: 53,186 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00026 (3.2%) | loss: 7.288922 | lrm: 0.64 | dt: 604ms | tok/sec: 54,247 | mfu: 0.1% | epoch: 1 | remaining: 290s    
step 00027 (3.4%) | loss: 7.186656 | lrm: 0.68 | dt: 605ms | tok/sec: 54,199 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00028 (3.6%) | loss: 7.088519 | lrm: 0.72 | dt: 607ms | tok/sec: 53,958 | mfu: 0.1% | epoch: 1 | remaining: 289s    
step 00029 (3.8%) | loss: 6.995581 | lrm: 0.76 | dt: 604ms | tok/sec: 54,281 | mfu: 0.1% | epoch: 1 | remaining: 288s    
[mini-eval] step    30 val_bpb=2.1179 (overhead 685ms)

step 00030 (4.0%) | loss: 6.910407 | lrm: 0.80 | dt: 715ms | tok/sec: 45,834 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00031 (4.3%) | loss: 6.831020 | lrm: 0.85 | dt: 630ms | tok/sec: 52,009 | mfu: 0.1% | epoch: 1 | remaining: 287s    
step 00032 (4.5%) | loss: 6.758605 | lrm: 0.89 | dt: 807ms | tok/sec: 40,606 | mfu: 0.1% | epoch: 1 | remaining: 286s    
step 00033 (4.7%) | loss: 6.692720 | lrm: 0.95 | dt: 629ms | tok/sec: 52,096 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00034 (4.9%) | loss: 6.634145 | lrm: 0.99 | dt: 622ms | tok/sec: 52,668 | mfu: 0.1% | epoch: 1 | remaining: 285s    
step 00035 (5.2%) | loss: 6.578250 | lrm: 1.00 | dt: 620ms | tok/sec: 52,879 | mfu: 0.1% | epoch: 1 | remaining: 284s    
step 00036 (5.4%) | loss: 6.527731 | lrm: 1.00 | dt: 621ms | tok/sec: 52,807 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00037 (5.6%) | loss: 6.481108 | lrm: 1.00 | dt: 623ms | tok/sec: 52,582 | mfu: 0.1% | epoch: 1 | remaining: 283s    
step 00038 (5.8%) | loss: 6.439399 | lrm: 1.00 | dt: 620ms | tok/sec: 52,818 | mfu: 0.1% | epoch: 1 | remaining: 282s    
step 00039 (6.0%) | loss: 6.400732 | lrm: 1.00 | dt: 629ms | tok/sec: 52,113 | mfu: 0.1% | epoch: 1 | remaining: 281s    
[mini-eval] step    40 val_bpb=2.0831 (overhead 617ms)

step 00040 (6.2%) | loss: 6.366669 | lrm: 1.00 | dt: 804ms | tok/sec: 40,767 | mfu: 0.1% | epoch: 1 | remaining: 281s    
step 00041 (6.5%) | loss: 6.336507 | lrm: 1.00 | dt: 621ms | tok/sec: 52,750 | mfu: 0.1% | epoch: 1 | remaining: 280s    
step 00042 (6.7%) | loss: 6.309906 | lrm: 1.00 | dt: 619ms | tok/sec: 52,903 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00043 (6.9%) | loss: 6.283660 | lrm: 1.00 | dt: 618ms | tok/sec: 52,985 | mfu: 0.1% | epoch: 1 | remaining: 279s    
step 00044 (7.1%) | loss: 6.259263 | lrm: 1.00 | dt: 623ms | tok/sec: 52,567 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00045 (7.3%) | loss: 6.234570 | lrm: 1.00 | dt: 622ms | tok/sec: 52,660 | mfu: 0.1% | epoch: 1 | remaining: 278s    
step 00046 (7.5%) | loss: 6.211356 | lrm: 1.00 | dt: 638ms | tok/sec: 51,366 | mfu: 0.1% | epoch: 1 | remaining: 277s    
step 00047 (7.7%) | loss: 6.191515 | lrm: 1.00 | dt: 656ms | tok/sec: 49,919 | mfu: 0.1% | epoch: 1 | remaining: 276s    
step 00048 (7.9%) | loss: 6.176324 | lrm: 1.00 | dt: 875ms | tok/sec: 37,427 | mfu: 0.1% | epoch: 1 | remaining: 275s    
step 00049 (8.2%) | loss: 6.159588 | lrm: 1.00 | dt: 624ms | tok/sec: 52,501 | mfu: 0.1% | epoch: 1 | remaining: 275s    
[mini-eval] step    50 val_bpb=2.0679 (overhead 618ms)

step 00050 (8.4%) | loss: 6.143733 | lrm: 1.00 | dt: 621ms | tok/sec: 52,792 | mfu: 0.1% | epoch: 1 | remaining: 274s    
step 00051 (8.6%) | loss: 6.126177 | lrm: 1.00 | dt: 623ms | tok/sec: 52,620 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00052 (8.8%) | loss: 6.108298 | lrm: 1.00 | dt: 620ms | tok/sec: 52,843 | mfu: 0.1% | epoch: 1 | remaining: 273s    
step 00053 (9.0%) | loss: 6.089456 | lrm: 1.00 | dt: 639ms | tok/sec: 51,251 | mfu: 0.1% | epoch: 1 | remaining: 272s    
