step,wall_clock_s,L_MLM,L_contrastive,probe1_auc
2000,643.3,5.686488,3.425321,0.519883
4000,1281.9,5.395245,3.437636,0.518390
6000,1912.2,5.400671,3.435702,0.520188
8000,2551.1,5.540020,3.409988,0.518071
10000,3189.2,5.219829,3.445343,0.518744
12000,3835.5,4.951015,3.434249,0.516563
14000,4490.8,4.861678,3.461373,0.515536
16000,5153.9,4.691067,3.448401,0.514297
18000,5815.0,4.883625,3.505402,0.516988
20000,6472.0,4.504285,3.496196,0.514966
22000,7139.0,4.894327,3.460188,0.518579
24000,7796.3,4.483356,3.456545,0.516605
26000,8429.9,4.241443,3.445696,0.517264
28000,9057.7,4.537624,3.434380,0.519704
30000,9685.7,4.239522,3.409654,0.515463
32000,10314.3,3.999698,3.456359,0.519022
34000,10948.1,3.672423,3.435518,0.518720
36000,11577.2,3.768888,3.440195,0.514691
38000,12207.3,3.769342,3.462872,0.518445
