step,wall_clock_s,L_MLM,L_contrastive,probe1_auc,val_msk_top1,val_msk_top5,val_msk_ce,train_msk_top1,train_msk_ce
2000,180.6,5.765722,3.432912,0.517891,0.105981,0.142183,6.255688,0.103295,6.285046
4000,355.7,5.890357,3.435626,0.522171,0.108867,0.145855,6.201423,0.106695,6.244237
6000,523.2,5.683344,3.437662,0.524331,0.111752,0.160283,6.165338,0.104603,6.235138
8000,682.3,6.037943,3.472313,0.524800,0.109654,0.151102,6.161048,0.105126,6.196215
10000,842.0,5.878135,3.636883,0.525573,0.110178,0.155824,6.143218,0.110094,6.182017
12000,1001.6,5.461748,3.527223,0.527455,0.109391,0.157398,6.119385,0.107218,6.154405
14000,1161.3,5.749358,3.482659,0.524871,0.114113,0.155824,6.103243,0.111140,6.138444
16000,1319.7,5.802950,3.610453,0.526572,0.111490,0.159234,6.092259,0.112971,6.116956
18000,1477.7,5.393547,3.826707,0.526468,0.110178,0.165530,6.075757,0.108002,6.111504
20000,1636.6,5.581203,3.722235,0.527393,0.109916,0.163694,6.066859,0.107218,6.112318
22000,1794.8,5.418845,3.460828,0.527697,0.110178,0.158447,6.062570,0.107741,6.083667
24000,1952.8,6.132295,3.465845,0.528496,0.110965,0.156873,6.053905,0.109833,6.076654
26000,2110.9,5.511353,3.483259,0.526149,0.112539,0.157922,6.049959,0.106956,6.083598
28000,2274.9,5.445436,3.502587,0.527365,0.112277,0.156873,6.060429,0.110094,6.075940
30000,2435.5,5.930943,3.544137,0.528041,0.114638,0.167366,6.043910,0.110879,6.067000
32000,2594.4,5.678271,3.525153,0.527211,0.113589,0.164743,6.043780,0.103818,6.077186
34000,2752.6,5.631338,3.701329,0.527314,0.110441,0.161070,6.041660,0.107479,6.069400
36000,2912.0,5.684687,3.547630,0.523589,0.116212,0.164743,6.033216,0.110094,6.067348
38000,3071.3,5.676813,3.607808,0.526049,0.117524,0.166317,6.028160,0.109048,6.079685
40000,3229.2,5.255335,3.477327,0.526117,0.112802,0.171039,6.009052,0.111663,6.051098
42000,3386.9,5.613830,3.485788,0.525408,0.114113,0.163956,6.022670,0.110094,6.061558
44000,3543.3,5.649325,3.381865,0.525115,0.111752,0.161595,6.016825,0.109571,6.050091
46000,3700.3,5.897667,3.488426,0.524487,0.113851,0.166055,6.021565,0.111140,6.049483
48000,3856.9,5.607606,3.521567,0.522704,0.113064,0.171301,6.016365,0.110879,6.044578
