step,wall_clock_s,L_MLM,L_contrastive,probe1_auc,val_msk_top1,val_msk_top5,val_msk_ce,train_msk_top1,train_msk_ce
2000,2205.1,6.327020,3.432076,0.521871,0.107555,0.152938,6.161682,0.102772,6.206484
4000,4381.3,5.610975,3.435161,0.522861,0.112802,0.161857,6.060669,0.104864,6.122308
6000,6532.3,5.458878,3.428547,0.521860,0.143232,0.199370,5.907412,0.130492,5.997521
8000,8706.9,5.706702,3.423370,0.517339,0.149265,0.200944,5.854768,0.135722,5.942429
10000,10852.6,5.658785,3.413391,0.521536,0.153725,0.205142,5.818466,0.139383,5.898871
12000,13006.6,5.224916,3.424119,0.522721,0.147429,0.199633,5.800011,0.138337,5.884381
14000,15157.3,5.915762,3.439369,0.519653,0.159234,0.210913,5.746981,0.141475,5.846491
16000,17304.5,5.512609,3.430530,0.521173,0.152938,0.205666,5.746943,0.136506,5.860061
18000,19456.0,5.592584,3.424673,0.521155,0.156086,0.214323,5.743205,0.138075,5.859562
20000,21602.3,5.356706,3.450222,0.522905,0.160546,0.214061,5.698931,0.147228,5.809917
22000,23746.9,5.370024,3.397279,0.522243,0.168678,0.222718,5.650113,0.145921,5.777381
24000,25892.1,5.573452,3.412053,0.520974,0.166317,0.222193,5.632962,0.149059,5.777571
26000,28034.8,4.638180,3.423107,0.519525,0.165268,0.220094,5.635759,0.148013,5.729226
28000,30180.7,5.131733,3.433163,0.522939,0.171301,0.226128,5.602595,0.151412,5.710660
30000,32326.4,4.995921,3.447517,0.522518,0.175498,0.225866,5.587710,0.152197,5.734236
32000,34469.3,5.461168,3.415589,0.520713,0.169203,0.225079,5.598908,0.149582,5.721209
