step,wall_clock_s,L_MLM,L_contrastive,probe1_auc,val_msk_top1,val_msk_top5,val_msk_ce,train_msk_top1,train_msk_ce
1000,93.8,6.008500,3.441571,0.517138,0.100472,0.136149,6.501902,0.095238,6.523152
2000,184.7,5.529876,3.393175,0.523487,0.105981,0.141920,6.279811,0.103704,6.319651
3000,277.0,5.944690,3.409385,0.521167,0.108342,0.144281,6.290642,0.109524,6.259848
4000,369.1,5.670369,3.407363,0.519426,0.104932,0.136936,6.340211,0.116667,6.135547
5000,459.6,5.717805,3.536455,0.519429,0.104932,0.139035,6.431150,0.146561,5.895860
6000,549.2,5.371979,3.449260,0.519893,0.103358,0.137985,6.519694,0.169312,5.742255
7000,639.0,4.926542,3.455870,0.517595,0.105719,0.142445,6.554785,0.190212,5.550929
8000,729.1,5.283591,3.607616,0.513612,0.104932,0.135887,6.599255,0.200794,5.416912
9000,817.9,4.709131,3.539129,0.516284,0.104145,0.130378,6.705606,0.223280,5.243648
10000,907.6,5.460182,3.636769,0.514762,0.103882,0.133263,6.775205,0.237037,5.079626
11000,997.3,4.694633,3.718671,0.514641,0.101784,0.124607,6.870881,0.256614,4.971328
12000,1085.7,4.663553,3.565441,0.513871,0.102046,0.132476,6.888550,0.279365,4.801707
13000,1175.0,4.439024,3.707352,0.511711,0.103882,0.126967,7.015212,0.283598,4.784881
14000,1265.2,4.801274,3.800756,0.513260,0.101259,0.132476,6.909795,0.293122,4.666921
