step,wall_clock_s,L_MLM,L_contrastive,probe1_auc,val_msk_top1,val_msk_top5,val_msk_ce,train_msk_top1,train_msk_ce
1000,102.2,6.387071,3.429027,0.518858,0.104145,0.137461,6.503482,0.098632,6.542104
2000,200.9,5.772558,3.443584,0.516031,0.105719,0.142445,6.279589,0.098106,6.347258
3000,299.4,6.043420,3.415795,0.516393,0.108604,0.145331,6.245629,0.098895,6.310023
4000,399.5,6.005049,3.444347,0.519686,0.108342,0.150577,6.221981,0.100999,6.293305
5000,498.6,6.304330,3.423892,0.521688,0.106768,0.152938,6.183319,0.100736,6.271209
6000,596.9,6.045914,3.431542,0.521418,0.110965,0.150052,6.181782,0.099158,6.259929
7000,694.2,5.917844,3.450011,0.517674,0.113851,0.157660,6.158474,0.101526,6.243766
8000,791.0,5.630724,3.423728,0.521003,0.108867,0.158447,6.143175,0.097580,6.208469
9000,888.5,5.744092,3.445182,0.520667,0.109654,0.160808,6.118171,0.107575,6.187783
10000,982.7,5.736929,3.444772,0.522192,0.111490,0.154250,6.118692,0.103630,6.173605
11000,1072.2,5.668075,3.392388,0.521768,0.109129,0.162120,6.107245,0.101526,6.158574
12000,1161.4,5.753441,3.453248,0.523051,0.110703,0.161070,6.111385,0.104156,6.171602
13000,1256.5,5.463548,3.474039,0.524523,0.107555,0.161333,6.097211,0.103893,6.142659
14000,1353.5,5.915316,3.494794,0.524685,0.114638,0.163956,6.077613,0.108890,6.136473
15000,1448.1,5.695943,3.422734,0.526217,0.114900,0.160808,6.076349,0.103104,6.136155
16000,1544.3,5.357940,3.484808,0.526684,0.111752,0.159234,6.087612,0.101789,6.126446
17000,1641.2,5.735083,3.468429,0.525665,0.113326,0.161070,6.070292,0.107049,6.123017
18000,1736.7,5.867015,3.452841,0.522552,0.112015,0.162907,6.075685,0.107049,6.106351
19000,1834.5,5.804423,3.447948,0.524394,0.116212,0.165530,6.055803,0.103630,6.107178
20000,1929.7,5.325579,3.453406,0.524792,0.113589,0.167366,6.052680,0.106523,6.098554
21000,2025.6,5.864949,3.453887,0.525405,0.116999,0.168153,6.028877,0.103104,6.099281
22000,2120.9,5.759526,3.445432,0.526546,0.116474,0.168678,6.046542,0.108101,6.093798
23000,2213.5,5.734927,3.454091,0.526778,0.115687,0.167629,6.042608,0.109416,6.081826
24000,2311.4,5.164990,3.494350,0.527240,0.118573,0.173924,6.026438,0.107312,6.080499
25000,2409.9,5.541504,3.477638,0.527368,0.113851,0.170252,6.014259,0.106523,6.046083
26000,2506.2,5.462855,3.446493,0.526602,0.115163,0.166055,6.021565,0.112309,6.054891
27000,2604.8,5.515089,3.489662,0.526156,0.113326,0.171826,6.006988,0.107575,6.050628
28000,2704.0,5.727305,3.487061,0.525491,0.115950,0.175236,6.008329,0.106786,6.050923
29000,2804.2,5.691313,3.441798,0.524410,0.116212,0.169465,6.000514,0.111783,6.042604
