checkpoint,error_rate,cos_mean,cos_median,cos_std,n_reads
baseline_rerun,0.005,0.9985052917003632,0.9999999403953552,0.002851069037226917,1000
baseline_rerun,0.01,0.9969481652975083,0.9986206293106079,0.004457543333103379,1000
baseline_rerun,0.05,0.9876351536512374,0.9895480573177338,0.008083081626729965,1000
lower_matrix_lr,0.005,0.9956204857826233,0.9999999403953552,0.015960632717128446,1000
lower_matrix_lr,0.01,0.9895436872839928,0.9983597695827484,0.033543287255969494,1000
lower_matrix_lr,0.05,0.9638145273029805,0.9828860461711884,0.05752611472818782,1000
r2_lowlr_warmup_wd01,0.005,0.9967404742836952,0.9999999403953552,0.009667422951441282,1000
r2_lowlr_warmup_wd01,0.01,0.9931245627999306,0.9983235895633698,0.015182468757655837,1000
r2_lowlr_warmup_wd01,0.05,0.973644498705864,0.9826241135597229,0.027618849023420294,1000
r3_lr_025,0.005,0.9976110180616379,0.9999999403953552,0.005365136024506182,1000
r3_lr_025,0.01,0.9948600008487701,0.9981437623500824,0.00939153090749484,1000
r3_lr_025,0.05,0.9797604536414146,0.9837057888507843,0.016270212899785894,1000
